reaction_id,family,quality_flag,failure_reason,detail
dipolar_000031,dipolar,failed,no_output_file,"missing=c1_fragA_ts,c2_fragB_ts,c3_eda,c4_fragA_opt,c5_fragB_opt"
dipolar_000074,dipolar,failed,no_output_file,"missing=c1_fragA_ts,c2_fragB_ts,c3_eda,c4_fragA_opt,c5_fragB_opt"
dipolar_000114,dipolar,failed,no_output_file,"missing=c1_fragA_ts,c2_fragB_ts,c3_eda,c4_fragA_opt,c5_fragB_opt"
dipolar_000184,dipolar,failed,no_output_file,"missing=c1_fragA_ts,c2_fragB_ts,c3_eda,c4_fragA_opt,c5_fragB_opt"
dipolar_000207,dipolar,failed,no_output_file,"missing=c1_fragA_ts,c2_fragB_ts,c3_eda,c4_fragA_opt,c5_fragB_opt"
dipolar_000224,dipolar,failed,no_output_file,"missing=c1_fragA_ts,c2_fragB_ts,c3_eda,c4_fragA_opt,c5_fragB_opt"
dipolar_000225,dipolar,failed,no_output_file,"missing=c1_fragA_ts,c2_fragB_ts,c3_eda,c4_fragA_opt,c5_fragB_opt"
dipolar_000238,dipolar,failed,no_output_file,"missing=c1_fragA_ts,c2_fragB_ts,c3_eda,c4_fragA_opt,c5_fragB_opt"
dipolar_000246,dipolar,failed,no_output_file,"missing=c1_fragA_ts,c2_fragB_ts,c3_eda,c4_fragA_opt,c5_fragB_opt"
dipolar_000327,dipolar,failed,no_output_file,"missing=c1_fragA_ts,c2_fragB_ts,c3_eda,c4_fragA_opt,c5_fragB_opt"
dipolar_000330,dipolar,failed,no_output_file,"missing=c1_fragA_ts,c2_fragB_ts,c3_eda,c4_fragA_opt,c5_fragB_opt"
dipolar_000387,dipolar,failed,no_output_file,"missing=c1_fragA_ts,c2_fragB_ts,c3_eda,c4_fragA_opt,c5_fragB_opt"
dipolar_000390,dipolar,failed,no_output_file,"missing=c1_fragA_ts,c2_fragB_ts,c3_eda,c4_fragA_opt,c5_fragB_opt"
dipolar_000444,dipolar,failed,no_output_file,"missing=c1_fragA_ts,c2_fragB_ts,c3_eda,c4_fragA_opt,c5_fragB_opt"
dipolar_000461,dipolar,failed,no_output_file,"missing=c1_fragA_ts,c2_fragB_ts,c3_eda,c4_fragA_opt,c5_fragB_opt"
dipolar_000547,dipolar,failed,no_output_file,"missing=c1_fragA_ts,c2_fragB_ts,c3_eda,c4_fragA_opt,c5_fragB_opt"
dipolar_000588,dipolar,failed,no_output_file,"missing=c1_fragA_ts,c2_fragB_ts,c3_eda,c4_fragA_opt,c5_fragB_opt"
dipolar_000597,dipolar,failed,no_output_file,"missing=c1_fragA_ts,c2_fragB_ts,c3_eda,c4_fragA_opt,c5_fragB_opt"
dipolar_000611,dipolar,failed,no_output_file,"missing=c1_fragA_ts,c2_fragB_ts,c3_eda,c4_fragA_opt,c5_fragB_opt"
dipolar_000635,dipolar,failed,no_output_file,"missing=c1_fragA_ts,c2_fragB_ts,c3_eda,c4_fragA_opt,c5_fragB_opt"
dipolar_000637,dipolar,failed,no_output_file,"missing=c1_fragA_ts,c2_fragB_ts,c3_eda,c4_fragA_opt,c5_fragB_opt"
dipolar_000641,dipolar,failed,no_output_file,"missing=c1_fragA_ts,c2_fragB_ts,c3_eda,c4_fragA_opt,c5_fragB_opt"
