reaction_id,source,n_atoms_max,n_heavy_atoms,atomic_numbers,n_snapshots,frame_index_first,frame_index_last,ts_frame_idx,ts_position_in_sorted,energy_R,energy_TS,energy_P,activation_energy,ea_relative_to_P,total_charge,formula,source_db_idx,short_traj,interior_ts
T1x_C2H2N2O_rxn00005,T1x,7,5,[8 7 6 6 7 1 1],442,0,441,5,5,-1318.5964080152523,-1314.9734473472365,-1317.2276460454423,3.6229606680158213,2.254198698205755,0.0,C2H2N2O,1,False,True
T1x_C2H2N2O_rxn00012,T1x,7,5,[8 6 7 6 7 1 1],1578,0,1577,7,7,-1319.8363073251526,-1308.6017670291687,-1320.401768543197,11.234540295983834,11.800001514028281,0.0,C2H2N2O,1,False,True
T1x_C2H3N3_rxn00036,T1x,8,5,[7 6 6 7 7 1 1 1],370,0,369,5,5,-1170.5888669147162,-1166.2073603787323,-1167.251613280705,4.381506535983817,1.0442529019726408,0.0,C2H3N3,1,False,True
T1x_C2H5NO2_rxn00255,T1x,10,5,[7 6 8 6 8 1 1 1 1 1],554,0,553,5,5,-1537.482825997479,-1532.814764049428,-1536.5415207832245,4.66806194805099,3.726756733796492,0.0,C2H5NO2,1,False,True
T1x_C3H3N3O_rxn00355,T1x,10,7,[7 6 7 7 8 6 6 1 1 1],3810,0,3809,4,4,-1762.561361710613,-1757.2024895498212,-1760.4766067874384,5.3588721607918615,3.274117237617247,0.0,C3H3N3O,1,False,True
T1x_C3H3N3O_rxn00357,T1x,10,7,[7 6 7 7 8 6 6 1 1 1],1274,0,1273,4,4,-1762.561361710613,-1758.2483382115263,-1760.1364845484088,4.313023499086739,1.888146336882528,0.0,C3H3N3O,1,False,True
T1x_C3H3N3O_rxn00358,T1x,10,7,[7 6 7 7 8 6 6 1 1 1],2362,0,2361,4,4,-1762.561361710613,-1758.6892367255887,-1760.3011216491639,3.8721249850243566,1.6118849235751895,0.0,C3H3N3O,1,False,True
T1x_C3H3N3O_rxn00359,T1x,10,7,[7 6 7 7 8 6 6 1 1 1],1706,0,1705,4,4,-1762.561361710613,-1756.4830149511256,-1759.0412853583985,6.078346759487431,2.5582704072728575,0.0,C3H3N3O,1,False,True
T1x_C3H3N3O_rxn00363,T1x,10,7,[7 6 7 7 8 6 6 1 1 1],2434,0,2433,4,4,-1762.561361745389,-1757.485950146356,-1758.9200147689328,5.075411599033032,1.4340646225768978,0.0,C3H3N3O,1,False,True
T1x_C3H3N3O_rxn00364,T1x,10,7,[8 6 7 7 6 6 7 1 1 1],1034,0,1033,3,3,-1762.6836123189353,-1753.68677234951,-1758.767531881097,8.99683996942531,5.080759531587091,0.0,C3H3N3O,1,False,True
T1x_C3H3NO_rxn00389,T1x,8,5,[8 6 6 6 7 1 1 1],938,0,937,3,3,-1220.0138940532374,-1209.6052164009168,-1214.9118163736348,10.408677652320648,5.306599972718004,0.0,C3H3NO,1,False,True
T1x_C3H3NO2_rxn00420,T1x,9,6,[8 6 8 6 6 7 1 1 1],1146,0,1145,4,4,-1657.9520711240514,-1654.1505184167543,-1656.2974977978238,3.8015527072971054,2.1469793810695137,0.0,C3H3NO2,1,False,True
T1x_C3H3NO2_rxn00448,T1x,9,6,[8 6 7 6 6 8 1 1 1],370,0,369,4,4,-1658.7469902931573,-1655.4580792883798,-1656.9709331178317,3.2889110047774466,1.512853829451842,0.0,C3H3NO2,1,False,True
T1x_C3H4N2_rxn00481,T1x,9,5,[7 6 6 6 7 1 1 1 1],2098,0,2097,6,6,-1070.5377924896948,-1065.1885589943845,-1068.7378465799416,5.349233495310273,3.5492875855570674,0.0,C3H4N2,1,False,True
T1x_C3H4N2_rxn00482,T1x,9,5,[7 6 6 6 7 1 1 1 1],234,0,233,5,5,-1070.5377924896948,-1067.294923225446,-1068.0453526582824,3.2428692642488386,0.7504294328364267,0.0,C3H4N2,1,False,True
T1x_C3H4N2_rxn00483,T1x,9,5,[7 6 6 6 7 1 1 1 1],402,0,401,6,6,-1070.5377924896948,-1066.9105900402935,-1069.5456413822055,3.6272024494012385,2.6350513419120034,0.0,C3H4N2,1,False,True
T1x_C3H4N2_rxn00486,T1x,9,5,[7 6 6 7 6 1 1 1 1],234,0,233,5,5,-1072.1368443983943,-1067.8312064588424,-1068.4337829712963,4.305637939551843,0.6025765124538793,0.0,C3H4N2,1,False,True
T1x_C3H4N2O_rxn00566,T1x,10,6,[8 6 6 6 7 7 1 1 1 1],346,0,345,4,4,-1508.5148744329176,-1504.834636921514,-1504.9763228032211,3.680237511403675,0.14168588170718976,0.0,C3H4N2O,1,False,True
T1x_C3H4N2O_rxn00580,T1x,10,6,[7 6 8 6 6 7 1 1 1 1],434,0,433,5,5,-1509.4466468167032,-1506.49147798672,-1507.714613638612,2.955168829983222,1.2231356518921075,0.0,C3H4N2O,1,False,True
T1x_C3H4N2O_rxn00591,T1x,10,6,[7 6 6 8 7 6 1 1 1 1],866,0,865,4,4,-1507.4419851247712,-1504.5723710693594,-1507.3685589362246,2.86961405541183,2.796187866865239,0.0,C3H4N2O,1,False,True
T1x_C3H4O2_rxn00734,T1x,9,5,[8 6 6 6 8 1 1 1 1],290,0,289,5,5,-1402.6618136961945,-1399.2268949765632,-1401.6124555743604,3.4349187196312414,2.3855605977971663,0.0,C3H4O2,1,False,True
T1x_C3H4O2_rxn00735,T1x,9,5,[8 6 6 6 8 1 1 1 1],2154,0,2153,518,518,-1402.6618136961945,-1397.5468905989567,-1400.1291217946111,5.114923097237806,2.582231195654458,0.0,C3H4O2,1,False,True
T1x_C3H4O2_rxn00737,T1x,9,5,[8 6 6 6 8 1 1 1 1],274,0,273,5,5,-1402.6618136961945,-1399.315005028312,-1399.9169481869394,3.346808667882442,0.601943158627364,0.0,C3H4O2,1,False,True
