reaction_id,sub_source,reaction_number,flags,e_barrier_dft,sum_distortion_energies_dft,interaction_energies_dft,asm_residual_kcal
dipolar_000009,spec16,0,e_barrier_lt_0,-7.486999999999995,76.293,83.78,0.010000000000010445
dipolar_000017,locked_778,1,e_barrier_lt_0,-13.163414415534284,40.126585584465715,53.29,0.00999999999999801
dipolar_000041,locked_778,5,e_barrier_lt_0,-18.15912308688641,42.72087691311359,60.88,0.010000000000033538
dipolar_000049,locked_778,6,e_barrier_lt_0,-6.154562291291128,58.575437708708876,64.73,0.010000000000005116
dipolar_000050,spec16,7,e_barrier_lt_0,-5.241,72.259,77.5,0.009999999999990905
dipolar_000097,locked_778,12,e_barrier_lt_0,-14.36821824499551,47.68178175500449,62.05,0.010000000000005116
dipolar_000145,spec16,14,sum_distortion_gt_100,2.5120000000000005,110.122,107.61,0.009999999999977138
dipolar_000155,locked_778,15,e_barrier_lt_0,-2.2456559879562548,32.474344012043744,34.72,2.1316282072803006e-14
dipolar_000160,locked_778,16,interaction_lt_0,12.616304927550416,11.626304927550416,-0.99,0.010000000000006892
dipolar_000205,spec16,19,e_barrier_lt_0,-12.441999999999997,30.288,42.73,0.009999999999980247
dipolar_000219,locked_778,21,e_barrier_lt_0,-0.39217897853300787,2.4778210214669922,2.87,4.440892098500626e-15
dipolar_000245,locked_778,22,e_barrier_lt_0,-0.891416875814258,36.698583124185745,37.59,2.842170943040401e-14
dipolar_000262,locked_778,23,interaction_lt_0,7.666843673065401,6.9368436730654,-0.73,0.009999999999996234
dipolar_000271,spec16,25,e_barrier_lt_0,-1.382000000000005,90.008,91.39,1.9317880628477724e-14
dipolar_000339,spec16,30,e_barrier_lt_0,-14.617000000000004,53.723,68.34,3.552713678800501e-15
dipolar_000372,spec16,33,e_barrier_lt_0,-1.0099999999999998,5.61,6.62,2.886579864025407e-15
dipolar_000393,locked_778,34,e_barrier_lt_0,-13.81112130317824,50.61887869682177,64.43,0.010000000000005116
dipolar_000404,spec16,36,e_barrier_lt_0,-2.11099999999999,74.959,77.07,0.010000000000001119
dipolar_000415,spec16,38,e_barrier_lt_0,-9.524000000000001,47.506,57.03,0.009999999999989129
dipolar_000455,locked_778,41,sum_distortion_gt_100,24.578797551747698,116.7687975517477,92.19,1.4210854715202004e-14
dipolar_000484,spec16,43,e_barrier_lt_0,-9.473999999999997,60.526,70.0,0.009999999999994458
dipolar_000502,locked_778,45,e_barrier_lt_0,-3.5865911251262177,0.6234088748737824,4.21,0.00999999999999801
dipolar_000514,locked_778,46,e_barrier_lt_0,-19.845348336815597,46.7846516631844,66.63,1.4210854715202004e-14
dipolar_000517,locked_778,47,sum_distortion_gt_100,15.651341683310406,109.4713416833104,93.82,1.4210854715202004e-14
dipolar_000551,locked_778,50,e_barrier_lt_0,-12.596800998138477,54.75319900186152,67.35,0.010000000000019327
