axis,class,group,n,n_group,fraction,ci95_lo,ci95_hi
dipolarophile,alkyne_in_ring,full_5269,840,5269,0.15942304042512812,0.14978712340629546,0.1695552213362434
dipolarophile,alkyne_in_ring,ours_400,66,400,0.165,0.13184448183586026,0.20452898736592584
dipolarophile,alkyne_in_ring,locked_192,29,192,0.15104166666666666,0.1072690106008042,0.20850455334066684
dipolarophile,alkyne_in_ring,spec16_208,37,208,0.1778846153846154,0.13189823609109533,0.23555367137183933
dipolarophile,bridged_alkene,full_5269,1445,5269,0.2742455873979882,0.262366947477207,0.2864531801746458
dipolarophile,bridged_alkene,ours_400,101,400,0.2525,0.2124162523228765,0.2972925047739654
dipolarophile,bridged_alkene,locked_192,48,192,0.25,0.19405972553588688,0.31574820086994304
dipolarophile,bridged_alkene,spec16_208,53,208,0.2548076923076923,0.20040575926156562,0.31810240910574283
dipolarophile,other_cyclic_alkene,full_5269,769,5269,0.145947997722528,0.13667285079636837,0.15573904338987085
dipolarophile,other_cyclic_alkene,ours_400,43,400,0.1075,0.08079329401678036,0.14167412885396896
dipolarophile,other_cyclic_alkene,locked_192,22,192,0.11458333333333333,0.0768969042315616,0.16739031564409296
dipolarophile,other_cyclic_alkene,spec16_208,21,208,0.10096153846153846,0.0669863699267214,0.14940927663183937
dipolarophile,acyclic_alkene,full_5269,1888,5269,0.3583222622888594,0.34548224657868515,0.37136872045965724
dipolarophile,acyclic_alkene,ours_400,162,400,0.405,0.35801711355168203,0.45379028816225736
dipolarophile,acyclic_alkene,locked_192,75,192,0.390625,0.3244045274435203,0.4611364403590303
dipolarophile,acyclic_alkene,spec16_208,87,208,0.4182692307692308,0.3533086261598014,0.4861940966293015
dipolarophile,acyclic_alkyne,full_5269,327,5269,0.0620611121654963,0.05586012145483481,0.06890023546542619
dipolarophile,acyclic_alkyne,ours_400,28,400,0.07,0.04887130451974051,0.09930956639598489
dipolarophile,acyclic_alkyne,locked_192,18,192,0.09375,0.06012464669315864,0.14331323371631513
dipolarophile,acyclic_alkyne,spec16_208,10,208,0.04807692307692308,0.026320786217575703,0.08622368096922804
dipolarophile,unresolved,full_5269,0,5269,0.0,0.0,0.0007285635130780336
dipolarophile,unresolved,ours_400,0,400,0.0,0.0,0.009512640599680667
dipolarophile,unresolved,locked_192,0,192,0.0,0.0,0.019615852811660034
dipolarophile,unresolved,spec16_208,0,208,0.0,0.0,0.01813430412157008
dipole,mesoionic_ring,full_5269,592,5269,0.11235528563294743,0.10410890235096364,0.12116651650478202
dipole,mesoionic_ring,ours_400,33,400,0.0825,0.05934551650734201,0.11359753839339137
dipole,mesoionic_ring,locked_192,15,192,0.078125,0.04791348285135001,0.12488739295848811
dipole,mesoionic_ring,spec16_208,18,208,0.08653846153846154,0.055439326698163406,0.13263327094082725
dipole,acyclic_dipole,full_5269,4677,5269,0.8876447143670526,0.8788334834952181,0.8958910976490364
dipole,acyclic_dipole,ours_400,367,400,0.9175,0.8864024616066086,0.940654483492658
dipole,acyclic_dipole,locked_192,177,192,0.921875,0.8751126070415118,0.95208651714865
dipole,acyclic_dipole,spec16_208,190,208,0.9134615384615384,0.8673667290591728,0.9445606733018367
dipole,unresolved,full_5269,0,5269,0.0,0.0,0.0007285635130780336
dipole,unresolved,ours_400,0,400,0.0,0.0,0.009512640599680667
dipole,unresolved,locked_192,0,192,0.0,0.0,0.019615852811660034
dipole,unresolved,spec16_208,0,208,0.0,0.0,0.01813430412157008
