rxn_smiles,dipolarophile_class,dipole_class,reason,reaction_id,sub_source,source_id,reviewed,correct?
[C:1]1(=[O:2])[C:3]([O:4][CH3:5])=[C:6]([O:7][CH3:8])[C:9](=[O:10])[C:11]([CH3:12])=[C:13]1[CH3:14].[CH3:15][NH:16][C:17](=[O:18])[C:19]([C:20]#[N:21])=[O+:22][C-:23]([C:24]([CH3:25])=[O:26])[C:27](=[O:28])[O:29][CH3:30]>>[C:1]1(=[O:2])[C@@:3]2([O:4][CH3:5])[C@@:6]([O:7][CH3:8])([C:9](=[O:10])[C:11]([CH3:12])=[C:13]1[CH3:14])[C:23]([C:24]([CH3:25])=[O:26])([C:27](=[O:28])[O:29][CH3:30])[O:22][C:19]2([C:17]([NH:16][CH3:15])=[O:18])[C:20]#[N:21],other_cyclic_alkene,acyclic_dipole,,dipolar_005886,locked_778,5886,,
[CH2:1]1[CH:2]=[CH:3][N:4]([CH3:5])[CH:6]=[C:7]1[C:8]([NH2:9])=[O:10].[CH3:11][O:12][C:13](=[O:14])[CH:15]=[O+:16][N-:17][C:18]([CH3:19])=[O:20]>>[CH2:1]1[CH:2]=[CH:3][N:4]([CH3:5])[C@H:6]2[C@:7]1([C:8]([NH2:9])=[O:10])[CH:15]([C:13]([O:12][CH3:11])=[O:14])[O:16][N:17]2[C:18]([CH3:19])=[O:20],other_cyclic_alkene,acyclic_dipole,,dipolar_004417,locked_778,4417,,
[CH3:1][NH:2][C:3](=[O:4])[C:5]#[C:6][Br:7].[CH3:8][O:9][C:10](=[O:11])[C-:12]([CH3:13])[N+:14]#[N:15]>>[CH3:1][NH:2][C:3](=[O:4])[C:5]1=[C:6]([Br:7])[C:12]([C:10]([O:9][CH3:8])=[O:11])([CH3:13])[N:14]=[N:15]1,acyclic_alkyne,acyclic_dipole,,dipolar_000262,locked_778,262,,
[CH3:10][NH:11][C:12](=[O:13])[C:14]#[N+:15][O-:16].[CH3:1][C:2]([CH3:3])=[CH:4]/[CH:5]=[CH:6]/[C:7]([CH3:8])=[CH2:9]>>[CH3:1][C:2]1([CH3:3])[CH:4](/[CH:5]=[CH:6]/[C:7]([CH3:8])=[CH2:9])[O:16][N:15]=[C:14]1[C:12]([NH:11][CH3:10])=[O:13],acyclic_alkene,acyclic_dipole,,dipolar_003596,locked_778,3596,,
[CH3:1][NH:2][C:3](=[O:4])[C:5]1([C:6](=[O:7])[NH:8][CH3:9])[C:10]#[C:11][C:12]([C:13](=[O:14])[O:15][CH3:16])([C:17]([F:18])([F:19])[F:20])[CH2:21][CH2:22][CH2:23][CH2:24]1.[CH:25]#[N+:26][C-:27]([CH3:28])[C:29]#[N:30]>>[CH3:1][NH:2][C:3](=[O:4])[C:5]1([C:6](=[O:7])[NH:8][CH3:9])[C:10]2=[C:11]([C:12]([C:13](=[O:14])[O:15][CH3:16])([C:17]([F:18])([F:19])[F:20])[CH2:21][CH2:22][CH2:23][CH2:24]1)[C:27]([CH3:28])([C:29]#[N:30])[N:26]=[CH:25]2,alkyne_in_ring,acyclic_dipole,,dipolar_002277,locked_778,2277,,
[CH3:1][O:2][C:3]([O:4][CH3:5])=[C:6]([Br:7])[Br:8].[CH3:9][O:10][C:11](=[O:12])[C:13](=[NH+:14][CH-:15][C:16]#[N:17])[c:18]1[cH:19][cH:20][cH:21][cH:22][cH:23]1>>[CH3:1][O:2][C:3]1([O:4][CH3:5])[C:6]([Br:7])([Br:8])[CH:15]([C:16]#[N:17])[NH:14][C:13]1([C:11]([O:10][CH3:9])=[O:12])[c:18]1[cH:19][cH:20][cH:21][cH:22][cH:23]1,acyclic_alkene,acyclic_dipole,,dipolar_002247,locked_778,2247,,
[CH3:1]/[CH:2]=[CH:3]/[CH3:4].[CH3:5][NH:6][C:7](=[O:8])[CH:9]=[O+:10][C-:11]([C:12]([CH3:13])=[O:14])[C:15](=[O:16])[O:17][CH3:18]>>[CH3:1][C@H:2]1[C@H:3]([CH3:4])[C:11]([C:12]([CH3:13])=[O:14])([C:15](=[O:16])[O:17][CH3:18])[O:10][CH:9]1[C:7]([NH:6][CH3:5])=[O:8],acyclic_alkene,acyclic_dipole,,dipolar_004064,locked_778,4064,,
[CH3:11][NH:12][C:13](=[O:14])[C:15]#[N+:16][NH-:17].[N:1]#[C:2][C:3]1=[C:4]([Br:5])[CH:6]2[CH:7]=[CH:8][CH:9]1[O:10]2>>[N:1]#[C:2][C:3]12[C:4]([Br:5])([CH:6]3[CH:7]=[CH:8][CH:9]1[O:10]3)[C:15]([C:13]([NH:12][CH3:11])=[O:14])=[N:16][NH:17]2,bridged_alkene,acyclic_dipole,,dipolar_000393,locked_778,393,,
[CH3:10][NH:11][C:12](=[O:13])[C-:14]([N+:15]#[C:16][C:17]([CH3:18])=[O:19])[C:20](=[O:21])[O:22][CH3:23].[CH3:1][C:2]1=[C:3]([F:4])[CH:5]2[CH:6]=[CH:7][CH:8]1[O:9]2>>[CH3:1][C:2]12[C:3]([F:4])([CH:5]3[CH:6]=[CH:7][CH:8]1[O:9]3)[C:16]([C:17]([CH3:18])=[O:19])=[N:15][C:14]2([C:12]([NH:11][CH3:10])=[O:13])[C:20](=[O:21])[O:22][CH3:23],bridged_alkene,acyclic_dipole,,dipolar_000900,locked_778,900,,
[CH2:1]1[CH:2]=[CH:3][N:4]([CH3:5])[CH:6]=[C:7]1[C:8]([NH2:9])=[O:10].[CH3:11][O:12][C:13](=[O:14])[c-:15]1[c:16](=[O:17])[o:18][c:19]([C:20]#[N:21])[n+:22]1[CH3:23]>>[CH2:1]1[CH:2]=[CH:3][N:4]([CH3:5])[C@H:6]2[C@:7]1([C:8]([NH2:9])=[O:10])[C:19]1([C:20]#[N:21])[O:18][C:16](=[O:17])[C:15]2([C:13]([O:12][CH3:11])=[O:14])[N:22]1[CH3:23],other_cyclic_alkene,mesoionic_ring,,dipolar_004918,locked_778,4918,,
