wave,pending,submitted_at
1,1199,2026-07-24T12:01:26+09:00
2,1199,2026-07-24T12:12:12+09:00
2,1189,2026-07-24T12:14:12+09:00
3,1179,2026-07-24T12:27:12+09:00
4,1169,2026-07-24T12:45:55+09:00
5,1159,2026-07-24T13:00:06+09:00
6,1149,2026-07-24T13:16:12+09:00
7,1139,2026-07-24T13:50:12+09:00
8,1129,2026-07-24T14:13:58+09:00
99,1119,2026-07-24T14:38:13+09:00
100,1114,2026-07-24T14:53:31+09:00
101,1109,2026-07-24T15:11:12+09:00
102,1104,2026-07-24T15:28:55+09:00
103,1100,2026-07-24T16:00:12+09:00
104,1095,2026-07-24T16:09:13+09:00
105,1090,2026-07-24T16:35:39+09:00
106,1085,2026-07-24T16:56:51+09:00
200,1080,2026-07-24T17:18:04+09:00
201,1070,2026-07-24T17:51:14+09:00
202,1060,2026-07-24T18:21:13+09:00
203,1050,2026-07-24T18:48:59+09:00
204,1040,2026-07-24T19:18:16+09:00
205,1030,2026-07-24T19:47:14+09:00
206,1020,2026-07-24T21:14:13+09:00
207,1010,2026-07-24T21:49:54+09:00
208,1000,2026-07-24T22:23:13+09:00
209,990,2026-07-24T22:46:13+09:00
210,980,2026-07-24T23:56:50+09:00
211,970,2026-07-25T00:27:14+09:00
212,960,2026-07-25T01:03:48+09:00
213,950,2026-07-25T01:36:13+09:00
214,940,2026-07-25T02:10:14+09:00
215,930,2026-07-25T02:40:01+09:00
216,920,2026-07-25T03:09:14+09:00
217,910,2026-07-25T04:50:15+09:00
218,900,2026-07-25T05:16:15+09:00
219,890,2026-07-25T06:14:15+09:00
220,880,2026-07-25T07:45:03+09:00
221,870,2026-07-25T08:19:17+09:00
222,860,2026-07-25T08:52:53+09:00
223,850,2026-07-25T09:19:11+09:00
224,840,2026-07-25T09:48:16+09:00
225,830,2026-07-25T10:23:17+09:00
226,820,2026-07-25T11:03:17+09:00
227,810,2026-07-25T11:48:54+09:00
228,800,2026-07-25T12:39:17+09:00
229,790,2026-07-25T13:57:20+09:00
230,780,2026-07-25T14:31:39+09:00
231,770,2026-07-25T15:07:59+09:00
232,760,2026-07-25T15:42:18+09:00
233,750,2026-07-25T16:47:52+09:00
234,740,2026-07-25T18:15:17+09:00
300,730,2026-07-25T19:26:19+09:00
301,720,2026-07-25T21:30:21+09:00
302,710,2026-07-25T22:35:22+09:00
303,700,2026-07-25T23:41:21+09:00
304,690,2026-07-26T01:36:21+09:00
305,680,2026-07-26T02:25:03+09:00
306,670,2026-07-26T03:08:37+09:00
307,660,2026-07-26T05:22:22+09:00
308,650,2026-07-26T06:35:18+09:00
309,640,2026-07-26T07:10:44+09:00
310,630,2026-07-26T07:44:05+09:00
311,620,2026-07-26T08:18:21+09:00
312,610,2026-07-26T09:37:15+09:00
313,600,2026-07-26T10:07:21+09:00
314,590,2026-07-26T10:37:22+09:00
315,580,2026-07-26T11:29:17+09:00
316,570,2026-07-26T13:45:23+09:00
317,560,2026-07-26T14:56:05+09:00
318,550,2026-07-26T15:19:18+09:00
319,540,2026-07-26T18:31:53+09:00
320,530,2026-07-26T21:43:23+09:00
321,520,2026-07-27T01:04:12+09:00
322,510,2026-07-27T03:16:21+09:00
323,500,2026-07-27T04:16:23+09:00
324,490,2026-07-27T05:21:21+09:00
325,480,2026-07-27T06:18:25+09:00
326,470,2026-07-27T08:06:43+09:00
327,460,2026-07-27T09:43:24+09:00
328,450,2026-07-27T10:29:26+09:00
329,440,2026-07-27T11:40:26+09:00
330,430,2026-07-27T12:35:12+09:00
331,420,2026-07-27T13:41:55+09:00
332,410,2026-07-27T14:22:23+09:00
333,401,2026-07-27T15:20:00+09:00
334,392,2026-07-27T16:10:25+09:00
335,383,2026-07-27T16:40:55+09:00
336,374,2026-07-27T17:49:39+09:00
337,365,2026-07-27T19:01:27+09:00
338,356,2026-07-27T19:47:08+09:00
339,347,2026-07-27T20:19:27+09:00
340,338,2026-07-27T21:30:26+09:00
341,329,2026-07-27T22:14:01+09:00
342,320,2026-07-27T23:37:28+09:00
343,311,2026-07-28T00:34:54+09:00
344,302,2026-07-28T01:26:31+09:00
345,293,2026-07-28T02:14:31+09:00
346,285,2026-07-28T02:52:32+09:00
347,276,2026-07-28T03:08:32+09:00
348,267,2026-07-28T04:18:47+09:00
349,258,2026-07-28T04:38:02+09:00
350,249,2026-07-28T04:46:33+09:00
351,240,2026-07-28T04:55:14+09:00
352,231,2026-07-28T05:03:20+09:00
353,222,2026-07-28T05:11:27+09:00
354,213,2026-07-28T05:56:31+09:00
355,204,2026-07-28T06:25:26+09:00
356,195,2026-07-28T06:47:33+09:00
357,186,2026-07-28T07:12:32+09:00
358,177,2026-07-28T07:34:32+09:00
359,168,2026-07-28T08:00:30+09:00
360,159,2026-07-28T08:23:31+09:00
361,150,2026-07-28T08:47:31+09:00
362,141,2026-07-28T09:50:32+09:00
363,132,2026-07-28T10:04:31+09:00
364,123,2026-07-28T10:16:32+09:00
365,114,2026-07-28T10:34:07+09:00
366,105,2026-07-28T10:51:32+09:00
367,97,2026-07-28T11:11:32+09:00
368,89,2026-07-28T11:27:33+09:00
369,81,2026-07-28T11:40:50+09:00
370,73,2026-07-28T11:52:32+09:00
371,65,2026-07-28T11:58:32+09:00
372,57,2026-07-28T12:03:32+09:00
373,50,2026-07-28T12:19:10+09:00
374,43,2026-07-28T12:21:13+09:00
375,36,2026-07-28T12:24:12+09:00
376,29,2026-07-28T12:26:13+09:00
377,22,2026-07-28T12:33:17+09:00
378,15,2026-07-28T12:43:23+09:00
379,8,2026-07-28T12:56:32+09:00
380,3,2026-07-28T12:58:30+09:00
381,3,2026-07-28T13:00:32+09:00
