id,R,smiles,F,R_res,sigma_p,dE_strain,dV_elst,dE_Pauli,dE_oi,dE_disp,dE_int,dE_frag_barrier_eda,dE_barrier_wb97x3c,n_imag_ts,imag_freq_ts_cm1,E_reactant_Eh,E_TS_Eh,eda_level,geom_level,status
nme2,N(CH3)2,C=C(N(C)C)OCC=C,0.1500,-0.9800,-0.8300,18.1456,-78.6700,168.4000,-114.6400,-9.1900,-34.1000,-15.9544,29.2813,1,-603.0000,-73.6720,-73.6254,ZORA-BLYP-D3(BJ)/TZ2P all-electron NOSYM Good (ADF 2026.103) // wB97X-3c,"wB97X-3c (ORCA 6.1.1, selective AVX2)",OK
nh2,NH2,C=C(N)OCC=C,0.0800,-0.7400,-0.6600,16.7168,-75.2500,162.2200,-112.5400,-7.7000,-33.2700,-16.5532,30.7865,1,-598.9300,-59.8765,-59.8275,ZORA-BLYP-D3(BJ)/TZ2P all-electron NOSYM Good (ADF 2026.103) // wB97X-3c,"wB97X-3c (ORCA 6.1.1, selective AVX2)",OK
oh,OH,C=C(O)OCC=C,0.3300,-0.7000,-0.3700,15.6401,-68.4600,148.4000,-104.3500,-7.4300,-31.8400,-16.1999,25.1696,1,-569.3600,-65.3587,-65.3186,ZORA-BLYP-D3(BJ)/TZ2P all-electron NOSYM Good (ADF 2026.103) // wB97X-3c,"wB97X-3c (ORCA 6.1.1, selective AVX2)",OK
ome,OCH3,C=C(OC)OCC=C,0.2900,-0.5600,-0.2700,15.5557,-67.7500,145.7100,-104.8200,-8.1000,-34.9600,-19.4043,30.4988,1,-584.5800,-72.2550,-72.2064,ZORA-BLYP-D3(BJ)/TZ2P all-electron NOSYM Good (ADF 2026.103) // wB97X-3c,"wB97X-3c (ORCA 6.1.1, selective AVX2)",OK
me,CH3,C=C(C)OCC=C,-0.0400,-0.1300,-0.1700,14.0783,-77.7600,167.6700,-118.8600,-8.1600,-37.1100,-23.0317,30.4934,1,-631.0200,-56.2097,-56.1611,ZORA-BLYP-D3(BJ)/TZ2P all-electron NOSYM Good (ADF 2026.103) // wB97X-3c,"wB97X-3c (ORCA 6.1.1, selective AVX2)",OK
ph,C6H5,C=C(c1ccccc1)OCC=C,0.1200,-0.1300,-0.0100,15.3095,-82.0000,176.0300,-123.4400,-9.4900,-38.9000,-23.5905,29.7104,1,-631.3900,-85.8793,-85.8320,ZORA-BLYP-D3(BJ)/TZ2P all-electron NOSYM Good (ADF 2026.103) // wB97X-3c,"wB97X-3c (ORCA 6.1.1, selective AVX2)",OK
h,H,C=COCC=C,0.0000,0.0000,0.0000,12.3488,-60.6000,132.7400,-97.9800,-7.0500,-32.8900,-20.5412,40.5418,1,-610.3400,-49.2993,-49.2347,ZORA-BLYP-D3(BJ)/TZ2P all-electron NOSYM Good (ADF 2026.103) // wB97X-3c,"wB97X-3c (ORCA 6.1.1, selective AVX2)",OK
f,F,C=C(F)OCC=C,0.4500,-0.3900,0.0600,14.0629,-68.0300,147.9100,-108.1000,-7.0800,-35.3000,-21.2371,24.0454,1,-565.9300,-73.0241,-72.9858,ZORA-BLYP-D3(BJ)/TZ2P all-electron NOSYM Good (ADF 2026.103) // wB97X-3c,"wB97X-3c (ORCA 6.1.1, selective AVX2)",OK
i,I,C=C(I)OCC=C,0.4000,-0.1900,0.1800,13.2085,-67.7800,148.7700,-108.2200,-9.0500,-36.2800,-23.0715,24.6257,1,-561.6500,-60.1048,-60.0656,ZORA-BLYP-D3(BJ)/TZ2P all-electron NOSYM Good (ADF 2026.103) // wB97X-3c,"wB97X-3c (ORCA 6.1.1, selective AVX2)",OK
br,Br,C=C(Br)OCC=C,0.4500,-0.2200,0.2300,13.8050,-68.1600,148.9100,-109.0300,-8.6300,-36.9100,-23.1050,24.3405,1,-564.2900,-62.0880,-62.0492,ZORA-BLYP-D3(BJ)/TZ2P all-electron NOSYM Good (ADF 2026.103) // wB97X-3c,"wB97X-3c (ORCA 6.1.1, selective AVX2)",OK
cl,Cl,C=C(Cl)OCC=C,0.4200,-0.1900,0.2300,13.9393,-69.3800,150.8900,-110.4000,-8.2900,-37.1800,-23.2407,24.6765,1,-572.2100,-63.7208,-63.6815,ZORA-BLYP-D3(BJ)/TZ2P all-electron NOSYM Good (ADF 2026.103) // wB97X-3c,"wB97X-3c (ORCA 6.1.1, selective AVX2)",OK
cf3,CF3,C=C(C(F)(F)F)OCC=C,0.3800,0.1600,0.5400,13.3297,-56.8200,123.1200,-95.7100,-8.3300,-37.7400,-24.4103,36.3488,1,-569.9000,-127.3940,-127.3361,ZORA-BLYP-D3(BJ)/TZ2P all-electron NOSYM Good (ADF 2026.103) // wB97X-3c,"wB97X-3c (ORCA 6.1.1, selective AVX2)",OK
ac,COCH3,C=C(C(C)=O)OCC=C,0.3300,0.1700,0.5000,13.8537,-63.1900,137.2900,-101.6400,-8.7200,-36.2600,-22.4063,37.7522,1,-605.9400,-77.9597,-77.8995,ZORA-BLYP-D3(BJ)/TZ2P all-electron NOSYM Good (ADF 2026.103) // wB97X-3c,"wB97X-3c (ORCA 6.1.1, selective AVX2)",OK
cn,CN,C=C(C#N)OCC=C,0.5100,0.1500,0.6600,11.8382,-55.4200,120.0400,-94.7900,-8.1400,-38.3100,-26.4718,35.9727,1,-561.4300,-64.3159,-64.2586,ZORA-BLYP-D3(BJ)/TZ2P all-electron NOSYM Good (ADF 2026.103) // wB97X-3c,"wB97X-3c (ORCA 6.1.1, selective AVX2)",OK
no2,NO2,C=C([N+](=O)[O-])OCC=C,0.6500,0.1300,0.7800,15.1423,-67.0200,144.8700,-112.1100,-8.5300,-42.7900,-27.6477,25.5896,1,-556.4300,-90.6545,-90.6138,ZORA-BLYP-D3(BJ)/TZ2P all-electron NOSYM Good (ADF 2026.103) // wB97X-3c,"wB97X-3c (ORCA 6.1.1, selective AVX2)",OK
