id,R,smiles,F,R_res,sigma_p,note
nme2,N(CH3)2,C=C(N(C)C)OCC=C,0.15,-0.98,-0.83,strong pi-donor
nh2,NH2,C=C(N)OCC=C,0.08,-0.74,-0.66,strong pi-donor
oh,OH,C=C(O)OCC=C,0.33,-0.70,-0.37,pi-donor/sigma-acceptor
ome,OCH3,C=C(OC)OCC=C,0.29,-0.56,-0.27,pi-donor/sigma-acceptor
me,CH3,C=C(C)OCC=C,-0.04,-0.13,-0.17,weak donor
ph,C6H5,C=C(c1ccccc1)OCC=C,0.12,-0.13,-0.01,conjugation
h,H,C=COCC=C,0.00,0.00,0.00,reference
f,F,C=C(F)OCC=C,0.45,-0.39,0.06,halogen
i,I,C=C(I)OCC=C,0.40,-0.19,0.18,halogen
br,Br,C=C(Br)OCC=C,0.45,-0.22,0.23,halogen
cl,Cl,C=C(Cl)OCC=C,0.42,-0.19,0.23,halogen
cf3,CF3,C=C(C(F)(F)F)OCC=C,0.38,0.16,0.54,strong sigma-acceptor
ac,COCH3,C=C(C(C)=O)OCC=C,0.33,0.17,0.50,pi-acceptor
cn,CN,C=C(C#N)OCC=C,0.51,0.15,0.66,strong pi+sigma-acceptor
no2,NO2,C=C([N+](=O)[O-])OCC=C,0.65,0.13,0.78,strongest acceptor
