reaction_id,verdict,failed_checks,warn_flags,dE_act_kcal,dE_rxn_kcal,max_abs_res_cons_kcal,max_abs_res_ref_kcal,offset_spread_kcal,recovered,level_ok,n_points,n_components_ok,dStrain_TS,dElst_TS,dPauli_TS,dOi_TS,dDisp_TS
Halogen_Br2C4H4N2_rxn09856,WARN,,recovered;sign_pauli;sign_oi,66.608912,21.515996,0.008054,0.004721,0.008363,True,True,3,3,29.049873,29.785867,-96.224353,104.084677,-0.087461
Halogen_BrC4H3N2O_rxn09913,WARN,,recovered;sign_strain;sign_pauli;sign_oi,147.484671,49.791383,0.005867,0.008586,0.005867,True,True,3,3,-36.498051,288.574095,-853.554066,749.155527,-0.187343
Halogen_BrC4H3N2O_rxn10012,WARN,,recovered;sign_oi,156.857186,24.481137,0.004017,0.004222,0.004401,True,True,3,3,85.457073,12.336432,9.758026,49.320912,-0.01124
Halogen_BrC4H3O_rxn10030,WARN,,recovered;sign_pauli;sign_oi,179.551301,43.561988,0.003321,0.002657,0.003321,True,True,3,3,68.326523,42.481066,-35.344076,104.712992,-0.621882
Halogen_BrC4H3O_rxn10031,WARN,,recovered;sign_strain;sign_pauli;sign_oi,195.678619,152.64477,0.006003,0.005253,0.006003,True,True,3,3,-105.305385,228.225538,-605.068464,678.265737,-0.44481
Halogen_BrC4H3S_rxn10032,WARN,,recovered;sign_strain;sign_pauli;sign_oi,136.880069,83.493287,0.014572,0.016201,0.014572,True,True,3,3,-69.210402,298.665382,-876.175264,783.4733,0.138022
Halogen_BrC4H3S_rxn10033,WARN,,recovered,86.796554,48.614286,0.0042,0.002692,0.0042,True,True,3,3,28.456817,-21.291326,166.692287,-87.292791,0.235351
Halogen_BrC4H4NO_rxn10041,WARN,,recovered;sign_pauli;sign_oi,155.11259,9.72585,0.021321,0.02625,0.032227,True,True,3,3,116.011484,42.989526,-178.488046,174.20279,0.375514
Halogen_BrC4H4NO_rxn10042,WARN,,recovered;sign_pauli;sign_oi,125.340826,71.802102,0.009852,0.010849,0.015951,True,True,3,3,42.977103,205.206984,-380.537327,257.82944,-0.141472
Halogen_BrC4H4NO_rxn10051,WARN,,recovered;sign_strain;sign_pauli;sign_oi,120.000443,22.95494,0.003145,0.008733,0.003145,True,True,3,3,-10.684151,73.518927,-310.371476,367.403307,0.136981
Halogen_BrC4H4NO_rxn10053,WARN,,recovered;sign_pauli;sign_oi,84.565444,7.351638,0.000515,0.000666,0.001012,True,True,3,3,0.630149,44.25794,-121.898101,161.622688,-0.047728
Halogen_BrC4H4NO_rxn10056,FAIL,4,recovered;sign_strain;sign_pauli;sign_oi,127.905694,87.259335,11.387312,11.418885,11.42164,True,True,3,3,-89.396882,250.75051,-779.290501,734.665336,-0.210081
Halogen_BrC4H4NO_rxn10065,WARN,,recovered;sign_oi,107.002575,7.88172,0.001497,0.00214,0.001497,True,True,3,3,9.217526,-2.047741,87.788592,12.08369,-0.039771
