rxn_id,ts_file,n_atoms,n_f1,n_f2,rel1_file,rel2_file,formed_d1,formed_d2
0,TS_6PStF1_ll_ad_1-2_4-8.xyz,19,9,10,r1_C3H6.xyz,r0_C4H4N2.xyz,2.317787352390206,2.5821387835281047
1,TS_O9sLs-_ll_ad_1-5_2-3.xyz,19,9,10,r1_C3H6.xyz,r0_C4H4N2.xyz,2.726961736548571,2.274046823858295
2,TS_KrNTWI_ll_ad_3-4_5-7.xyz,16,9,7,r1_C3H3NO2.xyz,r0_C3H4.xyz,2.1494940458396252,2.767116797787907
3,TS_j-fhA2_ll_ad_3-7_5-6.xyz,16,9,7,r1_C3H3NO2.xyz,r0_C3H4.xyz,2.2598791960191145,2.3656185143636326
4,TS_ts_guess_0ey6BK_template_3-9_5-7.xyz,23,13,10,r1_C4H6N2O.xyz,r0_C4H6.xyz,2.3147868828036846,2.466140860251093
5,TS_ts_guess_HeCghw_template_4-10_5-7.xyz,19,11,8,r1_C4FH4NO.xyz,r0_C2H4O2.xyz,2.43570981861551,2.2245206772471233
6,TS_ts_guess_1BZ2zN_template_4-9_5-7.xyz,19,11,8,r1_C4FH4NO.xyz,r0_C2H4O2.xyz,2.8368228000705296,1.978658448065254
7,TS_TIDIpb_ll_ad_4-10_5-7.xyz,24,14,10,r0_C5H7NO.xyz,r1_C3H6O.xyz,2.7335646760045753,2.6185760580513984
8,TS_ts_guess_0XMuBu_template_4-9_5-7.xyz,24,14,10,r0_C5H7NO.xyz,r1_C3H6O.xyz,2.7952111279830008,2.6567282356500073
9,TS_ts_guess_U-FkB1_template_1-4_5-8.xyz,23,11,12,r1_C5H3N3.xyz,r0_C4H8.xyz,2.514369713049376,2.3764046391345053
10,TS_ts_guess_yqQcu7_template_1-8_3-4.xyz,23,12,11,r0_C4H8.xyz,r1_C5H3N3.xyz,2.818936481955562,2.231384632935344
13,TS_ts_guess_sxIprf_template_2-10_3-6.xyz,24,12,12,r1_C4H6O2.xyz,r0_C3H7NO.xyz,2.21217072295517,2.2352757035766304
14,TS_ts_guess_k_IpAk_template_4-5_6-8.xyz,24,17,7,r1_C5H7N3O2.xyz,r0_C3H4.xyz,2.1474735878468914,2.2305667087984613
15,TS_ts_guess_Gn6347_template_4-11_6-10.xyz,24,17,7,r1_C5H7N3O2.xyz,r0_C3H4.xyz,2.333316908330285,2.10887016949835
16,TS_F_Mg4r_ll_ad_1-10_2-4.xyz,24,10,14,r0_C4H6.xyz,r1_C6H4N4.xyz,2.246886281879882,2.4117358964447164
17,TS_ts_guess_gTy16I_template_3-11_5-9.xyz,24,17,7,r1_C6H8O3.xyz,r0_C3FH3.xyz,2.650466585056299,2.436208860791701
18,TS_ts_guess_QaJUR8_template_1-11_3-4.xyz,24,11,13,r0_C3H7N.xyz,r1_C6F2H4O.xyz,3.1019546263283737,3.114753035298304
19,TS_ts_guess_6ureLq_template_1-12_3-4.xyz,24,11,13,r0_C3H7N.xyz,r1_C6F2H4O.xyz,2.7338715497623514,2.5927485739461895
