rxn_id,ts_file,n_atoms,n_f1,n_f2,rel1_file,rel2_file,formed_d1,formed_d2,eda_exists
3,TS_j-fhA2_ll_ad_3-7_5-6.xyz,16,9,7,r1_C3H3NO2.xyz,r0_C3H4.xyz,2.2598791960191145,2.3656185143636326,True
6,TS_ts_guess_1BZ2zN_template_4-9_5-7.xyz,19,11,8,r1_C4FH4NO.xyz,r0_C2H4O2.xyz,2.8368228000705296,1.978658448065254,True
52,TS_ts_guess_Kmf8wo_template_4-11_5-8.xyz,29,15,14,r0_C5H7NO2.xyz,r1_C5H7NO.xyz,2.8461640856422883,2.2941040082350237,True
81,TS_ts_guess_P3xqig_template_3-12_4-6.xyz,22,9,13,r0_C4ClH3O.xyz,r1_C6H3N3O.xyz,2.513677525797611,2.461744701710557,True
113,TS_ts_guess_fjUaIL_template_4-13_6-7.xyz,26,14,12,r0_C3H7N3O.xyz,r1_C4F3H3O2.xyz,2.0885789744704413,2.3987798592200993,True
114,TS_ts_guess_v_Rtqv_template_3-16_5-9.xyz,29,16,13,r0_C6H7NO2.xyz,r1_C6FH5O.xyz,2.5791927990749355,2.688112990668361,True
121,TS_ts_guess_92BIby_template_2-13_8-10.xyz,36,21,15,r1_C8FH11O.xyz,r0_C4H9NO.xyz,2.3437784468033662,2.0176663919984392,True
124,TS_ts_guess_1xf8UI_template_10-11_14-15.xyz,27,19,8,r0_C8ClH7O3.xyz,r1_C2H4N2.xyz,2.2782200812256925,2.4408489309459527,True
126,TS_ts_guess_DsRUwL_template_10-11_13-15.xyz,27,19,8,r0_C8ClH7O3.xyz,r1_C2H4N2.xyz,2.4075050270975553,2.294601915474665,True
136,TS_ts_guess_z3iZDg_template_4-5_6-8.xyz,30,23,7,r1_C7H9N3O4.xyz,r0_C3H4.xyz,2.009901477212254,2.545841795340001,True
155,TS_ts_guess_61-mg8_template_4-14_5-9.xyz,33,15,18,r1_C6H6O3.xyz,r0_C6H10O2.xyz,2.659758605700901,2.4056319207227026,True
