phase,canonical,model,target_used,mae_mean,mae_std,r2_mean,r2_std,nmae_mean,nmae_std,mad,n_seeds,oracle
Phase 1 (paper),d1,ridge,distortion_energy_1_dft,3.31288199630072,0.22174925215917898,0.4037477683775766,0.5264661435919094,0.591701744922579,0.03960582344447409,5.598905233470611,5,False
Phase 1 (paper),d1,krr,distortion_energy_1_dft,2.9862491826928057,0.1221232719178236,0.6656443173107738,0.054943856219589256,0.5333630519125093,0.02181199124210264,5.598905233470611,5,False
Phase 1 (paper),d1,svr,distortion_energy_1_dft,2.6431154539853234,0.14995804507912452,0.7402053688015033,0.0515472068610746,0.47207719076661836,0.026783458341581814,5.598905233470611,5,False
Phase 1 (paper),d1,rf,distortion_energy_1_dft,2.95240206341216,0.12254320636720463,0.7028027510709134,0.04164553959461286,0.5273177416475123,0.021886994199264806,5.598905233470611,5,False
Phase 1 (paper),d2,ridge,distortion_energy_2_dft,3.1556230232359566,0.13142215320596126,0.25363486964190807,0.848986195990833,0.6109702778237149,0.025445063895527628,5.164937048126681,5,False
Phase 1 (paper),d2,krr,distortion_energy_2_dft,2.7646371117996376,0.15463035275246687,0.6842051102213038,0.03544403127861704,0.5352702435748697,0.029938477722308576,5.164937048126681,5,False
Phase 1 (paper),d2,svr,distortion_energy_2_dft,2.3699925625160394,0.12483603531737308,0.7636374811488194,0.01955414406252412,0.458861848737466,0.024169904522389294,5.164937048126681,5,False
Phase 1 (paper),d2,rf,distortion_energy_2_dft,2.6097591320889064,0.11332431713735905,0.7275474801498325,0.01941356228050531,0.5052838220042709,0.021941083905071348,5.164937048126681,5,False
Phase 1 (paper),interaction,ridge,interaction_energies_dft,3.1005945601471536,0.2164520571971058,-0.10745238139820479,1.4756576233149963,0.6466013602472065,0.04513914731415654,4.795218121659603,5,False
Phase 1 (paper),interaction,krr,interaction_energies_dft,2.917894056878641,0.1508604476492893,0.5364735439293831,0.05852200760760102,0.6085007986808265,0.03146060175404017,4.795218121659603,5,False
Phase 1 (paper),interaction,svr,interaction_energies_dft,2.4003449361661757,0.15577704084129226,0.7045069374798272,0.042679818369810274,0.5005705424168333,0.032485913443157106,4.795218121659603,5,False
Phase 1 (paper),interaction,rf,interaction_energies_dft,2.7415813589621862,0.168393053632844,0.6205376893500929,0.03677116200370362,0.5717323569867845,0.035116870465647126,4.795218121659603,5,False
Phase 2 (τ=1e-10),d1,ridge,d1_own_dft,2.5754823894724668,0.033073470155448564,0.8581173490948478,0.00841517793344168,0.33468361628451365,0.004297893334448598,7.695274773423794,5,False
Phase 2 (τ=1e-10),d1,krr,d1_own_dft,2.6955450552707223,0.07598448934159592,0.8371102361563402,0.02200778075832225,0.3502857447767802,0.009874174942266393,7.695274773423794,5,False
Phase 2 (τ=1e-10),d1,svr,d1_own_dft,2.2222992020825663,0.10808816268360263,0.898648200554123,0.013736022422474023,0.2887875049968901,0.014046043301389729,7.695274773423794,5,False
Phase 2 (τ=1e-10),d1,rf,d1_own_dft,2.190110284316901,0.05872924916518064,0.902859116566054,0.006457984451185914,0.28460455913551136,0.007631858626803878,7.695274773423794,5,False
Phase 2 (τ=1e-10),d1,xgb,d1_own_dft,1.8169346381614695,0.040562139676137775,0.9311654820025301,0.002851744051783254,0.23611043031710693,0.00527104500754439,7.695274773423794,5,False
Phase 2 (τ=1e-10),d2,ridge,d2_own_dft,2.133028497502371,0.08824718974258416,0.8512924724702557,0.04090084012239112,0.3205693189700127,0.01326252394186133,6.653875998975132,5,False
Phase 2 (τ=1e-10),d2,krr,d2_own_dft,2.4599220453762722,0.08251625386158098,0.8170492487455225,0.020583637875498568,0.36969760869531737,0.012401231083099627,6.653875998975132,5,False
Phase 2 (τ=1e-10),d2,svr,d2_own_dft,1.901887908469329,0.04550755070805767,0.8950330833266937,0.012093684508276957,0.28583158278907944,0.006839254400753335,6.653875998975132,5,False
Phase 2 (τ=1e-10),d2,rf,d2_own_dft,1.7993397495278862,0.07131896660061245,0.8995815911003975,0.011457701004333487,0.2704197898796176,0.010718409331883762,6.653875998975132,5,False
Phase 2 (τ=1e-10),d2,xgb,d2_own_dft,1.4371630909535398,0.052766020210877035,0.926696485297961,0.011543149421368453,0.21598885990284458,0.00793011775677881,6.653875998975132,5,False
Phase 2 (τ=1e-10),interaction,ridge,interaction_own_dft,2.4436785374421794,0.20531863740833078,0.7491076129391334,0.13013905289919692,0.5129238608771493,0.04309602371830315,4.764213022305598,5,False
Phase 2 (τ=1e-10),interaction,krr,interaction_own_dft,2.4878570430477804,0.13724872997622337,0.7511381987916379,0.01594935655447768,0.522196852113847,0.02880826892786651,4.764213022305598,5,False
Phase 2 (τ=1e-10),interaction,svr,interaction_own_dft,2.0202391254700074,0.13087716191023763,0.8338859762337794,0.009102831806801485,0.4240446671908744,0.02747088790897532,4.764213022305598,5,False
Phase 2 (τ=1e-10),interaction,rf,interaction_own_dft,2.8354713114551964,0.16616397306806444,0.7133675573594936,0.010116088800120009,0.5951604804780529,0.03487752799677519,4.764213022305598,5,False
Phase 2 (τ=1e-10),interaction,xgb,interaction_own_dft,2.040157266916777,0.12374377457326041,0.8423632011668308,0.008276669694815025,0.42822545032410436,0.0259736023544505,4.764213022305598,5,False
Phase 2 (τ=1e-10),pauli,ridge,pauli_dft,7.462808495506974,0.5997518873109424,0.5950706959314287,0.5955614841890112,0.3775073238353302,0.030338542129314222,19.768645597885865,5,False
Phase 2 (τ=1e-10),pauli,krr,pauli_dft,10.020725413516725,0.6561357984655714,0.5649737704857476,0.09074501329552447,0.5068999473888277,0.03319073100970261,19.768645597885865,5,False
Phase 2 (τ=1e-10),pauli,svr,pauli_dft,5.9091489287315095,0.2218373749701172,0.8687319870959185,0.009807783668908212,0.29891521396708415,0.011221677978477259,19.768645597885865,5,False
