rxn_id,terminated_normally,n_basis_fn,e_bond_kcal,e_orb_kcal,e_elst_kcal,e_pauli_kcal,e_xc_kcal,e_disp_kcal,e_cpcm_kcal,e_smd_cds_kcal,channel_sum_kcal,sum_minus_bond_kcal,sum_minus_bond_eh_kcal,n_nocv
0,True,339,-12.7,-53.0,-39.11,156.67,-63.73,-8.0,-1.88,-3.65,-12.7,-0.0,0.00218,33
1,True,339,-14.0,-55.06,-40.63,160.24,-64.48,-8.33,-2.02,-3.74,-14.02,-0.02,-0.00473,33
3,True,321,-21.36,-63.8,-42.64,157.42,-63.21,-5.77,-0.52,-2.84,-21.36,-0.0,-0.00232,33
6,True,389,-2.13,-50.97,-58.77,190.3,-64.98,-4.0,-12.15,-1.55,-2.12,0.01,0.00151,42
7,True,419,-7.38,-30.58,-29.37,131.34,-54.82,-9.18,-11.72,-3.05,-7.38,0.0,-0.00347,42
8,True,419,-9.07,-32.4,-33.79,132.75,-55.28,-9.14,-8.18,-3.05,-9.09,-0.02,-0.00454,42
9,True,438,-11.45,-47.09,-38.7,153.38,-62.57,-10.71,-2.45,-3.32,-11.46,-0.01,-0.00112,43
10,True,438,-11.29,-56.18,-42.84,173.6,-68.43,-10.65,-3.45,-3.33,-11.28,0.01,-0.00692,43
13,True,419,9.41,-33.49,-43.48,165.44,-61.55,-5.55,-9.46,-2.47,9.44,0.03,0.03426,43
14,True,469,-2.68,-74.92,-63.08,233.6,-86.83,-8.97,-0.64,-1.86,-2.7,-0.02,-0.00322,48
15,True,469,-7.13,-82.23,-71.41,253.32,-84.8,-8.09,-11.66,-2.26,-7.13,-0.0,-0.01011,48
16,True,494,-17.63,-72.67,-57.43,207.9,-80.98,-12.49,0.91,-2.87,-17.63,0.0,0.00026,49
17,True,469,-12.67,-41.35,-31.97,132.23,-54.43,-8.5,-5.62,-3.03,-12.67,-0.0,0.00261,49
19,True,469,-13.35,-49.64,-41.29,158.52,-66.05,-9.33,-2.93,-2.62,-13.34,0.01,0.00344,49
22,True,475,-22.72,-58.84,-48.62,164.12,-66.5,-8.06,-2.41,-2.41,-22.72,0.0,-0.00234,51
23,True,475,-19.57,-59.7,-50.02,171.13,-69.27,-8.28,-1.41,-2.02,-19.57,-0.0,-0.00414,51
27,True,524,-17.13,-52.96,-40.23,158.11,-63.91,-9.07,-5.69,-3.38,-17.13,0.0,0.00561,52
29,True,512,-9.48,-79.78,-45.65,221.67,-74.91,-7.78,-20.79,-2.23,-9.47,0.01,0.00276,53
30,True,512,5.78,-45.82,-56.02,197.93,-67.3,-4.82,-17.36,-0.82,5.79,0.01,0.00553,53
31,True,470,-4.25,-71.41,-61.27,219.35,-79.75,-8.19,-1.01,-1.96,-4.24,0.01,0.0019,53
33,True,501,-20.33,-65.85,-20.23,136.76,-54.85,-9.76,-2.69,-3.71,-20.33,-0.0,-0.00492,53
34,True,501,-3.16,-47.61,-35.05,155.45,-54.3,-7.15,-11.77,-2.72,-3.15,0.01,0.00363,53
35,True,518,-12.68,-47.64,-40.5,156.24,-65.41,-10.84,-2.63,-1.9,-12.68,0.0,-0.00025,53
38,True,518,-13.14,-49.45,-40.59,163.67,-68.29,-11.63,-4.96,-1.89,-13.14,-0.0,-5e-05,53
41,True,531,-15.79,-62.14,-29.81,156.97,-62.16,-10.98,-4.11,-3.58,-15.81,-0.02,-0.00886,55
42,True,531,-17.09,-54.88,-36.73,144.67,-57.43,-10.3,0.76,-3.19,-17.1,-0.01,-0.00861,55
44,True,543,-16.89,-43.28,-34.94,138.19,-57.16,-10.74,-6.44,-2.51,-16.88,0.01,0.00087,56
45,True,543,-17.27,-45.58,-34.58,134.26,-55.71,-9.67,-3.75,-2.24,-17.27,-0.0,0.00071,56
46,True,543,-19.71,-50.43,-34.19,144.39,-59.62,-11.39,-5.57,-2.9,-19.71,-0.0,0.00072,56
49,True,555,-13.66,-42.14,-37.88,142.47,-59.25,-9.03,-4.65,-3.19,-13.67,-0.01,0.00147,56
50,True,555,-11.21,-41.36,-35.49,143.33,-59.36,-9.33,-5.91,-3.09,-11.21,0.0,0.00342,56
51,True,549,-8.36,-31.42,-30.05,119.82,-49.77,-11.02,-2.97,-2.95,-8.36,-0.0,-0.00492,56
52,True,549,-11.99,-38.67,-29.9,129.52,-54.18,-11.99,-3.62,-3.15,-11.99,0.0,-0.00291,56
56,True,567,-17.35,-44.07,-38.06,150.0,-61.74,-10.76,-9.22,-3.49,-17.34,0.01,0.00295,56
57,True,537,-14.57,-64.79,-39.49,169.73,-66.99,-10.19,0.03,-2.88,-14.58,-0.01,-0.00289,56
58,True,537,-12.38,-61.55,-42.4,164.5,-65.88,-10.54,6.54,-3.05,-12.38,0.0,-0.00239,56
61,True,561,-13.35,-46.16,-38.14,151.16,-62.35,-10.78,-4.33,-2.76,-13.36,-0.01,-0.0046,57
62,True,561,-13.81,-44.95,-36.34,148.71,-61.58,-11.02,-5.88,-2.75,-13.81,0.0,0.00302,57
63,True,555,-19.8,-64.84,-46.42,176.14,-70.25,-7.89,-3.06,-3.46,-19.78,0.02,0.01607,57
66,True,581,-12.26,-46.88,-29.03,131.94,-53.33,-9.37,-2.24,-3.36,-12.27,-0.01,-0.00224,58
67,True,581,-11.9,-48.43,-24.19,131.32,-53.14,-8.96,-5.14,-3.36,-11.9,-0.0,-0.00274,58
68,True,586,-6.08,-94.96,-75.79,274.33,-91.73,-8.18,-7.45,-2.3,-6.08,-0.0,0.00418,58
69,True,586,-17.59,-71.68,-52.75,198.98,-77.83,-9.19,-1.96,-3.13,-17.56,0.03,0.02098,58
71,True,598,-14.68,-74.21,-53.68,212.24,-82.15,-9.31,-4.44,-3.12,-14.67,0.01,0.00641,58
72,True,531,-12.48,-43.85,-33.17,140.46,-57.74,-10.03,-4.77,-3.38,-12.48,0.0,-0.00433,59
73,True,531,-14.0,-45.12,-32.89,139.52,-57.62,-9.75,-4.78,-3.36,-14.0,0.0,-0.00337,59
74,True,581,-10.05,-72.51,-58.97,212.85,-80.92,-11.43,1.98,-1.07,-10.07,-0.02,-0.00159,59
75,True,581,-6.64,-70.83,-51.85,213.33,-80.04,-12.74,-3.6,-0.9,-6.63,0.01,0.00101,59
76,True,581,5.1,-58.82,-60.82,224.06,-77.41,-11.16,-8.86,-1.9,5.09,-0.01,-0.00596,59
77,True,581,-9.83,-73.15,-58.41,215.14,-81.21,-12.32,0.56,-0.46,-9.85,-0.02,-0.00287,59
78,True,568,-19.98,-64.37,-48.13,185.2,-72.92,-10.15,-6.59,-3.03,-19.99,-0.01,-0.00014,59
79,True,568,-22.45,-63.84,-47.74,178.58,-71.35,-10.4,-4.47,-3.21,-22.43,0.02,0.00409,59
80,True,538,-10.35,-48.6,-21.5,137.47,-55.04,-12.96,-6.39,-3.33,-10.35,-0.0,-0.00705,60
81,True,538,-10.38,-45.32,-25.79,136.96,-54.42,-12.94,-5.73,-3.14,-10.38,0.0,0.00129,60
82,True,599,-10.53,-39.27,-31.06,132.99,-54.06,-10.67,-5.38,-3.08,-10.53,0.0,-0.00341,60
83,True,599,-9.99,-39.43,-30.83,131.85,-53.79,-10.01,-4.8,-2.99,-10.0,-0.01,-0.00128,60
84,True,537,-12.18,-93.61,-71.78,251.04,-81.75,-5.85,-7.46,-2.78,-12.19,-0.01,-0.00154,60
86,True,598,-16.02,-44.74,-34.6,141.62,-58.74,-11.24,-4.92,-3.42,-16.04,-0.02,-0.00668,60
87,True,598,-21.69,-49.79,-35.69,142.32,-59.21,-9.41,-7.04,-2.86,-21.68,0.01,0.00181,60
88,True,616,-14.21,-49.35,-45.22,176.84,-74.37,-13.12,-5.38,-3.61,-14.21,0.0,-0.00077,60
89,True,586,-23.29,-66.13,-32.04,168.75,-66.31,-11.59,-13.01,-2.96,-23.29,0.0,-0.00455,60
92,True,586,-8.89,-50.5,-35.37,163.62,-68.23,-10.15,-4.84,-3.41,-8.88,0.01,0.00997,60
95,True,599,-4.64,-81.51,-73.83,248.32,-85.6,-8.47,-1.33,-2.22,-4.64,-0.0,0.00126,61
96,True,599,-16.35,-72.37,-57.03,201.65,-76.5,-8.61,-1.11,-2.37,-16.34,0.01,-0.00143,61
99,True,605,-24.01,-74.97,-65.29,217.32,-83.69,-12.79,-3.17,-1.41,-24.0,0.01,-0.00219,61
100,True,605,-20.56,-61.61,-50.69,179.93,-71.66,-12.87,-2.04,-1.63,-20.57,-0.01,-0.00525,61
101,True,605,-21.45,-61.55,-51.51,177.41,-70.88,-9.64,-3.89,-1.41,-21.47,-0.02,-0.00199,61
102,True,605,-21.1,-61.0,-52.19,177.22,-70.82,-9.64,-3.25,-1.41,-21.09,0.01,-0.00166,61
105,True,587,-18.86,-83.46,-60.04,231.27,-83.97,-11.0,-8.76,-2.91,-18.87,-0.01,-0.00733,61
106,True,587,5.5,-62.58,-56.52,222.34,-74.2,-7.52,-14.43,-1.57,5.52,0.02,0.00131,61
107,True,563,-16.23,-57.69,-34.6,151.87,-61.08,-10.69,-0.71,-3.35,-16.25,-0.02,-0.00379,61
108,True,563,-14.62,-58.74,-28.46,155.95,-62.43,-10.73,-6.79,-3.41,-14.61,0.01,-0.00162,61
112,True,556,-13.5,-46.32,-44.14,157.84,-57.2,-6.97,-15.04,-1.67,-13.5,0.0,-0.00151,62
113,True,556,-14.02,-45.6,-41.56,161.89,-59.65,-9.65,-16.38,-3.07,-14.02,-0.0,-0.00255,62
114,True,599,-16.96,-38.07,-28.5,122.34,-51.77,-12.15,-6.17,-2.65,-16.97,-0.01,-0.00048,62
115,True,599,-13.82,-36.22,-29.13,124.29,-51.88,-11.44,-6.88,-2.57,-13.83,-0.01,-0.00545,62
120,True,616,-0.43,-62.76,-67.16,234.55,-90.98,-11.16,-0.24,-2.68,-0.43,0.0,-0.00089,62
121,True,616,-0.77,-67.22,-64.74,245.6,-95.36,-12.5,-3.71,-2.82,-0.75,0.02,0.0149,62
122,True,630,-4.25,-33.2,-27.3,125.82,-51.97,-11.35,-3.36,-2.9,-4.26,-0.01,-0.00228,63
123,True,630,-7.11,-35.3,-29.05,128.08,-53.22,-12.15,-2.43,-3.04,-7.11,0.0,-0.00348,63
124,True,568,-22.75,-64.79,-54.71,184.83,-72.01,-7.35,-7.06,-1.66,-22.75,0.0,-0.00153,63
125,True,568,-24.01,-59.84,-50.54,175.59,-69.94,-10.86,-6.69,-1.73,-24.01,0.0,-0.00449,63
126,True,568,-22.75,-63.56,-53.05,181.51,-71.12,-7.39,-7.46,-1.68,-22.75,-0.0,-0.00077,63
129,True,623,9.36,-38.38,-43.96,180.35,-63.61,-7.08,-16.99,-0.98,9.35,-0.01,-0.00226,63
134,True,593,-11.38,-57.01,-52.79,179.39,-62.9,-7.86,-7.98,-2.24,-11.39,-0.01,-0.0025,63
135,True,593,-13.99,-49.74,-40.29,169.77,-59.57,-7.49,-24.24,-2.43,-13.99,0.0,0.00076,63
136,True,605,-4.5,-74.68,-77.16,262.24,-85.31,-6.42,-21.48,-1.69,-4.5,0.0,0.00209,63
137,True,605,-22.86,-81.24,-68.18,237.64,-89.57,-9.47,-9.24,-2.79,-22.85,0.01,0.01933,63
138,True,498,-18.5,-53.86,-40.4,155.75,-64.34,-11.45,-1.5,-2.69,-18.49,0.01,-0.00053,63
139,True,498,-17.95,-56.31,-39.31,160.97,-65.91,-11.58,-3.21,-2.61,-17.96,-0.01,-0.00222,63
145,True,586,-17.45,-73.5,-59.32,217.69,-82.56,-10.0,-6.99,-2.77,-17.45,-0.0,-0.00507,63
150,True,605,-7.79,-83.17,-88.86,276.11,-98.33,-8.76,-3.56,-1.22,-7.79,0.0,-0.00123,64
153,True,636,-19.6,-49.14,-36.35,144.03,-58.43,-11.31,-4.92,-3.46,-19.58,0.02,0.01506,64
154,True,641,-1.51,-63.6,-65.77,228.89,-87.91,-10.76,0.52,-2.85,-1.48,0.03,0.01824,64
155,True,623,-17.89,-47.34,-29.25,147.0,-59.7,-12.44,-13.33,-2.83,-17.89,-0.0,-0.00901,64
156,True,623,-17.37,-46.9,-35.99,153.9,-60.42,-11.72,-13.44,-2.79,-17.36,0.01,0.00231,64
159,True,586,-23.47,-66.8,-47.59,183.49,-73.77,-11.43,-4.06,-3.3,-23.46,0.01,-0.00175,64
160,True,586,-22.19,-74.57,-48.85,197.84,-78.2,-11.07,-4.07,-3.28,-22.2,-0.01,-0.00306,64
161,True,568,-18.57,-63.6,-53.45,195.6,-76.38,-10.33,-7.25,-3.14,-18.55,0.02,0.01274,64
163,True,611,12.13,-52.95,-65.3,239.07,-79.26,-6.48,-21.97,-0.98,12.13,-0.0,-0.00122,64
165,True,624,-25.78,-56.01,-33.22,150.92,-59.65,-11.06,-13.18,-3.57,-25.77,0.01,0.01229,65
166,True,624,-26.23,-56.13,-26.38,148.59,-59.2,-11.3,-18.22,-3.6,-26.24,-0.01,-0.00299,65
169,True,624,-20.87,-73.63,-57.64,210.59,-78.27,-12.46,-6.64,-2.84,-20.89,-0.02,-0.00183,65
170,True,624,-22.04,-73.01,-51.03,207.13,-77.34,-12.5,-12.8,-2.48,-22.03,0.01,-0.00215,65
171,True,642,-18.68,-56.73,-48.39,166.23,-67.54,-9.56,-0.65,-2.05,-18.69,-0.01,-0.00117,65
172,True,606,-20.91,-77.17,-45.48,196.39,-73.75,-10.35,-7.42,-3.11,-20.89,0.02,0.00617,65
173,True,606,-7.38,-54.93,-43.64,188.35,-63.69,-7.25,-24.26,-1.96,-7.38,-0.0,0.00059,65
174,True,660,-19.67,-61.87,-48.78,195.24,-76.04,-13.05,-12.21,-2.95,-19.66,0.01,-0.00025,65
175,True,660,-20.54,-65.05,-44.74,191.33,-75.42,-12.64,-10.88,-3.12,-20.52,0.02,0.01454,65
182,True,623,-3.02,-54.59,-56.31,214.98,-81.67,-11.08,-11.2,-3.14,-3.01,0.01,-0.0008,66
184,True,637,-11.98,-73.81,-59.19,224.7,-82.84,-12.23,-5.37,-3.23,-11.97,0.01,-0.00306,66
185,True,637,-10.83,-73.68,-53.59,220.37,-81.21,-12.95,-6.81,-2.97,-10.84,-0.01,-0.00421,66
186,True,654,-18.71,-55.69,-58.93,187.45,-73.74,-14.17,-0.86,-2.78,-18.72,-0.01,-0.00521,66
187,True,654,-18.73,-67.55,-48.14,188.76,-74.77,-11.17,-3.62,-2.24,-18.73,-0.0,-0.00385,66
188,True,654,-20.38,-65.63,-46.97,184.67,-73.3,-11.84,-4.85,-2.46,-20.38,-0.0,-0.0039,66
189,True,654,-18.33,-61.26,-49.65,192.82,-77.74,-15.61,-3.75,-3.13,-18.32,0.01,-0.00038,66
190,True,648,-28.47,-66.76,-46.64,187.1,-73.92,-14.15,-11.08,-3.02,-28.47,-0.0,-0.00163,66
191,True,648,-16.08,-64.97,-42.4,199.04,-73.78,-12.7,-18.62,-2.67,-16.1,-0.02,-0.01168,66
192,True,666,-10.17,-35.5,-27.14,128.17,-54.45,-15.59,-2.68,-2.98,-10.17,-0.0,-0.00123,66
193,True,666,-8.56,-46.12,-23.62,151.24,-63.31,-15.95,-7.65,-3.15,-8.56,0.0,-0.00804,66
194,True,660,-12.06,-40.45,-53.62,173.55,-66.44,-12.56,-10.33,-2.21,-12.06,0.0,-0.0021,66
195,True,660,-12.74,-47.71,-44.62,186.24,-69.48,-13.67,-20.38,-3.13,-12.75,-0.01,-0.00964,66
196,True,660,-23.39,-53.87,-39.81,154.3,-63.07,-10.38,-8.03,-2.53,-23.39,0.0,-0.00494,66
197,True,660,-23.75,-54.53,-40.47,155.37,-63.47,-10.33,-7.79,-2.54,-23.76,-0.01,-0.00482,66
198,True,691,9.43,-87.55,-86.61,294.07,-98.47,-7.0,-2.56,-2.45,9.43,-0.0,-0.00199,66
200,True,630,-19.62,-52.76,-36.15,151.95,-61.35,-8.97,-9.05,-3.28,-19.61,0.01,0.00494,66
201,True,630,-8.83,-33.97,-36.73,141.89,-53.9,-9.97,-13.52,-2.63,-8.83,-0.0,-0.00057,66
202,True,630,-22.67,-56.64,-38.48,160.81,-64.86,-11.12,-8.5,-3.89,-22.68,-0.01,-0.00101,66
203,True,630,-15.62,-76.66,-57.17,224.44,-83.63,-12.35,-7.06,-3.19,-15.62,0.0,-0.00159,66
204,True,630,-19.21,-75.79,-45.46,215.18,-80.24,-11.74,-18.04,-3.14,-19.23,-0.02,-0.00653,66
206,True,605,-17.76,-54.43,-36.92,158.21,-63.4,-11.15,-6.88,-3.18,-17.75,0.01,-0.00275,67
207,True,636,-14.87,-48.34,-47.14,163.78,-65.23,-11.92,-2.78,-3.25,-14.88,-0.01,-0.00133,67
208,True,636,-12.41,-45.18,-42.38,159.91,-64.03,-11.94,-5.62,-3.15,-12.39,0.02,-0.00644,67
210,True,661,-10.3,-49.06,-29.67,142.71,-57.64,-9.83,-3.38,-3.43,-10.3,0.0,-0.00272,67
212,True,672,-15.97,-47.66,-32.22,143.03,-60.27,-12.22,-4.56,-2.09,-15.99,-0.02,-0.00067,67
213,True,672,-14.72,-41.74,-36.67,152.24,-65.6,-16.89,-3.58,-2.49,-14.73,-0.01,-0.00231,67
215,True,672,-15.87,-47.96,-32.67,143.73,-60.65,-12.11,-4.12,-2.09,-15.87,-0.0,-0.00047,67
216,True,655,3.81,-48.49,-44.02,175.27,-61.86,-8.19,-6.58,-2.32,3.81,0.0,0.00095,67
