seed,model_target,test_mae
1,ridge_q_barrier_dft,3.4398567727677087
1,ridge_e_barrier_dft,3.5788896334832043
1,ridge_interaction_energies_dft,3.1025602659317553
1,ridge_distortion_energy_1_dft,3.275048663480628
1,ridge_distortion_energy_2_dft,2.850495964844559
1,krr_q_barrier_dft,3.2758559991116454
1,krr_e_barrier_dft,3.2534237321568606
1,krr_interaction_energies_dft,2.74332964623673
1,krr_distortion_energy_1_dft,2.9146588585373028
1,krr_distortion_energy_2_dft,2.5747008239483145
1,svr_q_barrier_dft,2.990418970323987
1,svr_e_barrier_dft,3.0680763500612476
1,svr_interaction_energies_dft,2.3273653266703014
1,svr_distortion_energy_1_dft,2.482394979068478
1,svr_distortion_energy_2_dft,2.3425736522166183
1,2_st_nn_q_barrier_dft,3.049431716370626
14,ridge_q_barrier_dft,3.7602756564740196
14,ridge_e_barrier_dft,3.8990169303591706
14,ridge_interaction_energies_dft,2.924985569464384
14,ridge_distortion_energy_1_dft,2.826058478120321
14,ridge_distortion_energy_2_dft,3.122613698847912
14,krr_q_barrier_dft,3.6389731841448536
14,krr_e_barrier_dft,3.5196309611890797
14,krr_interaction_energies_dft,2.7105041733620863
14,krr_distortion_energy_1_dft,2.6542812856779325
14,krr_distortion_energy_2_dft,2.7913286439485328
14,svr_q_barrier_dft,3.150306185056926
14,svr_e_barrier_dft,3.2571194203012195
14,svr_interaction_energies_dft,2.406699305558296
14,svr_distortion_energy_1_dft,2.461456538962045
14,svr_distortion_energy_2_dft,2.4192183295531042
14,2_st_nn_q_barrier_dft,3.3903939911273233
2,ridge_q_barrier_dft,3.928646294429009
2,ridge_e_barrier_dft,4.030125404154314
2,ridge_interaction_energies_dft,3.6396134440167827
2,ridge_distortion_energy_1_dft,3.698216135765914
2,ridge_distortion_energy_2_dft,3.439690275846009
2,krr_q_barrier_dft,3.7931404565004625
2,krr_e_barrier_dft,3.6013871725615596
2,krr_interaction_energies_dft,2.9603318673075365
2,krr_distortion_energy_1_dft,3.1261062418757817
2,krr_distortion_energy_2_dft,2.8767784786707398
2,svr_q_barrier_dft,3.1310340828295207
2,svr_e_barrier_dft,3.2025246571636767
2,svr_interaction_energies_dft,2.6295209439957303
2,svr_distortion_energy_1_dft,2.7343435887812864
2,svr_distortion_energy_2_dft,2.4621379780501482
2,2_st_nn_q_barrier_dft,3.2936427766833685
22,ridge_q_barrier_dft,3.5492165966096807
22,ridge_e_barrier_dft,3.6706823154119124
22,ridge_interaction_energies_dft,3.2248504834151626
22,ridge_distortion_energy_1_dft,3.2270550948738235
22,ridge_distortion_energy_2_dft,2.930374809544047
22,krr_q_barrier_dft,3.3996076385306524
22,krr_e_barrier_dft,3.2232053370238987
22,krr_interaction_energies_dft,3.0649237740696904
22,krr_distortion_energy_1_dft,3.108915912893826
22,krr_distortion_energy_2_dft,2.619693945308625
22,svr_q_barrier_dft,2.8072900351837338
22,svr_e_barrier_dft,2.8819081165951257
22,svr_interaction_energies_dft,2.5805700866079326
22,svr_distortion_energy_1_dft,2.623523508668816
22,svr_distortion_energy_2_dft,2.249216354780975
22,2_st_nn_q_barrier_dft,2.8637907255910005
23,ridge_q_barrier_dft,3.7743094571976963
23,ridge_e_barrier_dft,3.872894874505291
23,ridge_interaction_energies_dft,3.0101375998245428
23,ridge_distortion_energy_1_dft,3.3353841157789215
23,ridge_distortion_energy_2_dft,3.0533930109094896
23,krr_q_barrier_dft,3.513201751746026
23,krr_e_barrier_dft,3.3760156053260078
23,krr_interaction_energies_dft,2.680227418793152
23,krr_distortion_energy_1_dft,2.9472131632971807
23,krr_distortion_energy_2_dft,2.6657571482065996
23,svr_q_barrier_dft,3.0012511112262947
23,svr_e_barrier_dft,3.050608779125529
23,svr_interaction_energies_dft,2.3405685189600742
23,svr_distortion_energy_1_dft,2.443219061098936
23,svr_distortion_energy_2_dft,2.3581031820645957
23,2_st_nn_q_barrier_dft,3.3342017854459027
