model,target,ours (N-seed),paper (25-seed),N_seed
2 Layer NN,q_barrier_dft,3.19 ± 0.22,3.19 ± 0.15,5
KRR,distortion_energy_1_dft,2.95 ± 0.19,2.95 ± 0.15,5
KRR,distortion_energy_2_dft,2.71 ± 0.13,2.71 ± 0.13,5
KRR,e_barrier_dft,3.39 ± 0.16,3.39 ± 0.15,5
KRR,interaction_energies_dft,2.83 ± 0.17,2.83 ± 0.14,5
KRR,q_barrier_dft,3.52 ± 0.20,3.52 ± 0.17,5
Ridge,distortion_energy_1_dft,3.27 ± 0.31,3.27 ± 0.20,5
Ridge,distortion_energy_2_dft,3.08 ± 0.23,3.08 ± 0.20,5
Ridge,e_barrier_dft,3.81 ± 0.18,3.81 ± 0.20,5
Ridge,interaction_energies_dft,3.18 ± 0.28,3.18 ± 0.22,5
Ridge,q_barrier_dft,3.69 ± 0.19,3.69 ± 0.21,5
SVR,distortion_energy_1_dft,2.55 ± 0.13,2.55 ± 0.13,5
SVR,distortion_energy_2_dft,2.37 ± 0.08,2.37 ± 0.12,5
SVR,e_barrier_dft,3.09 ± 0.15,3.09 ± 0.14,5
SVR,interaction_energies_dft,2.46 ± 0.14,2.46 ± 0.12,5
SVR,q_barrier_dft,3.02 ± 0.14,3.02 ± 0.14,5
