scheme,target,test_mae,ref,ratio
groupkfold_component,cds_dft,0.3067109531585236,0.294,1.0432345345528014
groupkfold_component,cpcm_dft,2.3232460686743264,2.382,0.9753342017944274
groupkfold_component,d1_own_dft,1.8250060385455373,1.814,1.0060672759346954
groupkfold_component,d2_own_dft,1.565013664186105,1.439,1.0875703017276614
groupkfold_component,disp_dft,1.023053998783779,1.01,1.0129247512710684
groupkfold_component,elst_dft,3.8196039743238126,3.722,1.0262235288349846
groupkfold_component,interaction_own_dft,2.00826023039924,2.04,0.9844412894113922
groupkfold_component,oi_dft,3.0794902758077933,3.012,1.0224071300822688
groupkfold_component,pauli_dft,5.664640629926052,5.566,1.0177219960341453
kfold_random,cds_dft,0.2976874854900416,0.294,1.0125424676532027
kfold_random,cpcm_dft,2.277258194371296,2.382,0.9560277894086046
kfold_random,d1_own_dft,1.8182214528506375,1.814,1.002327151516338
kfold_random,d2_own_dft,1.4970885365628337,1.439,1.040367294345263
kfold_random,disp_dft,0.9982867024350629,1.01,0.9884026756782801
kfold_random,elst_dft,3.719861941565206,3.722,0.9994255619465895
kfold_random,interaction_own_dft,1.981525261252734,2.04,0.9713359123787912
kfold_random,oi_dft,2.9714425098712036,3.012,0.9865346978324049
kfold_random,pauli_dft,5.486899090532388,5.566,0.9857885538146584
