target,mae_all,n_all,mae_neutral,n_neutral,mae_charged,n_charged,mae_q_minus2,n_q_minus2,mae_q_plus1,n_q_plus1
dft_barrier_kcal,1.494,2152,1.491,2047,1.555,105,1.511,79,1.704,26
dft_cds_dft,0.236,2152,0.235,2047,0.241,105,0.181,79,0.444,26
dft_cpcm_dft,1.481,2152,1.42,2047,2.66,105,2.703,79,2.513,26
dft_d1_kcal,1.128,2152,1.112,2047,1.437,105,1.305,79,1.887,26
dft_d2_kcal,0.834,2152,0.832,2047,0.869,105,0.659,79,1.587,26
dft_disp_dft,0.04,2152,0.035,2047,0.136,105,0.057,79,0.407,26
dft_e_bond_kcal,1.169,2152,1.136,2047,1.826,105,1.616,79,2.542,26
dft_eint_spe_kcal,0.788,2152,0.76,2047,1.333,105,0.987,79,2.513,26
dft_elst_dft,1.683,2152,1.616,2047,3.0,105,2.703,79,4.013,26
dft_oi_dft,1.296,2152,1.203,2047,3.115,105,2.344,79,5.75,26
dft_pauli_dft,2.166,2152,2.038,2047,4.662,105,3.783,79,7.661,26
