target,random,group_dipolarophile,ratio_dph,group_dipole,ratio_dip
dft_barrier_kcal,1.494,1.636,1.096,1.511,1.012
dft_d1_kcal,1.128,1.091,0.967,1.103,0.978
dft_d2_kcal,0.834,0.997,1.196,0.852,1.022
dft_eint_spe_kcal,0.788,0.813,1.032,0.824,1.045
dft_e_bond_kcal,1.169,1.24,1.061,1.232,1.053
dft_elst_dft,1.683,1.741,1.034,1.753,1.042
dft_pauli_dft,2.166,2.103,0.971,2.171,1.003
dft_oi_dft,1.296,1.269,0.98,1.257,0.97
dft_cpcm_dft,1.481,1.564,1.056,1.521,1.027
dft_cds_dft,0.236,0.263,1.117,0.247,1.047
