split,tau,coverage,agree,agree_true_margin
random,0.0,1.0,0.815,0.815
random,0.5,0.902,0.857,0.857
random,1.0,0.823,0.889,0.893
random,1.5,0.777,0.902,0.916
random,2.0,0.689,0.929,0.931
random,2.5,0.637,0.947,0.945
random,3.0,0.588,0.962,0.964
random,3.5,0.54,0.972,0.972
random,4.0,0.499,0.983,0.978
random,4.5,0.458,0.986,0.978
random,5.0,0.423,0.989,0.983
random,5.5,0.39,0.99,0.986
random,6.0,0.371,0.992,0.985
random,6.5,0.338,0.994,0.992
random,7.0,0.324,0.997,0.992
random,7.5,0.308,0.997,0.997
random,8.0,0.291,0.997,0.997
dipole_class,0.0,1.0,0.732,0.732
dipole_class,0.5,0.884,0.776,0.778
dipole_class,1.0,0.792,0.813,0.82
dipole_class,1.5,0.712,0.852,0.847
dipole_class,2.0,0.649,0.875,0.874
dipole_class,2.5,0.594,0.897,0.892
dipole_class,3.0,0.545,0.911,0.91
dipole_class,3.5,0.499,0.922,0.923
dipole_class,4.0,0.458,0.928,0.936
dipole_class,4.5,0.421,0.945,0.945
dipole_class,5.0,0.388,0.954,0.952
dipole_class,5.5,0.359,0.961,0.96
dipole_class,6.0,0.331,0.964,0.964
dipole_class,6.5,0.307,0.968,0.967
dipole_class,7.0,0.28,0.969,0.971
dipole_class,7.5,0.26,0.973,0.974
dipole_class,8.0,0.242,0.976,0.975
loso:*C,0.0,1.0,0.841,0.841
loso:*C,0.5,0.943,0.885,0.872
loso:*C,1.0,0.86,0.919,0.898
loso:*C,1.5,0.822,0.938,0.937
loso:*C,2.0,0.764,0.942,0.934
loso:*C,2.5,0.726,0.939,0.945
loso:*C,3.0,0.701,0.945,0.942
loso:*C,3.5,0.643,0.96,0.938
loso:*C,4.0,0.599,0.968,0.946
loso:*C,4.5,0.58,0.978,0.953
loso:*C,5.0,0.522,0.988,0.96
loso:*C,5.5,0.478,0.987,0.959
loso:*C,6.0,0.439,0.986,0.971
loso:*C,6.5,0.414,1.0,0.97
loso:*C,7.0,0.401,1.0,0.985
loso:*C,7.5,0.369,1.0,0.983
loso:*C,8.0,0.357,1.0,1.0
loso:*c1ccccc1,0.0,1.0,0.809,0.809
loso:*c1ccccc1,0.5,0.867,0.864,0.839
loso:*c1ccccc1,1.0,0.765,0.901,0.877
loso:*c1ccccc1,1.5,0.687,0.939,0.898
loso:*c1ccccc1,2.0,0.65,0.956,0.91
loso:*c1ccccc1,2.5,0.585,0.978,0.912
loso:*c1ccccc1,3.0,0.561,0.977,0.928
loso:*c1ccccc1,3.5,0.499,0.979,0.936
loso:*c1ccccc1,4.0,0.452,0.977,0.95
loso:*c1ccccc1,4.5,0.41,0.987,0.963
loso:*c1ccccc1,5.0,0.392,0.987,0.971
loso:*c1ccccc1,5.5,0.35,0.985,0.975
loso:*c1ccccc1,6.0,0.316,0.983,0.979
loso:*c1ccccc1,6.5,0.298,0.991,0.984
loso:*c1ccccc1,7.0,0.274,0.99,0.982
loso:*c1ccccc1,7.5,0.266,0.99,0.982
loso:*c1ccccc1,8.0,0.235,0.989,0.99
loso:*C(=O)NC,0.0,1.0,0.79,0.79
loso:*C(=O)NC,0.5,0.892,0.851,0.834
loso:*C(=O)NC,1.0,0.825,0.883,0.875
loso:*C(=O)NC,1.5,0.772,0.902,0.904
loso:*C(=O)NC,2.0,0.709,0.934,0.927
loso:*C(=O)NC,2.5,0.654,0.942,0.943
loso:*C(=O)NC,3.0,0.621,0.947,0.963
loso:*C(=O)NC,3.5,0.572,0.968,0.981
loso:*C(=O)NC,4.0,0.535,0.983,0.985
loso:*C(=O)NC,4.5,0.507,0.987,0.987
loso:*C(=O)NC,5.0,0.462,0.992,0.994
loso:*C(=O)NC,5.5,0.441,0.997,0.994
loso:*C(=O)NC,6.0,0.411,0.997,0.994
loso:*C(=O)NC,6.5,0.394,0.997,0.993
loso:*C(=O)NC,7.0,0.368,0.996,0.993
loso:*C(=O)NC,7.5,0.338,1.0,0.996
loso:*C(=O)NC,8.0,0.322,1.0,0.996
loso:*NC,0.0,1.0,0.79,0.79
loso:*NC,0.5,0.892,0.851,0.834
loso:*NC,1.0,0.825,0.883,0.875
loso:*NC,1.5,0.772,0.902,0.904
loso:*NC,2.0,0.709,0.934,0.927
loso:*NC,2.5,0.654,0.942,0.943
loso:*NC,3.0,0.621,0.947,0.963
loso:*NC,3.5,0.572,0.968,0.981
loso:*NC,4.0,0.535,0.983,0.985
loso:*NC,4.5,0.507,0.987,0.987
loso:*NC,5.0,0.462,0.992,0.994
loso:*NC,5.5,0.441,0.997,0.994
loso:*NC,6.0,0.411,0.997,0.994
loso:*NC,6.5,0.394,0.997,0.993
loso:*NC,7.0,0.368,0.996,0.993
loso:*NC,7.5,0.338,1.0,0.996
loso:*NC,8.0,0.322,1.0,0.996
loso:*C(C)=O,0.0,1.0,0.865,0.865
loso:*C(C)=O,0.5,0.929,0.9,0.899
loso:*C(C)=O,1.0,0.876,0.924,0.93
loso:*C(C)=O,1.5,0.82,0.95,0.95
loso:*C(C)=O,2.0,0.78,0.965,0.962
loso:*C(C)=O,2.5,0.745,0.973,0.974
loso:*C(C)=O,3.0,0.707,0.976,0.983
loso:*C(C)=O,3.5,0.673,0.984,0.989
loso:*C(C)=O,4.0,0.643,0.99,0.991
loso:*C(C)=O,4.5,0.602,0.993,0.99
loso:*C(C)=O,5.0,0.569,0.994,0.993
loso:*C(C)=O,5.5,0.544,0.997,0.994
loso:*C(C)=O,6.0,0.511,0.998,0.995
loso:*C(C)=O,6.5,0.482,0.998,0.997
loso:*C(C)=O,7.0,0.451,0.998,0.996
loso:*C(C)=O,7.5,0.429,0.998,0.996
loso:*C(C)=O,8.0,0.417,0.998,0.996
loso:*C#N,0.0,1.0,0.876,0.876
loso:*C#N,0.5,0.929,0.906,0.896
loso:*C#N,1.0,0.884,0.928,0.917
loso:*C#N,1.5,0.831,0.947,0.935
loso:*C#N,2.0,0.79,0.963,0.949
loso:*C#N,2.5,0.758,0.973,0.969
loso:*C#N,3.0,0.722,0.976,0.983
loso:*C#N,3.5,0.678,0.984,0.986
loso:*C#N,4.0,0.644,0.984,0.991
loso:*C#N,4.5,0.622,0.985,0.992
loso:*C#N,5.0,0.588,0.988,0.993
loso:*C#N,5.5,0.562,0.99,0.993
loso:*C#N,6.0,0.532,0.99,0.994
loso:*C#N,6.5,0.496,0.995,0.995
loso:*C#N,7.0,0.478,0.998,0.997
loso:*C#N,7.5,0.458,0.998,0.996
loso:*C#N,8.0,0.434,0.998,0.996
loso:*OC,0.0,1.0,0.831,0.831
loso:*OC,0.5,0.912,0.878,0.87
loso:*OC,1.0,0.856,0.901,0.902
loso:*OC,1.5,0.8,0.918,0.925
loso:*OC,2.0,0.742,0.945,0.939
loso:*OC,2.5,0.695,0.953,0.961
loso:*OC,3.0,0.639,0.967,0.975
loso:*OC,3.5,0.599,0.98,0.985
loso:*OC,4.0,0.58,0.986,0.989
loso:*OC,4.5,0.542,0.995,0.995
loso:*OC,5.0,0.512,0.997,0.995
loso:*OC,5.5,0.486,0.997,0.994
loso:*OC,6.0,0.459,1.0,0.994
loso:*OC,6.5,0.439,1.0,0.997
loso:*OC,7.0,0.413,1.0,0.997
loso:*OC,7.5,0.396,1.0,1.0
loso:*OC,8.0,0.376,1.0,1.0
loso:*C(=O)OC,0.0,1.0,0.831,0.831
loso:*C(=O)OC,0.5,0.912,0.878,0.87
loso:*C(=O)OC,1.0,0.856,0.901,0.902
loso:*C(=O)OC,1.5,0.8,0.918,0.925
loso:*C(=O)OC,2.0,0.742,0.945,0.939
loso:*C(=O)OC,2.5,0.695,0.953,0.961
loso:*C(=O)OC,3.0,0.639,0.967,0.975
loso:*C(=O)OC,3.5,0.599,0.98,0.985
loso:*C(=O)OC,4.0,0.58,0.986,0.989
loso:*C(=O)OC,4.5,0.542,0.995,0.995
loso:*C(=O)OC,5.0,0.512,0.997,0.995
loso:*C(=O)OC,5.5,0.486,0.997,0.994
