r1,r2,kind,sub_from,sub_to
1494,1495,dipole_change,*C(=O)NC,*C(=O)NC
1494,1578,dipole_change,*[C-](C#N)C(=O)NC,*[C-](C(C)=O)C(C)=O
1494,1579,dipole_change,*[C-](C#N)C(=O)NC,*[C-](C(C)=O)C(C)=O
1495,1578,dipole_change,*[C-](C#N)C(=O)NC,*[C-](C(C)=O)C(C)=O
1495,1579,dipole_change,*[C-](C#N)C(=O)NC,*[C-](C(C)=O)C(C)=O
1578,1579,dipole_change,*c1ccccc1,*c1ccccc1
1770,1771,dipole_change,*OC,*OC
3102,3103,dipole_change,*C,*C
3196,3197,dipole_change,*C(=O)NC,*C(=O)NC
2544,2545,dipole_change,*[NH+]=CC(=O)OC,*[NH+]=CC(=O)OC
2290,2291,dipole_change,*[N-]C(C)=O,*[N-]C(C)=O
1976,2134,dipole_change,*[O+]=C(C#N)C(C)=O,*[NH+]=C(C#N)C(=O)NC
1977,2133,dipole_change,*[O+]=C(C#N)C(C)=O,*[NH+]=C(C#N)C(=O)NC
1293,1295,dipole_change,*C(=O)OC,*C(=O)OC
2599,2602,dipole_change,*C(=O)NC,*C(=O)NC
1292,1294,dipole_change,*C(=O)OC,*C(=O)OC
2600,2601,dipole_change,*C(=O)NC,*C(=O)NC
1171,1172,dipole_change,*C(=O)OC,*C(=O)OC
2739,2740,dipole_change,*[N-]c1ccccc1,*[N-]c1ccccc1
1198,1201,dipole_change,*[C-](C#N)[NH+]=CC(C)=O,*[C-](C#N)[NH+]=CC(C)=O
2111,2112,dipole_change,*c1ccccc1,*c1ccccc1
1878,1879,dipole_change,*C(C)=O,*C(C)=O
61,62,dipole_change,*C(=O)OC,*C(=O)OC
136,137,dipole_change,*C,*C
82,83,dipole_change,*[O+]=CC#N,*[O+]=CC#N
265,266,dipole_change,*C,*C
1153,1154,dipole_change,*C,*C
24,25,dipole_change,*[N-][O+]=NC#N,*[N-][O+]=NC#N
105,106,dipole_change,*C(C)=O,*C(C)=O
319,320,dipole_change,*C(=O)NC,*C(=O)NC
259,260,dipole_change,*[N+]#Cc1ccccc1,*[N+]#Cc1ccccc1
914,915,dipole_change,*[N+](C)=C(C)C,*[N+](C)=C(C)C
3321,3336,dipole_change,*[C-](C#N)C(=O)NC,*[C-](C(C)=O)C(C)=O
