split,n_pairs,mae_d1,dmae_d1,mae_d2,dmae_d2,mae_elst,dmae_elst,mae_pauli,dmae_pauli,mae_oi,dmae_oi,mae_cpcm,dmae_cpcm,dom_agree_all,tau_95,cov_95,tau_99,cov_99
random,1066,1.102,1.275,0.83,0.89,1.674,1.866,2.149,2.544,1.262,1.473,1.457,1.634,0.812,3.0,0.591,6.5,0.34
dipole_class,4325,1.996,1.747,1.083,1.046,2.63,2.492,3.696,3.962,1.976,2.109,1.956,1.894,0.732,5.0,0.386,,
loso:*C,157,2.821,1.998,1.629,1.104,3.915,2.56,5.628,3.435,2.723,1.711,2.888,1.984,0.841,3.5,0.669,5.0,0.522
loso:*c1ccccc1,383,1.472,1.545,1.009,0.949,2.205,1.863,2.917,2.703,1.69,1.585,1.866,1.69,0.807,2.0,0.645,6.5,0.295
loso:*NC,767,1.516,1.578,0.913,0.795,1.944,1.905,2.566,2.545,1.675,1.638,2.154,1.927,0.791,3.5,0.58,5.0,0.469
loso:*C(=O)NC,767,1.516,1.578,0.913,0.795,1.944,1.905,2.566,2.545,1.675,1.638,2.154,1.927,0.791,3.5,0.58,5.0,0.469
loso:*C(C)=O,1203,1.351,1.289,0.903,0.799,1.932,1.901,2.346,2.422,1.357,1.433,1.594,1.52,0.865,1.5,0.817,4.5,0.601
loso:*C#N,1254,1.215,1.269,0.929,0.876,2.379,2.453,2.767,2.958,1.529,1.496,1.92,1.826,0.874,2.0,0.794,5.5,0.561
loso:*C(=O)OC,765,1.332,1.168,0.968,0.838,2.14,2.106,2.458,2.406,1.481,1.595,1.663,1.552,0.833,2.5,0.694,4.5,0.544
loso:*OC,765,1.332,1.168,0.968,0.838,2.14,2.106,2.458,2.406,1.481,1.595,1.663,1.552,0.833,2.5,0.694,4.5,0.544
loso:*[N-]c1ccccc1,90,1.311,1.368,0.947,0.893,1.838,2.016,2.402,2.362,1.283,1.375,1.703,1.433,0.889,3.0,0.811,4.0,0.733
loso:*[N+]#CC(C)=O,169,1.076,1.398,0.856,0.662,1.454,1.804,2.416,2.814,1.164,1.448,1.398,1.334,0.828,4.5,0.521,7.5,0.361
