rxn_id_A,rxn_id_B,sub_A,sub_B,sub_n_heavy_A,sub_n_heavy_B,core_sig_A,core_sig_B,reason_a_core_mismatch,reason_b_sub_too_big,G_act_A,G_act_B,delta_G_act,smi_A,smi_B,key
4912,4684,*C([H])([H])[H],*[H],1,0,CCCCN,CCCCN,False,False,42.76995410196911,16.109758866667626,-26.660195235301487,[CH2:1]1[CH:2]=[CH:3][N:4]([CH3:5])[CH:6]=[C:7]1[C:8]([NH2:9])=[O:10].[CH3:11][NH:12][C:13](=[O:14])[C-:15]([CH3:16])[N+:17]([CH3:18])=[C:19]([C:20]#[N:21])[C:22]#[N:23]>>[CH2:1]1[CH:2]=[CH:3][N:4]([CH3:5])[C@H:6]2[C@:7]1([C:8]([NH2:9])=[O:10])[C:19]([C:20]#[N:21])([C:22]#[N:23])[N:17]([CH3:18])[C:15]2([C:13]([NH:12][CH3:11])=[O:14])[CH3:16],[CH2:1]1[CH:2]=[CH:3][N:4]([CH3:5])[CH:6]=[C:7]1[C:8]([NH2:9])=[O:10].[CH3:11][NH:12][C:13](=[O:14])[CH-:15][N+:16]([CH3:17])=[C:18]([C:19]#[N:20])[C:21]#[N:22]>>[CH2:1]1[C@H:2]2[C@@H:3]([N:4]([CH3:5])[CH:6]=[C:7]1[C:8]([NH2:9])=[O:10])[C:18]([C:19]#[N:20])([C:21]#[N:22])[N:16]([CH3:17])[CH:15]2[C:13]([NH:12][CH3:11])=[O:14],*[C-](C(=O)N([H])C([H])([H])[H])[N+](=C(C#N)C#N)C([H])([H])[H].CN1C=CCC(C(N)=O)=C1|CCCCN|water|298.15
5251,4352,*C(=O)OC([H])([H])[H],*[H],4,0,CCCCN,CCCCN,False,False,36.14805591430714,11.649618958625917,-24.49843695568123,[CH3:10][O:11][C:12](=[O:13])[CH:14]=[N+:15]([CH3:16])[C-:17]([CH3:18])[c:19]1[cH:20][cH:21][cH:22][cH:23][cH:24]1.[CH3:1][C:2]([CH3:3])=[CH:4]/[CH:5]=[CH:6]/[C:7]([CH3:8])=[CH2:9]>>[CH3:1][C:2]1([CH3:3])[CH:4](/[CH:5]=[CH:6]/[C:7]([CH3:8])=[CH2:9])[CH:14]([C:12]([O:11][CH3:10])=[O:13])[N:15]([CH3:16])[C:17]1([CH3:18])[c:19]1[cH:20][cH:21][cH:22][cH:23][cH:24]1,[CH2:10]=[N+:11]([CH3:12])[C-:13]([CH3:14])[c:15]1[cH:16][cH:17][cH:18][cH:19][cH:20]1.[CH3:1][C:2]([CH3:3])=[CH:4]/[CH:5]=[CH:6]/[C:7]([CH3:8])=[CH2:9]>>[CH3:1][C:2]1([CH3:3])[CH:4](/[CH:5]=[CH:6]/[C:7]([CH3:8])=[CH2:9])[C:13]([CH3:14])([c:15]2[cH:16][cH:17][cH:18][cH:19][cH:20]2)[N:11]([CH3:12])[CH2:10]1,*C([H])=[N+]([C-](c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])[H])C([H])([H])[H].C=C(C)/C=C/C=C(C)C|CCCCN|water|298.15
5495,5628,*C([H])([H])[H],*OC([H])([H])[H],1,2,CCCCN,CCCCN,False,False,24.34390440151441,48.40581844007691,24.061914038562495,[CH2:1]1[CH:2]=[CH:3][N:4]([CH3:5])[CH:6]=[C:7]1[C:8]([NH2:9])=[O:10].[CH3:11][O:12][C:13](=[O:14])[C:15]([C:16]([CH3:17])=[O:18])=[N+:19]([CH3:20])[C-:21]([CH3:22])[C:23]([CH3:24])=[O:25]>>[CH2:1]1[C@H:2]2[C@@H:3]([N:4]([CH3:5])[CH:6]=[C:7]1[C:8]([NH2:9])=[O:10])[C:15]([C:13]([O:12][CH3:11])=[O:14])([C:16]([CH3:17])=[O:18])[N:19]([CH3:20])[C:21]2([CH3:22])[C:23]([CH3:24])=[O:25],[CH2:1]1[CH:2]=[CH:3][N:4]([CH3:5])[CH:6]=[C:7]1[C:8]([NH2:9])=[O:10].[CH3:11][O:12][C:13](=[O:14])[C:15]([C:16](=[O:17])[O:18][CH3:19])=[N+:20]([CH3:21])[C-:22]([CH3:23])[C:24]([CH3:25])=[O:26]>>[CH2:1]1[CH:2]=[CH:3][N:4]([CH3:5])[C@H:6]2[C@:7]1([C:8]([NH2:9])=[O:10])[C:15]([C:13]([O:12][CH3:11])=[O:14])([C:16](=[O:17])[O:18][CH3:19])[N:20]([CH3:21])[C:22]2([CH3:23])[C:24]([CH3:25])=[O:26],*C(=O)C(C(=O)OC([H])([H])[H])=[N+]([C-](C(=O)C([H])([H])[H])C([H])([H])[H])C([H])([H])[H].CN1C=CCC(C(N)=O)=C1|CCCCN|water|298.15
5495,5628,*C(=O)C([H])([H])[H],*C(=O)OC([H])([H])[H],3,4,CCCCN,CCCCN,False,False,24.34390440151441,48.40581844007691,24.061914038562495,[CH2:1]1[CH:2]=[CH:3][N:4]([CH3:5])[CH:6]=[C:7]1[C:8]([NH2:9])=[O:10].[CH3:11][O:12][C:13](=[O:14])[C:15]([C:16]([CH3:17])=[O:18])=[N+:19]([CH3:20])[C-:21]([CH3:22])[C:23]([CH3:24])=[O:25]>>[CH2:1]1[C@H:2]2[C@@H:3]([N:4]([CH3:5])[CH:6]=[C:7]1[C:8]([NH2:9])=[O:10])[C:15]([C:13]([O:12][CH3:11])=[O:14])([C:16]([CH3:17])=[O:18])[N:19]([CH3:20])[C:21]2([CH3:22])[C:23]([CH3:24])=[O:25],[CH2:1]1[CH:2]=[CH:3][N:4]([CH3:5])[CH:6]=[C:7]1[C:8]([NH2:9])=[O:10].[CH3:11][O:12][C:13](=[O:14])[C:15]([C:16](=[O:17])[O:18][CH3:19])=[N+:20]([CH3:21])[C-:22]([CH3:23])[C:24]([CH3:25])=[O:26]>>[CH2:1]1[CH:2]=[CH:3][N:4]([CH3:5])[C@H:6]2[C@:7]1([C:8]([NH2:9])=[O:10])[C:15]([C:13]([O:12][CH3:11])=[O:14])([C:16](=[O:17])[O:18][CH3:19])[N:20]([CH3:21])[C:22]2([CH3:23])[C:24]([CH3:25])=[O:26],*C(C(=O)OC([H])([H])[H])=[N+]([C-](C(=O)C([H])([H])[H])C([H])([H])[H])C([H])([H])[H].CN1C=CCC(C(N)=O)=C1|CCCCN|water|298.15
5554,5042,*/C([H])=C(\[H])C(=C([H])[H])C([H])([H])[H],*C([H])=O,5,2,CCCNO,CCCNO,False,False,7.014376294427482,30.914207189912734,23.899830895485252,[CH3:10][NH:11][C:12](=[O:13])[C:14](=[O+:15][N-:16][c:17]1[cH:18][cH:19][cH:20][cH:21][cH:22]1)[C:23](=[O:24])[O:25][CH3:26].[CH3:1][C:2]([CH3:3])=[CH:4]/[CH:5]=[CH:6]/[C:7]([CH3:8])=[CH2:9]>>[CH3:1][C:2]1([CH3:3])[CH:4](/[CH:5]=[CH:6]/[C:7]([CH3:8])=[CH2:9])[N:16]([c:17]2[cH:18][cH:19][cH:20][cH:21][cH:22]2)[O:15][C:14]1([C:12]([NH:11][CH3:10])=[O:13])[C:23](=[O:24])[O:25][CH3:26],[CH3:1][C:2]([CH3:3])=[CH:4][CH:5]=[O:6].[CH3:7][NH:8][C:9](=[O:10])[C:11](=[O+:12][N-:13][c:14]1[cH:15][cH:16][cH:17][cH:18][cH:19]1)[C:20](=[O:21])[O:22][CH3:23]>>[CH3:1][C:2]1([CH3:3])[CH:4]([CH:5]=[O:6])[C:11]([C:9]([NH:8][CH3:7])=[O:10])([C:20](=[O:21])[O:22][CH3:23])[O:12][N:13]1[c:14]1[cH:15][cH:16][cH:17][cH:18][cH:19]1,*C([H])=C(C([H])([H])[H])C([H])([H])[H].CNC(=O)C(=[O+][N-]c1ccccc1)C(=O)OC|CCCNO|water|298.15
4912,4683,*C([H])([H])[H],*[H],1,0,CCCCN,CCCCN,False,False,42.76995410196911,19.65333510330654,-23.116618998662574,[CH2:1]1[CH:2]=[CH:3][N:4]([CH3:5])[CH:6]=[C:7]1[C:8]([NH2:9])=[O:10].[CH3:11][NH:12][C:13](=[O:14])[C-:15]([CH3:16])[N+:17]([CH3:18])=[C:19]([C:20]#[N:21])[C:22]#[N:23]>>[CH2:1]1[CH:2]=[CH:3][N:4]([CH3:5])[C@H:6]2[C@:7]1([C:8]([NH2:9])=[O:10])[C:19]([C:20]#[N:21])([C:22]#[N:23])[N:17]([CH3:18])[C:15]2([C:13]([NH:12][CH3:11])=[O:14])[CH3:16],[CH2:1]1[CH:2]=[CH:3][N:4]([CH3:5])[CH:6]=[C:7]1[C:8]([NH2:9])=[O:10].[CH3:11][NH:12][C:13](=[O:14])[CH-:15][N+:16]([CH3:17])=[C:18]([C:19]#[N:20])[C:21]#[N:22]>>[CH2:1]1[CH:2]=[CH:3][N:4]([CH3:5])[C@H:6]2[C@:7]1([C:8]([NH2:9])=[O:10])[CH:15]([C:13]([NH:12][CH3:11])=[O:14])[N:16]([CH3:17])[C:18]2([C:19]#[N:20])[C:21]#[N:22],*[C-](C(=O)N([H])C([H])([H])[H])[N+](=C(C#N)C#N)C([H])([H])[H].CN1C=CCC(C(N)=O)=C1|CCCCN|water|298.15
4995,4331,*/C([H])=C(\[H])C(=C([H])[H])C([H])([H])[H],*C([H])=O,5,2,CCCCN,CCCCN,False,False,41.33586743556979,18.297669245482915,-23.038198190086874,[CH3:10][CH-:11][N+:12]([CH3:13])=[C:14]([C:15]([CH3:16])=[O:17])[c:18]1[cH:19][cH:20][cH:21][cH:22][cH:23]1.[CH3:1][C:2]([CH3:3])=[CH:4]/[CH:5]=[CH:6]/[C:7]([CH3:8])=[CH2:9]>>[CH3:1][C:2]1([CH3:3])[CH:4](/[CH:5]=[CH:6]/[C:7]([CH3:8])=[CH2:9])[CH:11]([CH3:10])[N:12]([CH3:13])[C:14]1([C:15]([CH3:16])=[O:17])[c:18]1[cH:19][cH:20][cH:21][cH:22][cH:23]1,[CH3:1][C:2]([CH3:3])=[CH:4][CH:5]=[O:6].[CH3:7][CH-:8][N+:9]([CH3:10])=[C:11]([C:12]([CH3:13])=[O:14])[c:15]1[cH:16][cH:17][cH:18][cH:19][cH:20]1>>[CH3:1][C:2]1([CH3:3])[CH:4]([CH:5]=[O:6])[C:11]([C:12]([CH3:13])=[O:14])([c:15]2[cH:16][cH:17][cH:18][cH:19][cH:20]2)[N:9]([CH3:10])[CH:8]1[CH3:7],*C([H])=C(C([H])([H])[H])C([H])([H])[H].C[CH-][N+](C)=C(C(C)=O)c1ccccc1|CCCCN|water|298.15
5251,5465,*C(=O)OC([H])([H])[H],*c1c([H])c([H])c([H])c([H])c1[H],4,6,CCCCN,CCCCN,False,False,36.14805591430714,13.679757909042308,-22.468298005264835,[CH3:10][O:11][C:12](=[O:13])[CH:14]=[N+:15]([CH3:16])[C-:17]([CH3:18])[c:19]1[cH:20][cH:21][cH:22][cH:23][cH:24]1.[CH3:1][C:2]([CH3:3])=[CH:4]/[CH:5]=[CH:6]/[C:7]([CH3:8])=[CH2:9]>>[CH3:1][C:2]1([CH3:3])[CH:4](/[CH:5]=[CH:6]/[C:7]([CH3:8])=[CH2:9])[CH:14]([C:12]([O:11][CH3:10])=[O:13])[N:15]([CH3:16])[C:17]1([CH3:18])[c:19]1[cH:20][cH:21][cH:22][cH:23][cH:24]1,[CH3:10][C-:11]([c:12]1[cH:13][cH:14][cH:15][cH:16][cH:17]1)[N+:18]([CH3:19])=[CH:20][c:21]1[cH:22][cH:23][cH:24][cH:25][cH:26]1.[CH3:1][C:2]([CH3:3])=[CH:4]/[CH:5]=[CH:6]/[C:7]([CH3:8])=[CH2:9]>>[CH3:1][C:2]([CH3:3])=[CH:4]/[CH:5]=[CH:6]/[C:7]1([CH3:8])[CH2:9][C:11]([CH3:10])([c:12]2[cH:13][cH:14][cH:15][cH:16][cH:17]2)[N:18]([CH3:19])[CH:20]1[c:21]1[cH:22][cH:23][cH:24][cH:25][cH:26]1,*C([H])=[N+]([C-](c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])[H])C([H])([H])[H].C=C(C)/C=C/C=C(C)C|CCCCN|water|298.15
5555,5042,*/C([H])=C(\[H])C(=C([H])[H])C([H])([H])[H],*C([H])=O,5,2,CCCNO,CCCNO,False,False,8.818488836989982,30.914207189912734,22.095718352922752,[CH3:10][NH:11][C:12](=[O:13])[C:14](=[O+:15][N-:16][c:17]1[cH:18][cH:19][cH:20][cH:21][cH:22]1)[C:23](=[O:24])[O:25][CH3:26].[CH3:1][C:2]([CH3:3])=[CH:4]/[CH:5]=[CH:6]/[C:7]([CH3:8])=[CH2:9]>>[CH3:1][C:2]1([CH3:3])[CH:4](/[CH:5]=[CH:6]/[C:7]([CH3:8])=[CH2:9])[C:14]([C:12]([NH:11][CH3:10])=[O:13])([C:23](=[O:24])[O:25][CH3:26])[O:15][N:16]1[c:17]1[cH:18][cH:19][cH:20][cH:21][cH:22]1,[CH3:1][C:2]([CH3:3])=[CH:4][CH:5]=[O:6].[CH3:7][NH:8][C:9](=[O:10])[C:11](=[O+:12][N-:13][c:14]1[cH:15][cH:16][cH:17][cH:18][cH:19]1)[C:20](=[O:21])[O:22][CH3:23]>>[CH3:1][C:2]1([CH3:3])[CH:4]([CH:5]=[O:6])[C:11]([C:9]([NH:8][CH3:7])=[O:10])([C:20](=[O:21])[O:22][CH3:23])[O:12][N:13]1[c:14]1[cH:15][cH:16][cH:17][cH:18][cH:19]1,*C([H])=C(C([H])([H])[H])C([H])([H])[H].CNC(=O)C(=[O+][N-]c1ccccc1)C(=O)OC|CCCNO|water|298.15
5252,4352,*C(=O)OC([H])([H])[H],*[H],4,0,CCCCN,CCCCN,False,False,33.358351538371245,11.649618958625917,-21.70873257974533,[CH3:10][O:11][C:12](=[O:13])[CH:14]=[N+:15]([CH3:16])[C-:17]([CH3:18])[c:19]1[cH:20][cH:21][cH:22][cH:23][cH:24]1.[CH3:1][C:2]([CH3:3])=[CH:4]/[CH:5]=[CH:6]/[C:7]([CH3:8])=[CH2:9]>>[CH3:1][C:2]([CH3:3])=[CH:4][C@H:5]1[C@H:6]([C:7]([CH3:8])=[CH2:9])[CH:14]([C:12]([O:11][CH3:10])=[O:13])[N:15]([CH3:16])[C:17]1([CH3:18])[c:19]1[cH:20][cH:21][cH:22][cH:23][cH:24]1,[CH2:10]=[N+:11]([CH3:12])[C-:13]([CH3:14])[c:15]1[cH:16][cH:17][cH:18][cH:19][cH:20]1.[CH3:1][C:2]([CH3:3])=[CH:4]/[CH:5]=[CH:6]/[C:7]([CH3:8])=[CH2:9]>>[CH3:1][C:2]1([CH3:3])[CH:4](/[CH:5]=[CH:6]/[C:7]([CH3:8])=[CH2:9])[C:13]([CH3:14])([c:15]2[cH:16][cH:17][cH:18][cH:19][cH:20]2)[N:11]([CH3:12])[CH2:10]1,*C([H])=[N+]([C-](c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])[H])C([H])([H])[H].C=C(C)/C=C/C=C(C)C|CCCCN|water|298.15
