sub_canon,n,known_name
*[H],71645,H
*C,13418,CH3
*OC,2927,OMe
*C#N,2280,CN
*C(=O)OC,2055,CO2Me
*C(C)=O,2047,C(=O)Me
*c1ccccc1,2008,Ph
*NC,1968,
*C(=O)NC,1901,C(=O)NHMe
*F,1371,F
*C(=C)C,468,
*C=C(C)C,468,
*Cl,397,Cl
*Br,382,Br
*N,325,
*C(N)=O,325,
*C(F)(F)F,302,CF3
*C=O,167,
*[C-](C#N)C#N,113,
*[C-](C)C,103,
*[CH-]C#N,102,
*[C-](C)C#N,96,
*[O-],85,
*[CH-]C(=O)OC,80,
*[CH-]C,76,
*[N+]#N,71,
*[N-]C,70,
*[N+]#CC(C)=O,69,
*[C-](C)C(=O)NC,68,
*[N+]#CC#N,68,
*[CH-]C(=O)NC,68,
*[N-]C#N,67,
*[N+]#CC,66,
*[CH-]C(C)=O,61,
*[NH-],60,
*[C-](C)C(=O)OC,59,
*[N+]#CC(=O)OC,57,
*[C-](C)C(C)=O,56,
*[CH2-],51,
*[C-](C#N)C(C)=O,50,
*[N-]C(C)=O,50,
*[N-]c1ccccc1,48,
*[C-](C(C)=O)C(C)=O,47,
*[N-]C(=O)NC,46,
*[C-](C)c1ccccc1,45,
*[C-](C#N)C(=O)OC,45,
*[N+]#CC(=O)NC,44,
*[N-]C(=O)OC,43,
*[CH-]c1ccccc1,40,
*[C-](C#N)C(=O)NC,39,
*[NH+]=CC(C)=O,38,
*[N+](C)=CC(=O)OC,35,
*[NH+]=CC,34,
*[O+]=C(C)C,28,
*[N+]#C,28,
*[C-](C(C)=O)C(=O)OC,27,
*[NH+]=C,25,
*[C-](C(C)=O)C(=O)NC,25,
*[N+](=C)C,24,
*C#CC,24,
*[O+]=CC#N,24,
*[N+](C)=C(C)C#N,23,
*[N+](C)=CC#N,23,
*[N+](C)=C(C)C,23,
*[O+]=CC(C)=O,22,
*C#C,21,
*[N+](C)=CC,21,
*[NH+]=CC#N,20,
*[N+](C)=CC(C)=O,19,
*[O+]=C(C)C(C)=O,17,
*[NH+]=CC(=O)NC,17,
*[NH+]=C(C#N)C#N,16,
*[NH+]=C(C)C,16,
*[NH+]=C(C)C#N,16,
*[NH+]=C(C)C(=O)NC,14,
*[NH+]=C(C#N)C(C)=O,14,
*[N+](C)=CC(=O)NC,13,
*C#CBr,13,
*[O+]=C(C(C)=O)C(C)=O,13,
*[NH+]=C(C)C(C)=O,13,
*[O+]=C(C)C#N,13,
*C=[NH+][C-](C)C,12,
*[N+]#Cc1ccccc1,12,
*[CH-][N+]#N,12,
*[O+]=C(C#N)C(C)=O,12,
*[O+]=C(C#N)C#N,11,
*C#COC,11,
*[NH+]=C(C#N)C(=O)NC,11,
*[CH-][N+]#CC(C)=O,11,
*[N+](C)=C(C)C(=O)NC,11,
*[NH+]=C(C)C(=O)OC,11,
*C#[N+][CH2-],10,
*[O+]=CC,10,
*[NH+]=C(C#N)C(=O)OC,10,
*[O+]=CC(=O)NC,10,
*[N-][NH+]=CC,10,
*C#CF,10,
*[O+]=C(C#N)C(=O)OC,9,
*[O+]=C(C)C(=O)OC,9,
*C=[NH+][NH-],8,
*[O+]=C(C)C(=O)NC,8,
*C#[N+][NH-],8,
*C#CC#N,8,
*[NH+]=CC(=O)OC,8,
*C=C,7,
*C#[N+][O-],7,
*[CH-][N+]#CC,7,
*[CH-][N+]#C,7,
*[N+](C)=C(C#N)C(C)=O,7,
*C#CCl,7,
*[C-](C)[N+](=C)C,6,
*[N-][NH+]=CC(C)=O,6,
*[NH+]=C(C(C)=O)C(C)=O,6,
*C=[NH+][C-](C)C#N,6,
*C=[O+][N-]C,6,
*[O+]=C(C#N)C(=O)NC,6,
*[O+]=Cc1ccccc1,6,
*[CH-][N+]#CC#N,6,
*[N+](C)=C(C)C(C)=O,5,
*C#[N+][CH-]C,5,
*[C-](C)[N+]#C,5,
*[NH+]=Cc1ccccc1,5,
*[N+](C)=C(C)C(=O)OC,4,
*[N-][NH+]=C(C)C#N,4,
*C#CC(C)=O,4,
*C(C)=[N+](C)[NH-],4,
*C#CC(=O)NC,4,
*C#[N+][CH-]C(C)=O,4,
*C#[N+][CH-]C#N,4,
*[N+](C)=C(C#N)C#N,4,
*[C-](C)[NH+]=C,4,
*[C-]([NH+]=C)C(C)=O,4,
*C(Cl)=C(Cl)Cl,4,
*[CH-][NH+]=C,4,
*C(C)=[O+][NH-],4,
*[CH-][N+](C)=CC#N,3,
*[O+]=CC(=O)OC,3,
*[c-]1[o+]noc1=O,3,
*[C-](C)[N+]#N,3,
*C(C)=[NH+][O-],3,
*C=[NH+][CH2-],3,
*[N-][N+]#CC,3,
*[N-][N+](=C)C,3,
*C=[O+][CH2-],3,
*C=[O+][N-]C#N,3,
*C#CC(=O)OC,3,
*C(C#N)=[N+]([CH2-])C,2,
*C(C#N)=[NH+][CH-]C,2,
*[O+]=NC,2,
*[CH-][O+]=C(C)C#N,2,
*[CH-][O+]=CC#N,2,
*C(=[O+][O-])C(C)=O,2,
*C#[N+][C-](C)C,2,
*C#[N+][C-](C)C#N,2,
*N=[O+][NH-],2,
*C(=[NH+][CH2-])C(C)=O,2,
*[N+](C)=NC,2,
*C=[O+][CH-]C,2,
*[N-][O+]=CC(C)=O,2,
*[N-][O+]=CC#N,2,
*[N-][N+]#CC#N,2,
*[C-](C)[N+](C)=CC,2,
*[C-](C#N)[N+]#N,2,
*C(F)=C(F)F,2,
*C(C)=[N+]([CH2-])C,2,
*C(C)=[NH+][CH2-],2,
*[O+]=C,2,
*C(C)=[O+][N-]C#N,2,
*C#[N+][N-]C(C)=O,2,
*C(C)=C(C)C,2,
*c1oc(=O)[n-][o+]1,1,
*[CH-][NH+]=CC#N,1,
*[CH-][O+]=C(C)C,1,
*[c-]1[nH+]noc1=O,1,
*[NH+]=NC,1,
*C(C#N)=[NH+][CH2-],1,
*C(C#N)=[NH+][N-]C,1,
*[N-][N+]#C,1,
*C(=[NH+][NH-])C(C)=O,1,
*C=[O+][NH-],1,
*C=[O+][CH-]C(C)=O,1,
*C=[O+][CH-]C#N,1,
*C(C#N)=[N+](C)[NH-],1,
*N=[NH+][N-]C(C)=O,1,
*N=[O+][N-]C,1,
*[C-](C#N)[NH+]=C,1,
*C(=[O+][NH-])C(C)=O,1,
*[CH-][NH+]=C(C)C,1,
*[CH-][NH+]=CC,1,
*[CH-][NH+]=CC(C)=O,1,
*C=[NH+][CH-]C,1,
*[N-][NH+]=NC,1,
*[N-][N+](C)=CC,1,
*C=[N+](C)[O-],1,
*C(C#N)=[O+][NH-],1,
*C=[NH+][O-],1,
*C(C#N)=[NH+][O-],1,
*C=[NH+][N-]C,1,
*[N-][NH+]=C,1,
*[N-][O+]=C(C)C#N,1,
*C(C)=[O+][C-](C)C,1,
*C#[N+][N-]C#N,1,
*C#[N+][N-]C,1,
*[C-](C)[N+]#CC#N,1,
*[C-](C)[NH+]=C(C)C,1,
*C=[N+]([CH2-])C,1,
*c1[nH+][n-]c(=O)o1,1,
*C(C)=[N+](C)[O-],1,
*[NH+]=NC(=O)NC,1,
