sub_canon,n,known_name,n_core_adjacent
*[H],71645,H,71645.0
*C,13418,CH3,13418.0
*OC,2927,OMe,2927.0
*C#N,2280,CN,2280.0
*C(=O)OC,2055,CO2Me,2055.0
*C(C)=O,2047,C(=O)Me,2047.0
*c1ccccc1,2008,Ph,2008.0
*NC,1968,,1968.0
*C(=O)NC,1901,C(=O)NHMe,1901.0
*F,1371,F,1371.0
*C(=C)C,468,,349.0
*C=C(C)C,468,,294.0
*Cl,397,Cl,397.0
*Br,382,Br,382.0
*N,325,,325.0
*C(N)=O,325,,325.0
*C(F)(F)F,302,CF3,302.0
*C=O,167,,167.0
*[C-](C#N)C#N,113,,0.0
*[C-](C)C,103,,0.0
*[CH-]C#N,102,,0.0
*[C-](C)C#N,96,,0.0
*[O-],85,,0.0
*[CH-]C(=O)OC,80,,0.0
*[CH-]C,76,,0.0
*[N+]#N,71,,0.0
*[N-]C,70,,0.0
*[N+]#CC(C)=O,69,,0.0
*[C-](C)C(=O)NC,68,,0.0
*[N+]#CC#N,68,,0.0
*[CH-]C(=O)NC,68,,0.0
*[N-]C#N,67,,0.0
*[N+]#CC,66,,0.0
*[CH-]C(C)=O,61,,0.0
*[NH-],60,,0.0
*[C-](C)C(=O)OC,59,,0.0
*[N+]#CC(=O)OC,57,,0.0
*[C-](C)C(C)=O,56,,0.0
*[CH2-],51,,0.0
*[C-](C#N)C(C)=O,50,,0.0
*[N-]C(C)=O,50,,0.0
*[N-]c1ccccc1,48,,0.0
*[C-](C(C)=O)C(C)=O,47,,0.0
*[N-]C(=O)NC,46,,0.0
*[C-](C)c1ccccc1,45,,0.0
*[C-](C#N)C(=O)OC,45,,0.0
*[N+]#CC(=O)NC,44,,0.0
*[N-]C(=O)OC,43,,0.0
*[CH-]c1ccccc1,40,,0.0
*[C-](C#N)C(=O)NC,39,,0.0
*[NH+]=CC(C)=O,38,,0.0
*[N+](C)=CC(=O)OC,35,,0.0
*[NH+]=CC,34,,0.0
*[O+]=C(C)C,28,,0.0
*[N+]#C,28,,0.0
*[C-](C(C)=O)C(=O)OC,27,,0.0
*[NH+]=C,25,,0.0
*[C-](C(C)=O)C(=O)NC,25,,0.0
*[N+](=C)C,24,,0.0
*C#CC,24,,0.0
*[O+]=CC#N,24,,0.0
*[N+](C)=C(C)C#N,23,,0.0
*[N+](C)=CC#N,23,,0.0
*[N+](C)=C(C)C,23,,0.0
*[O+]=CC(C)=O,22,,0.0
*C#C,21,,0.0
*[N+](C)=CC,21,,0.0
*[NH+]=CC#N,20,,0.0
*[N+](C)=CC(C)=O,19,,0.0
*[O+]=C(C)C(C)=O,17,,0.0
*[NH+]=CC(=O)NC,17,,0.0
*[NH+]=C(C#N)C#N,16,,0.0
*[NH+]=C(C)C,16,,0.0
*[NH+]=C(C)C#N,16,,0.0
*[NH+]=C(C)C(=O)NC,14,,0.0
*[NH+]=C(C#N)C(C)=O,14,,0.0
*[N+](C)=CC(=O)NC,13,,0.0
*C#CBr,13,,0.0
*[O+]=C(C(C)=O)C(C)=O,13,,0.0
*[NH+]=C(C)C(C)=O,13,,0.0
*[O+]=C(C)C#N,13,,0.0
*C=[NH+][C-](C)C,12,,0.0
*[N+]#Cc1ccccc1,12,,0.0
*[CH-][N+]#N,12,,0.0
*[O+]=C(C#N)C(C)=O,12,,0.0
*[O+]=C(C#N)C#N,11,,0.0
*C#COC,11,,0.0
*[NH+]=C(C#N)C(=O)NC,11,,0.0
*[CH-][N+]#CC(C)=O,11,,0.0
*[N+](C)=C(C)C(=O)NC,11,,0.0
*[NH+]=C(C)C(=O)OC,11,,0.0
*C#[N+][CH2-],10,,0.0
*[O+]=CC,10,,0.0
*[NH+]=C(C#N)C(=O)OC,10,,0.0
*[O+]=CC(=O)NC,10,,0.0
*[N-][NH+]=CC,10,,0.0
*C#CF,10,,0.0
*[O+]=C(C#N)C(=O)OC,9,,0.0
*[O+]=C(C)C(=O)OC,9,,0.0
*C=[NH+][NH-],8,,0.0
*[O+]=C(C)C(=O)NC,8,,0.0
*C#[N+][NH-],8,,0.0
*C#CC#N,8,,0.0
*[NH+]=CC(=O)OC,8,,0.0
*C=C,7,,0.0
*C#[N+][O-],7,,0.0
*[CH-][N+]#CC,7,,0.0
*[CH-][N+]#C,7,,0.0
*[N+](C)=C(C#N)C(C)=O,7,,0.0
*C#CCl,7,,0.0
*[C-](C)[N+](=C)C,6,,0.0
*[N-][NH+]=CC(C)=O,6,,0.0
*[NH+]=C(C(C)=O)C(C)=O,6,,0.0
*C=[NH+][C-](C)C#N,6,,0.0
*C=[O+][N-]C,6,,0.0
*[O+]=C(C#N)C(=O)NC,6,,0.0
*[O+]=Cc1ccccc1,6,,0.0
*[CH-][N+]#CC#N,6,,0.0
*[N+](C)=C(C)C(C)=O,5,,0.0
*C#[N+][CH-]C,5,,0.0
*[C-](C)[N+]#C,5,,0.0
*[NH+]=Cc1ccccc1,5,,0.0
*[N+](C)=C(C)C(=O)OC,4,,0.0
*[N-][NH+]=C(C)C#N,4,,0.0
*C#CC(C)=O,4,,0.0
*C(C)=[N+](C)[NH-],4,,0.0
*C#CC(=O)NC,4,,0.0
*C#[N+][CH-]C(C)=O,4,,0.0
*C#[N+][CH-]C#N,4,,0.0
*[N+](C)=C(C#N)C#N,4,,0.0
*[C-](C)[NH+]=C,4,,0.0
*[C-]([NH+]=C)C(C)=O,4,,0.0
*C(Cl)=C(Cl)Cl,4,,0.0
*[CH-][NH+]=C,4,,0.0
*C(C)=[O+][NH-],4,,0.0
*[CH-][N+](C)=CC#N,3,,0.0
*[O+]=CC(=O)OC,3,,0.0
*[c-]1[o+]noc1=O,3,,0.0
*[C-](C)[N+]#N,3,,0.0
*C(C)=[NH+][O-],3,,0.0
*C=[NH+][CH2-],3,,0.0
*[N-][N+]#CC,3,,0.0
*[N-][N+](=C)C,3,,0.0
*C=[O+][CH2-],3,,0.0
*C=[O+][N-]C#N,3,,0.0
*C#CC(=O)OC,3,,0.0
*C(C#N)=[N+]([CH2-])C,2,,0.0
*C(C#N)=[NH+][CH-]C,2,,0.0
*[O+]=NC,2,,0.0
*[CH-][O+]=C(C)C#N,2,,0.0
*[CH-][O+]=CC#N,2,,0.0
*C(=[O+][O-])C(C)=O,2,,0.0
*C#[N+][C-](C)C,2,,0.0
*C#[N+][C-](C)C#N,2,,0.0
*N=[O+][NH-],2,,0.0
*C(=[NH+][CH2-])C(C)=O,2,,0.0
*[N+](C)=NC,2,,0.0
*C=[O+][CH-]C,2,,0.0
*[N-][O+]=CC(C)=O,2,,0.0
*[N-][O+]=CC#N,2,,0.0
*[N-][N+]#CC#N,2,,0.0
*[C-](C)[N+](C)=CC,2,,0.0
*[C-](C#N)[N+]#N,2,,0.0
*C(F)=C(F)F,2,,0.0
*C(C)=[N+]([CH2-])C,2,,0.0
*C(C)=[NH+][CH2-],2,,0.0
*[O+]=C,2,,0.0
*C(C)=[O+][N-]C#N,2,,0.0
*C#[N+][N-]C(C)=O,2,,0.0
*C(C)=C(C)C,2,,0.0
*c1oc(=O)[n-][o+]1,1,,0.0
*[CH-][NH+]=CC#N,1,,0.0
*[CH-][O+]=C(C)C,1,,0.0
*[c-]1[nH+]noc1=O,1,,0.0
*[NH+]=NC,1,,0.0
*C(C#N)=[NH+][CH2-],1,,0.0
*C(C#N)=[NH+][N-]C,1,,0.0
*[N-][N+]#C,1,,0.0
*C(=[NH+][NH-])C(C)=O,1,,0.0
*C=[O+][NH-],1,,0.0
*C=[O+][CH-]C(C)=O,1,,0.0
*C=[O+][CH-]C#N,1,,0.0
*C(C#N)=[N+](C)[NH-],1,,0.0
*N=[NH+][N-]C(C)=O,1,,0.0
*N=[O+][N-]C,1,,0.0
*[C-](C#N)[NH+]=C,1,,0.0
*C(=[O+][NH-])C(C)=O,1,,0.0
*[CH-][NH+]=C(C)C,1,,0.0
*[CH-][NH+]=CC,1,,0.0
*[CH-][NH+]=CC(C)=O,1,,0.0
*C=[NH+][CH-]C,1,,0.0
*[N-][NH+]=NC,1,,0.0
*[N-][N+](C)=CC,1,,0.0
*C=[N+](C)[O-],1,,0.0
*C(C#N)=[O+][NH-],1,,0.0
*C=[NH+][O-],1,,0.0
*C(C#N)=[NH+][O-],1,,0.0
*C=[NH+][N-]C,1,,0.0
*[N-][NH+]=C,1,,0.0
*[N-][O+]=C(C)C#N,1,,0.0
*C(C)=[O+][C-](C)C,1,,0.0
*C#[N+][N-]C#N,1,,0.0
*C#[N+][N-]C,1,,0.0
*[C-](C)[N+]#CC#N,1,,0.0
*[C-](C)[NH+]=C(C)C,1,,0.0
*C=[N+]([CH2-])C,1,,0.0
*c1[nH+][n-]c(=O)o1,1,,0.0
*C(C)=[N+](C)[O-],1,,0.0
*[NH+]=NC(=O)NC,1,,0.0
