rxn_id,fold,scaffold
0,2,C#[N+][C-](C)C#N.C=CC
1,2,C#[N+][C-](C)C#N.C=CC
2,3,C#CC.CC(=O)C#[N+][O-]
3,3,C#CC.CC(=O)C#[N+][O-]
4,3,CC#CC.C[N-][N+]#CC(C)=O
5,2,CC=[O+][O-].CNC(=O)C#CF
6,2,CC=[O+][O-].CNC(=O)C#CF
7,3,CC#CC(=O)NC.[CH2-][O+]=CC
8,3,CC#CC(=O)NC.[CH2-][O+]=CC
9,4,C=C(C)C.C[C-](C#N)[N+]#CC#N
10,4,C=C(C)C.C[C-](C#N)[N+]#CC#N
13,4,CC(C)=[NH+][O-].COC#COC
14,0,C#CC.COC(=O)[N-][NH+]=C(C)C#N
15,0,C#CC.COC(=O)[N-][NH+]=C(C)C#N
16,0,CC#CC.CC(C#N)=[NH+][C-](C#N)C#N
17,1,CC#CF.CC(=O)C=[O+][CH-]C(C)=O
18,1,C=[NH+][CH-]C.FC1=C(F)C2C=CC1O2
19,1,C=[NH+][CH-]C.FC1=C(F)C2C=CC1O2
20,3,CC(C#N)=C(C#N)C#N.CC=[N+](C)[NH-]
22,2,COC(OC)=C(F)F.C[C-](C)[N+]#N
23,2,COC(OC)=C(F)F.C[C-](C)[N+]#N
24,3,C#CC(=O)OC.CC(=O)[N-][O+]=NC#N
25,3,C#CC(=O)OC.CC(=O)[N-][O+]=NC#N
26,4,C1=CC2C=CC1O2.C[N-][N+]#CC(C)=O
27,0,C#[N+][CH-]C(=O)OC.C1=CC2CCC1C2
28,1,C/C(F)=C(\C)F.CC(=O)[N-][N+]#CC#N
29,4,C#CC(C)=O.COC(=O)[N-][O+]=C(C)C
30,4,C#CC(C)=O.COC(=O)[N-][O+]=C(C)C
31,2,CC#CC(F)(F)F.C[c-]1[o+]noc1=O
33,0,CC#[N+][C-](C#N)C#N.COC(=O)C#CF
34,0,CC#[N+][C-](C#N)C#N.COC(=O)C#CF
