arm,split,channel,bin,n,sign_acc
A_diff,component,cpcm_dft,"[0,1)",1345,0.5576208178438662
A_diff,component,cpcm_dft,"[1,2)",1510,0.676158940397351
A_diff,component,cpcm_dft,"[2,3)",1185,0.7417721518987341
A_diff,component,cpcm_dft,"[3,5)",1840,0.866304347826087
A_diff,component,cpcm_dft,"[5,10)",2465,0.9630831643002028
A_diff,component,cpcm_dft,"[10,inf)",1335,1.0
A_diff,component,d1_own_dft,"[0,1)",1730,0.6699421965317919
A_diff,component,d1_own_dft,"[1,2)",1380,0.8557971014492753
A_diff,component,d1_own_dft,"[2,3)",990,0.9181818181818182
A_diff,component,d1_own_dft,"[3,5)",1275,0.9403921568627451
A_diff,component,d1_own_dft,"[5,10)",1660,0.9795180722891567
A_diff,component,d1_own_dft,"[10,inf)",2645,1.0
A_diff,component,d2_own_dft,"[0,1)",1725,0.662608695652174
A_diff,component,d2_own_dft,"[1,2)",1310,0.7732824427480917
A_diff,component,d2_own_dft,"[2,3)",915,0.8065573770491803
A_diff,component,d2_own_dft,"[3,5)",1430,0.9566433566433566
A_diff,component,d2_own_dft,"[5,10)",1945,0.9737789203084833
A_diff,component,d2_own_dft,"[10,inf)",2355,1.0
A_diff,component,disp_dft,"[0,1)",2665,0.6596622889305817
A_diff,component,disp_dft,"[1,2)",2325,0.8675268817204301
A_diff,component,disp_dft,"[2,3)",1555,0.9337620578778135
A_diff,component,disp_dft,"[3,5)",1935,0.9757105943152454
A_diff,component,disp_dft,"[5,10)",1170,0.9965811965811966
A_diff,component,disp_dft,"[10,inf)",30,1.0
A_diff,component,elst_dft,"[0,1)",1130,0.5088495575221239
A_diff,component,elst_dft,"[1,2)",1135,0.5938325991189427
A_diff,component,elst_dft,"[2,3)",950,0.6652631578947369
A_diff,component,elst_dft,"[3,5)",1650,0.756969696969697
A_diff,component,elst_dft,"[5,10)",2710,0.8269372693726937
A_diff,component,elst_dft,"[10,inf)",2105,0.9049881235154394
A_diff,component,oi_dft,"[0,1)",1050,0.5485714285714286
