arm,split,channel,abs_mae_arm0,mae_delta,arm0_mae_delta,rho_equiv
A_diff,component,cpcm_dft,2.323242705712929,2.546324223026214,2.414926424403714,0.3993683094085404
A_diff,component,d1_own_dft,1.8250041645668031,2.089660659004371,1.7180787020070365,0.3444681192386132
A_diff,component,d2_own_dft,1.5650301648920864,1.930670269544802,1.7993759897636403,0.2390768505326213
A_diff,component,disp_dft,1.023051461017022,1.2194144507964844,1.092913883853541,0.2896412747343363
A_diff,component,elst_dft,3.819571111153831,4.671032312817485,4.201663785212722,0.25223256532430294
A_diff,component,oi_dft,3.079481664294895,4.845537369433254,3.8305797010140266,-0.2379373140589831
A_diff,component,pauli_dft,5.664575649246551,8.481923076790604,6.578409799963088,-0.1210472073721458
A_diff,swaptype_holdout,cpcm_dft,2.323242705712929,2.507060009476912,2.414926424403714,0.41774892548346343
A_diff,swaptype_holdout,d1_own_dft,1.8250041645668031,1.873326376124168,1.7180787020070365,0.4731715976466754
A_diff,swaptype_holdout,d2_own_dft,1.5650301648920864,1.8154464799866503,1.7993759897636403,0.3271914845424767
A_diff,swaptype_holdout,disp_dft,1.023051461017022,1.196533614534337,1.092913883853541,0.3160492151816694
A_diff,swaptype_holdout,elst_dft,3.819571111153831,4.362909003938422,4.201663785212722,0.3476313017822862
A_diff,swaptype_holdout,oi_dft,3.079481664294895,4.409306850657708,3.8305797010140266,-0.025074441890591492
A_diff,swaptype_holdout,pauli_dft,5.664575649246551,7.645983809057658,6.578409799963088,0.0890343730810097
B_concat,component,cpcm_dft,2.323242705712929,2.858356263148887,2.414926424403714,0.2431434815376856
B_concat,component,d1_own_dft,1.8250041645668031,2.5940666215844903,1.7180787020070365,-0.010193421047466122
B_concat,component,d2_own_dft,1.5650301648920864,2.5356558690391315,1.7993759897636403,-0.3125178042334622
B_concat,component,disp_dft,1.023051461017022,1.520720447591532,1.092913883853541,-0.10477494271136889
B_concat,component,elst_dft,3.819571111153831,5.119574439125069,4.201663785212722,0.10172662237178143
B_concat,component,oi_dft,3.079481664294895,5.411689232887791,3.8305797010140266,-0.5441179003510386
B_concat,component,pauli_dft,5.664575649246551,9.36314717238018,6.578409799963088,-0.36608883460683495
B_concat,swaptype_holdout,cpcm_dft,2.323242705712929,2.476246357516632,2.414926424403714,0.4319735758514295
B_concat,swaptype_holdout,d1_own_dft,1.8250041645668031,1.990291765848091,1.7180787020070365,0.4053303457415458
B_concat,swaptype_holdout,d2_own_dft,1.5650301648920864,2.162282570658733,1.7993759897636403,0.04555814915742873
B_concat,swaptype_holdout,disp_dft,1.023051461017022,1.3358518168262197,1.092913883853541,0.14750544180189296
B_concat,swaptype_holdout,elst_dft,3.819571111153831,4.31778987361386,4.201663785212722,0.3610545065651195
B_concat,swaptype_holdout,oi_dft,3.079481664294895,4.564914757034346,3.8305797010140266,-0.09870247661047804
B_concat,swaptype_holdout,pauli_dft,5.664575649246551,7.507013492911308,6.578409799963088,0.12184812070749429
C_symmetric,component,cpcm_dft,2.323242705712929,2.582074438178082,2.414926424403714,0.3823842587024373
C_symmetric,component,d1_own_dft,1.8250041645668031,1.9490466414984355,1.7180787020070365,0.4297218279606261
C_symmetric,component,d2_own_dft,1.5650301648920864,1.832741267820269,1.7993759897636403,0.31431145088148593
C_symmetric,component,disp_dft,1.023051461017022,1.1249271902472724,1.092913883853541,0.3954616272539666
C_symmetric,component,elst_dft,3.819571111153831,4.505095294214306,4.201663785212722,0.3044173062456599
C_symmetric,component,oi_dft,3.079481664294895,4.6427774139334455,3.8305797010140266,-0.13650273511444966
C_symmetric,component,pauli_dft,5.664575649246551,7.649880698102061,6.578409799963088,0.08810556216595122
C_symmetric,swaptype_holdout,cpcm_dft,2.323242705712929,2.0737994786952823,2.414926424403714,0.6016045573815574
C_symmetric,swaptype_holdout,d1_own_dft,1.8250041645668031,1.5867302877505638,1.7180787020070365,0.622037678289854
C_symmetric,swaptype_holdout,d2_own_dft,1.5650301648920864,1.5407148798613457,1.7993759897636403,0.5154159305379211
C_symmetric,swaptype_holdout,disp_dft,1.023051461017022,0.9380936155140884,1.092913883853541,0.5795954526389764
C_symmetric,swaptype_holdout,elst_dft,3.819571111153831,3.6071285610531576,4.201663785212722,0.5540727145156463
C_symmetric,swaptype_holdout,oi_dft,3.079481664294895,3.51324893973665,3.8305797010140266,0.3492223835715653
C_symmetric,swaptype_holdout,pauli_dft,5.664575649246551,5.837611641288167,6.578409799963088,0.4689864040673003
