arm,channel,swap_type,n,mae_delta
A_diff,cpcm_dft,*/C([H])=C(\[H])C(=C([H])[H])C([H])([H])[H]>>*C([H])=O,140,3.3331797707521047
A_diff,cpcm_dft,*Br>>*C#N,10,0.7953199266280941
A_diff,cpcm_dft,*Br>>*Cl,30,1.1962838544209549
A_diff,cpcm_dft,*C#N>>*C(=O)C([H])([H])[H],490,2.180310116856308
A_diff,cpcm_dft,*C#N>>*C(=O)N([H])C([H])([H])[H],660,4.243772417423529
A_diff,cpcm_dft,*C#N>>*C(=O)OC([H])([H])[H],305,2.8299912233824696
A_diff,cpcm_dft,*C#N>>*C([H])([H])[H],500,2.514448030915496
A_diff,cpcm_dft,*C#N>>*F,20,2.4789876255571013
A_diff,cpcm_dft,*C#N>>*[H],125,2.0894437224222893
A_diff,cpcm_dft,*C#N>>*c1c([H])c([H])c([H])c([H])c1[H],675,2.0490038604379817
A_diff,cpcm_dft,*C(=O)C([H])([H])[H]>>*C(=O)N([H])C([H])([H])[H],200,2.4275161812879666
A_diff,cpcm_dft,*C(=O)C([H])([H])[H]>>*C(=O)OC([H])([H])[H],190,3.0097670988290295
A_diff,cpcm_dft,*C(=O)C([H])([H])[H]>>*C([H])([H])[H],455,1.8464999875165793
A_diff,cpcm_dft,*C(=O)C([H])([H])[H]>>*[H],60,3.5860537577865776
A_diff,cpcm_dft,*C(=O)C([H])([H])[H]>>*c1c([H])c([H])c([H])c([H])c1[H],550,3.522778306104622
A_diff,cpcm_dft,*C(=O)N([H])C([H])([H])[H]>>*C(=O)OC([H])([H])[H],285,2.1519103475055843
A_diff,cpcm_dft,*C(=O)N([H])C([H])([H])[H]>>*C([H])([H])[H],875,2.237932070825315
A_diff,cpcm_dft,*C(=O)N([H])C([H])([H])[H]>>*Cl,20,5.374533136744831
A_diff,cpcm_dft,*C(=O)N([H])C([H])([H])[H]>>*[H],105,2.3099373654683246
A_diff,cpcm_dft,*C(=O)N([H])C([H])([H])[H]>>*c1c([H])c([H])c([H])c([H])c1[H],470,3.031954305791004
A_diff,cpcm_dft,*C(=O)OC([H])([H])[H]>>*C([H])([H])[H],685,2.0956565952923363
A_diff,cpcm_dft,*C(=O)OC([H])([H])[H]>>*[H],265,2.760466840150213
A_diff,cpcm_dft,*C(=O)OC([H])([H])[H]>>*c1c([H])c([H])c([H])c([H])c1[H],575,2.8748242809208344
A_diff,cpcm_dft,*C([H])([H])[H]>>*N([H])C([H])([H])[H],140,1.7255550522557632
A_diff,cpcm_dft,*C([H])([H])[H]>>*OC([H])([H])[H],110,1.5641997635570852
A_diff,cpcm_dft,*C([H])([H])[H]>>*[H],445,2.3450747183628176
A_diff,cpcm_dft,*C([H])([H])[H]>>*c1c([H])c([H])c([H])c([H])c1[H],400,1.4701575240321703
A_diff,cpcm_dft,*F>>*c1c([H])c([H])c([H])c([H])c1[H],10,0.4390173142397786
A_diff,cpcm_dft,*N([H])C([H])([H])[H]>>*OC([H])([H])[H],440,2.621407229759386
A_diff,cpcm_dft,*[H]>>*c1c([H])c([H])c([H])c([H])c1[H],445,1.4708201419770104
A_diff,d1_own_dft,*/C([H])=C(\[H])C(=C([H])[H])C([H])([H])[H]>>*C([H])=O,140,3.3984121914184606
A_diff,d1_own_dft,*Br>>*C#N,10,0.6296626291026637
A_diff,d1_own_dft,*Br>>*Cl,30,1.650432895954919
A_diff,d1_own_dft,*C#N>>*C(=O)C([H])([H])[H],490,1.4298075188546726
A_diff,d1_own_dft,*C#N>>*C(=O)N([H])C([H])([H])[H],660,1.7692110089801358
A_diff,d1_own_dft,*C#N>>*C(=O)OC([H])([H])[H],305,1.671823908679879
A_diff,d1_own_dft,*C#N>>*C([H])([H])[H],500,1.3470940903457997
A_diff,d1_own_dft,*C#N>>*F,20,3.8589803090511863
A_diff,d1_own_dft,*C#N>>*[H],125,1.7107015469319695
A_diff,d1_own_dft,*C#N>>*c1c([H])c([H])c([H])c([H])c1[H],675,1.5222883276169112
A_diff,d1_own_dft,*C(=O)C([H])([H])[H]>>*C(=O)N([H])C([H])([H])[H],200,2.0618544037134483
A_diff,d1_own_dft,*C(=O)C([H])([H])[H]>>*C(=O)OC([H])([H])[H],190,2.1145370390628817
A_diff,d1_own_dft,*C(=O)C([H])([H])[H]>>*C([H])([H])[H],455,1.3678963683076082
A_diff,d1_own_dft,*C(=O)C([H])([H])[H]>>*[H],60,2.0021545439187607
A_diff,d1_own_dft,*C(=O)C([H])([H])[H]>>*c1c([H])c([H])c([H])c([H])c1[H],550,1.8382151224946044
A_diff,d1_own_dft,*C(=O)N([H])C([H])([H])[H]>>*C(=O)OC([H])([H])[H],285,1.7600866373373079
A_diff,d1_own_dft,*C(=O)N([H])C([H])([H])[H]>>*C([H])([H])[H],875,2.014812095981606
A_diff,d1_own_dft,*C(=O)N([H])C([H])([H])[H]>>*Cl,20,6.290672391577656
A_diff,d1_own_dft,*C(=O)N([H])C([H])([H])[H]>>*[H],105,2.1276782726268175
A_diff,d1_own_dft,*C(=O)N([H])C([H])([H])[H]>>*c1c([H])c([H])c([H])c([H])c1[H],470,1.2304837910859978
A_diff,d1_own_dft,*C(=O)OC([H])([H])[H]>>*C([H])([H])[H],685,2.196311488309254
A_diff,d1_own_dft,*C(=O)OC([H])([H])[H]>>*[H],265,2.2665703122662038
A_diff,d1_own_dft,*C(=O)OC([H])([H])[H]>>*c1c([H])c([H])c([H])c([H])c1[H],575,2.490309124838424
