model,fold,member,channel,n_test,MAE,RMSE,tail_ratio,NMAE,R2_det
m3,0,0,strain,114,15.702509953264604,20.301175248472138,1.2928617978205106,0.7010587106134626,0.4005089625704987
m3,0,0,Pauli,114,63.424477296963076,86.47179386854158,1.363382049861719,0.68932574280067,0.43166562091412386
m3,0,0,Velst,114,29.417888065179188,38.49383219423052,1.3085178687519101,0.7327150025626229,0.3927273887972631
m3,0,0,oi,114,46.376884618349244,62.70122193451391,1.3519929691376005,0.7522950370026175,0.31981170200616826
m3,0,0,disp,114,1.2119024558025493,1.6441746919246534,1.3566889678722893,0.2002892878096481,0.9489257339794266
m3,1,0,strain,124,11.223303510296729,14.66232915787239,1.306418305841997,0.6132915645558433,0.5543465068243205
m3,1,0,Pauli,124,52.294904662716775,68.79566154809645,1.315532784538065,0.6029091681888586,0.6329263235970626
m3,1,0,Velst,124,22.460605232946335,29.307143525095764,1.3048243010881375,0.5620806863582878,0.669918936139797
m3,1,0,oi,124,33.801561057567596,48.53005942234713,1.4357342650446043,0.5427185818439679,0.6450707451247948
m3,1,0,disp,124,1.3845985976438369,1.9681372542714328,1.4214496949661803,0.24342976275831477,0.9231925584925675
m3,2,0,strain,116,15.294044408304938,20.229280970379136,1.322690089705394,0.5967961675295247,0.5813529704476341
m3,2,0,Pauli,116,53.556204150462975,74.74087512048335,1.3955596052047172,0.5362486757970469,0.6235894015376877
m3,2,0,Velst,116,24.0066158524875,32.75996222361945,1.3646222535037131,0.5391200664034205,0.6220945150200277
m3,2,0,oi,116,34.539125833018076,48.60782382271023,1.4073264059347739,0.5119983260285937,0.6449990569011357
m3,2,0,disp,116,1.2850218276525367,1.7830393022521223,1.3875556538283542,0.22352747215228375,0.9362404098737814
m3,3,0,strain,119,15.332566958515583,19.84279952586267,1.294160304634583,0.7077786629247373,0.42175928845835353
m3,3,0,Pauli,119,54.78490817045965,73.2207207676882,1.3365126129237406,0.5655343465776165,0.6436098461755685
m3,3,0,Velst,119,23.428533333690226,31.385991695276076,1.3396481652627834,0.5848296679357398,0.6272498431411733
m3,3,0,oi,119,38.87493770863829,50.45772858544456,1.2979500819684269,0.5910390685295217,0.6287426587285543
m3,3,0,disp,119,1.2720728745730985,1.7776787796632454,1.3974661477313757,0.21418969113597663,0.9401401442648314
m3,4,0,strain,122,13.448442431746937,17.348750857247605,1.2900193420387065,0.6610808867002799,0.5251036876323321
m3,4,0,Pauli,122,65.77223245433119,87.33234411173396,1.3277996025507115,0.7118394510589764,0.4448374069998662
m3,4,0,Velst,122,26.505663107653135,35.24942436493293,1.329882758328546,0.6560042281836479,0.5252723153826842
m3,4,0,oi,122,45.80255386673036,61.028028313283365,1.3324154039718807,0.6827544912794382,0.5062151171111615
m3,4,0,disp,122,1.3106890866746668,1.7107183731944107,1.3052053233575427,0.24332993789236315,0.9328786047940946
