model,fold,member,channel,MAE,RMSE,NMAE,R2_det
m1,0,0,strain,15.594743248743889,24.03434182146359,0.7710422467760415,0.20283829940962206
m1,0,0,Pauli,52.43413407374651,81.62015513985757,0.7024076606215789,0.3279088458291838
m1,0,0,Velst,25.54865494523293,38.028439773843346,0.6831273153391977,0.3769878666634605
m1,0,0,oi,35.74021176688182,55.09228422168437,0.7063997493935865,0.3235669584934998
m1,0,0,disp,2.1484298087083378,2.716144444780844,0.352772129131899,0.8705186818381049
m1,0,0,barrier,16.971381929440376,22.255104312430447,0.6450564835701548,0.5550357147153107
m1,0,1,strain,15.389743086619255,23.511904870865607,0.7609065373852016,0.23711761032917245
m1,0,1,Pauli,52.0984533566695,81.07363113544113,0.6979108817319682,0.3368792819041976
m1,0,1,Velst,24.852274806835712,37.63634227139396,0.6645073020579274,0.38976894071077883
m1,0,1,oi,35.05861782301695,54.476655227668445,0.6929281506723813,0.3386001011260731
m1,0,1,disp,2.137771130085756,2.6874404478027483,0.35102197432759497,0.873240917646312
m1,0,1,barrier,16.72183619067073,22.065287637837784,0.6355716285707261,0.5625936616575427
m1,0,2,strain,15.819800489988083,23.848031616953335,0.7821696272127869,0.2151493260170012
m1,0,2,Pauli,52.036049213164894,83.01466897081659,0.6970749158249026,0.3047467487474672
m1,0,2,Velst,25.173323592314354,38.65592084869315,0.6730915972150333,0.35625845757769514
m1,0,2,oi,36.06928801421936,56.63096959702212,0.7129038904481179,0.28525479687044175
m1,0,2,disp,1.9777758784878712,2.4960881839132276,0.32475075740051595,0.8906493832771066
m1,0,2,barrier,17.33805274251753,22.952467711281752,0.6589930849792044,0.5267129125908971
m1,0,3,strain,15.968698779741922,24.174368162597467,0.7895315228234863,0.1935225626217415
m1,0,3,Pauli,53.01907381033286,83.8839359151542,0.7102435133392447,0.2901101819543377
m1,0,3,Velst,25.43826506458796,39.23281164446486,0.6801756788257584,0.33690102586207427
m1,0,3,oi,36.09193118298665,56.46391711356949,0.7133514291713638,0.28946535008830676
m1,0,3,disp,2.0726009046611114,2.579482501199355,0.34032102469178643,0.8832205138349742
m1,0,3,barrier,17.182438676269392,22.598922232117076,0.653078430369143,0.5411810560821635
m1,0,4,strain,15.633409270873436,23.660452072063375,0.7729539894768429,0.22744744258526828
m1,0,4,Pauli,55.65517482390771,86.5699398537433,0.7455567225457332,0.24392029776557167
m1,0,4,Velst,26.499423428223682,40.29717126969771,0.7085492376551427,0.30043413220006976
m1,0,4,oi,37.58353672768825,58.154327765802144,0.7428327817118561,0.2462846947385534
m1,0,4,disp,2.056007924895638,2.574189602623026,0.33759645776538183,0.8836992670942478
m1,0,4,barrier,16.992113766905206,22.430526457971297,0.6458444692644613,0.5479933551259
m1,1,0,strain,15.89439439735105,21.884509613178885,0.8153261857627124,0.17120736737603615
m1,1,0,Pauli,65.94859266281128,100.44557980066078,0.835383660605797,0.14379200052093377
m1,1,0,Velst,32.681269751633366,48.74890505713548,0.7674053669496758,0.22565223535728973
m1,1,0,oi,45.37118998169899,68.89375910741147,0.7928701791321263,0.18835061072233783
m1,1,0,disp,2.1446236762308306,3.098740326729633,0.35633897085473837,0.8449484644931567
m1,1,0,barrier,18.38772920735421,23.76606038226222,0.7324215857624898,0.494383355942565
m1,1,1,strain,15.029871740264277,20.304955722302214,0.7709792328127166,0.28652898146204364
m1,1,1,Pauli,62.913327214025685,96.4641562824138,0.7969353623307885,0.2103228683968411
m1,1,1,Velst,31.724664926336658,46.58707980863079,0.7449428469019055,0.2928080713990777
m1,1,1,oi,45.02177662368744,67.35110543654847,0.7867641142070159,0.22429220027230878
m1,1,1,disp,2.0796096692162176,3.0544541920911117,0.34553659810865084,0.8493486817909155
m1,1,1,barrier,19.494668579293837,25.114976061819323,0.7765132884951306,0.4353588748007857
m1,1,2,strain,14.734479119316225,20.052903651441465,0.7558266366886287,0.3041321414325082
m1,1,2,Pauli,61.08834217748334,96.68952121393268,0.77381792162705,0.2066287829241803
m1,1,2,Velst,31.4761587002585,47.565677454432915,0.739107546956032,0.2627858013249189
m1,1,2,oi,44.376444533371156,67.43455768529702,0.7754868131211249,0.22236870800201247
m1,1,2,disp,2.131292400821563,3.0867606098955775,0.35412391885649297,0.846145004249513
m1,1,2,barrier,18.939723556464717,24.66458367285817,0.754408671386187,0.45542895294855945
m1,1,3,strain,15.349674258309026,20.860441657460235,0.7873839702765228,0.24695792708438402
m1,1,3,Pauli,60.13225795684322,96.76879625986653,0.7617070166958493,0.20532729084359846
m1,1,3,Velst,30.9242113957482,47.61728104281449,0.7261469941080678,0.261185339130388
m1,1,3,oi,42.77951682902152,68.2502785782694,0.7475801975900032,0.20344171581903503
m1,1,3,disp,1.9493382880764623,3.621537316537093,0.323891416064988,0.7882167383636378
m1,1,3,barrier,18.065298134665337,23.8578472396149,0.7195784839909327,0.4904703320741137
m1,1,4,strain,13.954315465111886,19.43324949652863,0.7158070020582503,0.3464736604768358
m1,1,4,Pauli,57.26914265847975,91.6293018794127,0.7254393778864455,0.2874975262156816
m1,1,4,Velst,30.280656154501823,44.854669652578885,0.7110353491256578,0.34442611800446477
m1,1,4,oi,42.35627344789044,64.07993453112803,0.7401839389609206,0.2978129421999368
m1,1,4,disp,1.9918069579908926,3.321141490250688,0.3309477785861154,0.8218932168406744
m1,1,4,barrier,18.903395814857177,24.589730137687763,0.752961661708411,0.4587293299976908
m1,2,0,strain,17.872589978864116,25.627397409023416,0.7993970867525805,0.13599232630635005
m1,2,0,Pauli,52.98038525773633,88.99732948890237,0.7347172011891846,0.27640528072881565
m1,2,0,Velst,27.337467208216268,42.43811958909601,0.7214052242167028,0.28366454990699075
m1,2,0,oi,39.222976603431086,60.84475306234914,0.8167522698727875,0.19039131666597364
m1,2,0,disp,1.8741839612683941,2.809208638327381,0.32672516870756996,0.8485640859624537
m1,2,0,barrier,17.197255676407966,22.494636661401913,0.6480109208686952,0.5871194710742313
m1,2,1,strain,17.96371421198691,25.503402919487105,0.8034728500626027,0.14433285475522106
m1,2,1,Pauli,57.56686268506512,92.99439932340213,0.7983211905209215,0.2099491846808187
m1,2,1,Velst,28.290276080562222,43.819517107554844,0.7465487860893188,0.23627087271921943
m1,2,1,oi,39.79386798989388,62.264342876437034,0.8286401191928089,0.15217208884815692
m1,2,1,disp,1.8739851647807706,2.89304161105288,0.3266905126560299,0.8393908612526126
m1,2,1,barrier,17.31039217018312,23.107031131108776,0.6522740245228247,0.5643329290633476
m1,2,2,strain,18.25398285158219,25.614786319100443,0.8164558539329152,0.1368424631614904
m1,2,2,Pauli,52.67767004236098,86.02644307656686,0.7305192310401192,0.32390866232978943
m1,2,2,Velst,26.377982283407643,40.154306839229555,0.696085488776615,0.3586893587991795
m1,2,2,oi,38.83361613558185,58.934607215666105,0.8086444954646929,0.24042672052274838
m1,2,2,disp,1.906611801731971,2.798160739447482,0.3323782912746385,0.8497528611969472
m1,2,2,barrier,17.069461155706836,22.592784012316006,0.6431954871390496,0.5835086962120962
m1,2,3,strain,18.005173498584377,24.986483425755694,0.8053272222025135,0.178667763368611
m1,2,3,Pauli,55.50635934683584,92.19003668901912,0.7697467051082523,0.22355729462895724
m1,2,3,Velst,26.983313285919927,42.7255217199263,0.7120594977902024,0.27392927128739475
m1,2,3,oi,38.14120464209587,61.37281584692932,0.7942261950713155,0.1762773822853494
m1,2,3,disp,1.9250540102681806,2.797357981540188,0.33559330848738606,0.8498390569440044
m1,2,3,barrier,17.061940009363237,22.163154005793444,0.6429120823295956,0.5991982902573447
m1,2,4,strain,17.02940558771933,25.705195402919337,0.7616835182841325,0.1307385667635751
m1,2,4,Pauli,53.24546304556631,84.44127921601321,0.7383932259939198,0.34859506219713143
m1,2,4,Velst,27.70200264453888,42.011579518465986,0.7310249072024115,0.29799177626977713
m1,2,4,oi,37.32872970527218,59.38126252452128,0.7773077761666307,0.22886973970023383
m1,2,4,disp,1.8860138835445528,2.7788652733137402,0.32878747071812586,0.8518178554034694
m1,2,4,barrier,17.20734268273077,22.63755810294888,0.6483910100165825,0.5818562661639286
m1,3,0,strain,14.731565986910175,22.443949245196762,0.7764559024362357,0.17310175859438748
m1,3,0,Pauli,61.828390462936895,107.84633273083871,0.6715711421142496,0.2885454356212799
m1,3,0,Velst,31.703588428804952,49.944453115127686,0.7321021815710177,0.2486363545723863
m1,3,0,oi,39.7787159604411,66.33407250060344,0.6819648974151076,0.3127392642951423
m1,3,0,disp,1.8013472491695035,2.4450995198702135,0.29447858394652965,0.8978245191848367
m1,3,0,barrier,16.268942799875813,22.994611411658674,0.554638101813209,0.6151256725876391
m1,3,1,strain,14.816250205039978,22.649045598575633,0.7809193492326258,0.1579200541985586
m1,3,1,Pauli,62.666232407477594,110.3494885528649,0.6806716615907143,0.2551358783170963
