,,MAE,MAE,RMSE,RMSE,NMAE,NMAE,R2_det,R2_det
,,mean,std,mean,std,mean,std,mean,std
model,channel,,,,,,,,
m1,Pauli,57.834,4.17,94.077,8.993,0.719,0.05,0.274,0.054
m1,Velst,29.102,2.595,44.262,4.312,0.717,0.028,0.308,0.067
m1,barrier,17.728,1.157,24.388,2.648,0.663,0.067,0.52,0.082
m1,disp,2.017,0.153,2.952,0.439,0.338,0.027,0.845,0.045
m1,oi,40.278,3.067,64.145,5.337,0.735,0.05,0.259,0.053
m1,strain,16.027,1.311,23.468,1.918,0.774,0.024,0.21,0.058
m2,Pauli,58.412,11.479,107.447,94.578,0.725,0.125,-0.623,4.889
m2,Velst,28.886,6.275,52.616,54.627,0.713,0.144,-0.913,6.477
m2,barrier,14.348,2.133,23.099,12.482,0.536,0.086,0.479,0.867
m2,disp,1.376,0.177,2.047,0.667,0.23,0.029,0.92,0.078
m2,oi,40.666,8.903,76.172,79.746,0.739,0.134,-0.887,6.122
m2,strain,15.879,3.326,27.496,23.953,0.765,0.131,-0.689,4.705
m3,Pauli,58.535,14.01,132.288,110.606,0.722,0.137,-1.177,5.07
m3,Velst,28.833,6.99,60.392,57.486,0.71,0.155,-1.269,6.601
m3,barrier,14.475,2.246,28.653,17.549,0.539,0.082,0.167,1.224
m3,disp,1.394,0.171,2.142,0.664,0.233,0.027,0.913,0.076
m3,oi,41.03,9.828,89.83,84.038,0.744,0.145,-1.342,6.209
m3,strain,16.014,2.908,29.219,21.537,0.773,0.12,-0.743,3.823
