reaction_id,family,source,smiles_r,smiles_p,delta_Ea,charge,multiplicity,n_heavy_atoms,quartile,path_r,path_p,path_ts
dipolar_000027,dipolar,stuyver,[CH:1]1=[CH:2][CH:3]2[CH2:4][CH2:5][CH:6]1[CH2:7]2.[CH:8]#[N+:9][CH-:10][C:11](=[O:12])[O:13][CH3:14],[CH:1]12[CH:2]([CH:3]3[CH2:4][CH2:5][CH:6]1[CH2:7]3)[CH:10]([C:11](=[O:12])[O:13][CH3:14])[N:9]=[CH:8]2,12.68209899042414,0,1,14,0,/gpfs/home1/yeseo1ee/projects/eda-asm-prediction/data/raw/dipolar_cycloaddition/extracted/full_dataset_profiles/27/r0_C4H5NO2.xyz,/gpfs/home1/yeseo1ee/projects/eda-asm-prediction/data/raw/dipolar_cycloaddition/extracted/full_dataset_profiles/27/p0_C11H15NO2.xyz,/gpfs/home1/yeseo1ee/projects/eda-asm-prediction/data/raw/dipolar_cycloaddition/extracted/full_dataset_profiles/27/TS_ts_guess_SCRNcv_template_4-13_6-7.xyz
dipolar_000031,dipolar,stuyver,[CH3:1][C:2]#[C:3][C:4]([F:5])([F:6])[F:7].[CH3:8][c-:9]1[o+:10][n:11][o:12][c:13]1=[O:14],[CH3:1][C:2]1=[C:3]([C:4]([F:5])([F:6])[F:7])[C:9]2([CH3:8])[O:10][N:11]1[O:12][C:13]2=[O:14],20.551995826465863,0,1,14,2,/gpfs/home1/yeseo1ee/projects/eda-asm-prediction/data/raw/dipolar_cycloaddition/extracted/full_dataset_profiles/31/r0_C4F3H3.xyz,/gpfs/home1/yeseo1ee/projects/eda-asm-prediction/data/raw/dipolar_cycloaddition/extracted/full_dataset_profiles/31/p0_C7F3H6NO3.xyz,/gpfs/home1/yeseo1ee/projects/eda-asm-prediction/data/raw/dipolar_cycloaddition/extracted/full_dataset_profiles/31/TS_ts_guess_oz73Rj_template_1-10_2-7.xyz
dipolar_000074,dipolar,stuyver,[CH3:10][N-:11][NH+:12]=[C:13]([C:14]#[N:15])[C:16]#[N:17].[N:1]#[C:2][C:3]1=[CH:4][CH:5]2[CH:6]=[CH:7][CH:8]1[O:9]2,[N:1]#[C:2][C:3]1=[CH:4][CH:5]2[CH:6]3[CH:7]([CH:8]1[O:9]2)[C:13]([C:14]#[N:15])([C:16]#[N:17])[NH:12][N:11]3[CH3:10],19.572652101984943,0,1,17,1,/gpfs/home1/yeseo1ee/projects/eda-asm-prediction/data/raw/dipolar_cycloaddition/extracted/full_dataset_profiles/74/r0_C4H4N4_alt.xyz,/gpfs/home1/yeseo1ee/projects/eda-asm-prediction/data/raw/dipolar_cycloaddition/extracted/full_dataset_profiles/74/p0_C11H9N5O.xyz,/gpfs/home1/yeseo1ee/projects/eda-asm-prediction/data/raw/dipolar_cycloaddition/extracted/full_dataset_profiles/74/TS_ts_guess_D1SMkS_template_1-16_3-8.xyz
dipolar_000114,dipolar,stuyver,[CH3:9][C:10](=[O:11])[CH:12]=[O+:13][C-:14]([CH3:15])[C:16]#[N:17].[F:1][C:2]1=[CH:3][CH:4]2[CH:5]=[CH:6][CH:7]1[O:8]2,[F:1][C:2]1=[CH:3][CH:4]2[CH:5]3[CH:6]([CH:7]1[O:8]2)[CH:12]([C:10]([CH3:9])=[O:11])[O:13][C:14]3([CH3:15])[C:16]#[N:17],8.543462446100978,0,1,17,0,/gpfs/home1/yeseo1ee/projects/eda-asm-prediction/data/raw/dipolar_cycloaddition/extracted/full_dataset_profiles/114/r0_C6H7NO2.xyz,/gpfs/home1/yeseo1ee/projects/eda-asm-prediction/data/raw/dipolar_cycloaddition/extracted/full_dataset_profiles/114/p0_C12FH12NO3.xyz,/gpfs/home1/yeseo1ee/projects/eda-asm-prediction/data/raw/dipolar_cycloaddition/extracted/full_dataset_profiles/114/TS_ts_guess_v_Rtqv_template_3-16_5-9.xyz
dipolar_000184,dipolar,stuyver,[CH3:12][C:13](=[O:14])[C:15]([C:16]#[N:17])=[NH+:18][O-:19].[N:1]#[C:2][C:3]1=[C:4]([C:5]#[N:6])[CH:7]2[CH:8]=[CH:9][CH:10]1[O:11]2,[N:1]#[C:2][C:3]1=[C:4]([C:5]#[N:6])[CH:7]2[CH:8]3[CH:9]([CH:10]1[O:11]2)[O:19][NH:18][C:15]3([C:13]([CH3:12])=[O:14])[C:16]#[N:17],27.58466459259353,0,1,19,3,/gpfs/home1/yeseo1ee/projects/eda-asm-prediction/data/raw/dipolar_cycloaddition/extracted/full_dataset_profiles/184/r0_C4H4N2O2_alt.xyz,/gpfs/home1/yeseo1ee/projects/eda-asm-prediction/data/raw/dipolar_cycloaddition/extracted/full_dataset_profiles/184/p0_C12H8N4O3.xyz,/gpfs/home1/yeseo1ee/projects/eda-asm-prediction/data/raw/dipolar_cycloaddition/extracted/full_dataset_profiles/184/TS_ts_guess_tFEvA4_template_3-18_7-8.xyz
dipolar_000207,dipolar,stuyver,[CH3:1][NH:2][C:3](=[O:4])[C:5]#[C:6][O:7][CH3:8].[CH3:9][C:10](=[O:11])[c:12]1[o:13][c:14](=[O:15])[c-:16]([CH3:17])[o+:18]1,[CH3:1][NH:2][C:3](=[O:4])[C:5]1=[C:6]([O:7][CH3:8])[C:16]2([CH3:17])[C:14](=[O:15])[O:13][C:12]1([C:10]([CH3:9])=[O:11])[O:18]2,15.845234905882451,0,1,18,1,/gpfs/home1/yeseo1ee/projects/eda-asm-prediction/data/raw/dipolar_cycloaddition/extracted/full_dataset_profiles/207/r0_C6H6O4.xyz,/gpfs/home1/yeseo1ee/projects/eda-asm-prediction/data/raw/dipolar_cycloaddition/extracted/full_dataset_profiles/207/p0_C11H13NO6.xyz,/gpfs/home1/yeseo1ee/projects/eda-asm-prediction/data/raw/dipolar_cycloaddition/extracted/full_dataset_profiles/207/TS_Pjl6m3_ll_ad_4-11_5-8.xyz
dipolar_000224,dipolar,stuyver,[CH3:11][N:12]=[NH+:13][NH-:14].[F:1][C:2]1([Br:3])[C:4]#[C:5][CH2:6][CH2:7][CH2:8][CH2:9][CH2:10]1,[F:1][C:2]1([Br:3])[C:4]2=[C:5]([CH2:6][CH2:7][CH2:8][CH2:9][CH2:10]1)[N:12]([CH3:11])[NH:13][NH:14]2,23.32441704376213,0,1,14,2,/gpfs/home1/yeseo1ee/projects/eda-asm-prediction/data/raw/dipolar_cycloaddition/extracted/full_dataset_profiles/224/r0_CH5N3_alt.xyz,/gpfs/home1/yeseo1ee/projects/eda-asm-prediction/data/raw/dipolar_cycloaddition/extracted/full_dataset_profiles/224/p0_BrC9FH15N3.xyz,/gpfs/home1/yeseo1ee/projects/eda-asm-prediction/data/raw/dipolar_cycloaddition/extracted/full_dataset_profiles/224/TS_ts_guess_m0aNcq_template_1-5_3-4.xyz
dipolar_000225,dipolar,stuyver,[CH3:12][C:13]#[N+:14][N-:15][C:16]#[N:17].[CH3:1][O:2][C:3]1([Cl:4])[C:5]#[C:6][CH2:7][CH2:8][CH2:9][CH2:10][CH2:11]1,[CH3:1][O:2][C:3]1([Cl:4])[c:5]2[c:6]([n:15]([C:16]#[N:17])[n:14][c:13]2[CH3:12])[CH2:7][CH2:8][CH2:9][CH2:10][CH2:11]1,15.691629237470146,0,1,17,1,/gpfs/home1/yeseo1ee/projects/eda-asm-prediction/data/raw/dipolar_cycloaddition/extracted/full_dataset_profiles/225/r0_C3H3N3.xyz,/gpfs/home1/yeseo1ee/projects/eda-asm-prediction/data/raw/dipolar_cycloaddition/extracted/full_dataset_profiles/225/p0_C12ClH16N3O.xyz,/gpfs/home1/yeseo1ee/projects/eda-asm-prediction/data/raw/dipolar_cycloaddition/extracted/full_dataset_profiles/225/TS_ts_guess_cBjpkh_template_9-14_10-11.xyz
dipolar_000238,dipolar,stuyver,[CH3:1][C:2](=[O:3])[C:4]#[C:5][Cl:6].[CH3:7][C:8](=[O:9])[N-:10][N+:11]#[C:12][c:13]1[cH:14][cH:15][cH:16][cH:17][cH:18]1,[CH3:1][C:2](=[O:3])[c:4]1[c:5]([Cl:6])[c:12](-[c:13]2[cH:14][cH:15][cH:16][cH:17][cH:18]2)[n:11][n:10]1[C:8]([CH3:7])=[O:9],22.855962130982626,0,1,18,2,/gpfs/home1/yeseo1ee/projects/eda-asm-prediction/data/raw/dipolar_cycloaddition/extracted/full_dataset_profiles/238/r0_C4ClH3O.xyz,/gpfs/home1/yeseo1ee/projects/eda-asm-prediction/data/raw/dipolar_cycloaddition/extracted/full_dataset_profiles/238/p0_C13ClH11N2O2.xyz,/gpfs/home1/yeseo1ee/projects/eda-asm-prediction/data/raw/dipolar_cycloaddition/extracted/full_dataset_profiles/238/TS_RYUB56_hl_ad_3-14_4-6.xyz
dipolar_000246,dipolar,stuyver,[CH3:1][C:2]#[C:3][C:4]#[N:5].[CH3:6][NH:7][C:8](=[O:9])[CH-:10][N+:11]([CH3:12])=[CH:13][c:14]1[cH:15][cH:16][cH:17][cH:18][cH:19]1,[CH3:1][C:2]1=[C:3]([C:4]#[N:5])[CH:10]([C:8]([NH:7][CH3:6])=[O:9])[N:11]([CH3:12])[CH:13]1[c:14]1[cH:15][cH:16][cH:17][cH:18][cH:19]1,18.20914042665133,0,1,19,1,/gpfs/home1/yeseo1ee/projects/eda-asm-prediction/data/raw/dipolar_cycloaddition/extracted/full_dataset_profiles/246/r0_C4H3N.xyz,/gpfs/home1/yeseo1ee/projects/eda-asm-prediction/data/raw/dipolar_cycloaddition/extracted/full_dataset_profiles/246/p0_C15H17N3O.xyz,/gpfs/home1/yeseo1ee/projects/eda-asm-prediction/data/raw/dipolar_cycloaddition/extracted/full_dataset_profiles/246/TS_ts_guess_lEdQB4_template_4-5_8-10.xyz
dipolar_000327,dipolar,stuyver,[CH3:1][C:2]1=[CH:3][CH:4]2[CH:5]=[CH:6][CH:7]1[O:8]2.[CH3:9][C:10](=[O:11])[N:12]=[NH+:13][N-:14][c:15]1[cH:16][cH:17][cH:18][cH:19][cH:20]1,[CH3:1][C:2]12[CH:3]([CH:4]3[CH:5]=[CH:6][CH:7]1[O:8]3)[N:14]([c:15]1[cH:16][cH:17][cH:18][cH:19][cH:20]1)[NH:13][N:12]2[C:10]([CH3:9])=[O:11],31.91069708344235,0,1,20,3,/gpfs/home1/yeseo1ee/projects/eda-asm-prediction/data/raw/dipolar_cycloaddition/extracted/full_dataset_profiles/327/r0_C8H9N3O_alt.xyz,/gpfs/home1/yeseo1ee/projects/eda-asm-prediction/data/raw/dipolar_cycloaddition/extracted/full_dataset_profiles/327/p0_C15H17N3O2.xyz,/gpfs/home1/yeseo1ee/projects/eda-asm-prediction/data/raw/dipolar_cycloaddition/extracted/full_dataset_profiles/327/TS_ts_guess_coAQoe_template_3-18_5-12.xyz
dipolar_000330,dipolar,stuyver,[CH3:1][C:2]1=[CH:3][CH:4]2[CH:5]=[CH:6][CH:7]1[O:8]2.[CH3:9][C:10](=[O:11])[N:12]=[NH+:13][N-:14][c:15]1[cH:16][cH:17][cH:18][cH:19][cH:20]1,[CH3:1][C:2]12[CH:3]([CH:4]3[CH:5]=[CH:6][CH:7]1[O:8]3)[N:12]([C:10]([CH3:9])=[O:11])[NH:13][N:14]2[c:15]1[cH:16][cH:17][cH:18][cH:19][cH:20]1,25.365881316494125,0,1,20,2,/gpfs/home1/yeseo1ee/projects/eda-asm-prediction/data/raw/dipolar_cycloaddition/extracted/full_dataset_profiles/330/r0_C8H9N3O.xyz,/gpfs/home1/yeseo1ee/projects/eda-asm-prediction/data/raw/dipolar_cycloaddition/extracted/full_dataset_profiles/330/p0_C15H17N3O2.xyz,/gpfs/home1/yeseo1ee/projects/eda-asm-prediction/data/raw/dipolar_cycloaddition/extracted/full_dataset_profiles/330/TS_ts_guess_KF9N2F_template_3-19_5-12.xyz
