,,MAE,MAE,RMSE,RMSE,NMAE,NMAE,R2,R2
,,mean,std,mean,std,mean,std,mean,std
model,channel,,,,,,,,
m1,strain,12.172,1.1567,18.0488,2.142,0.5265,0.0519,0.5889,0.0867
m1,Pauli,48.0578,3.7726,77.8643,6.1006,0.5921,0.0622,0.5207,0.083
m1,Velst,22.7445,2.1643,35.0818,3.3668,0.6197,0.0495,0.5082,0.0667
m1,oi,32.4438,1.9886,50.5605,3.2246,0.5903,0.0532,0.5229,0.0779
m1,disp,1.3794,0.1392,1.9569,0.1686,0.2373,0.0268,0.9298,0.013
m1,barrier,15.6224,1.6093,20.9715,2.2241,0.5662,0.0573,0.634,0.0709
m2,strain,11.4169,0.6913,16.1938,1.2818,0.4944,0.0385,0.6677,0.0615
m2,Pauli,39.4082,4.2722,61.1869,8.4559,0.4849,0.0557,0.7043,0.064
m2,Velst,18.2601,1.765,27.1875,3.7651,0.4976,0.0422,0.704,0.059
m2,oi,23.8099,2.3145,35.3429,4.1461,0.4329,0.0461,0.7674,0.0451
m2,disp,1.1615,0.1524,1.7363,0.2454,0.1993,0.0244,0.9447,0.013
m2,barrier,11.1783,1.0088,15.2771,1.5364,0.4052,0.0355,0.8059,0.0358
m3,strain,10.7245,0.6975,15.4749,1.2296,0.4641,0.0343,0.6973,0.0536
m3,Pauli,28.5937,2.2139,45.4904,6.0461,0.3511,0.0223,0.8372,0.034
m3,Velst,14.5195,1.1327,21.869,3.1164,0.3955,0.0235,0.8085,0.0417
m3,oi,16.8036,1.2567,25.2966,2.2058,0.3047,0.016,0.8816,0.0149
m3,disp,1.2011,0.1418,1.787,0.2076,0.2065,0.0258,0.9414,0.0122
m3,barrier,10.2897,0.7088,14.0797,1.1673,0.3734,0.0305,0.8353,0.0257
