reaction_id,family,quality_flag,failure_reason,detail
dipolar_001116,dipolar,failed,scf_not_converged,c4_fragA_opt=not_converged
dipolar_002587,dipolar,failed,failed_step,c4_fragA_opt=failed;c5_fragB_opt=failed
dipolar_002729,dipolar,failed,failed_step,c1_fragA_ts=failed;c2_fragB_ts=failed;c4_fragA_opt=failed;c5_fragB_opt=failed
dipolar_002741,dipolar,failed,failed_step,c1_fragA_ts=failed;c2_fragB_ts=failed;c4_fragA_opt=failed;c5_fragB_opt=failed
dipolar_002749,dipolar,failed,failed_step,c1_fragA_ts=failed;c2_fragB_ts=failed;c4_fragA_opt=failed;c5_fragB_opt=failed
dipolar_002830,dipolar,failed,failed_step,c1_fragA_ts=failed;c2_fragB_ts=failed;c4_fragA_opt=failed;c5_fragB_opt=failed
dipolar_002833,dipolar,failed,failed_step,c1_fragA_ts=failed;c2_fragB_ts=failed;c4_fragA_opt=failed;c5_fragB_opt=failed
dipolar_002840,dipolar,failed,failed_step,c1_fragA_ts=failed;c2_fragB_ts=failed;c4_fragA_opt=failed;c5_fragB_opt=failed
dipolar_002848,dipolar,failed,failed_step,c1_fragA_ts=failed;c2_fragB_ts=failed;c4_fragA_opt=failed;c5_fragB_opt=failed
dipolar_002866,dipolar,failed,failed_step,c1_fragA_ts=failed;c2_fragB_ts=failed;c4_fragA_opt=failed;c5_fragB_opt=failed
dipolar_002880,dipolar,failed,failed_step,c1_fragA_ts=failed;c2_fragB_ts=failed;c4_fragA_opt=failed;c5_fragB_opt=failed
dipolar_002926,dipolar,failed,failed_step,c1_fragA_ts=failed;c2_fragB_ts=failed;c4_fragA_opt=failed;c5_fragB_opt=failed
dipolar_002927,dipolar,failed,failed_step,c1_fragA_ts=failed;c2_fragB_ts=failed;c4_fragA_opt=failed;c5_fragB_opt=failed
dipolar_002928,dipolar,failed,failed_step,c1_fragA_ts=failed;c2_fragB_ts=failed;c4_fragA_opt=failed;c5_fragB_opt=failed
dipolar_002930,dipolar,failed,failed_step,c1_fragA_ts=failed;c2_fragB_ts=failed;c4_fragA_opt=failed;c5_fragB_opt=failed
dipolar_002947,dipolar,failed,failed_step,c1_fragA_ts=failed;c2_fragB_ts=failed;c4_fragA_opt=failed;c5_fragB_opt=failed
dipolar_002953,dipolar,failed,failed_step,c1_fragA_ts=failed;c2_fragB_ts=failed;c4_fragA_opt=failed;c5_fragB_opt=failed
dipolar_002979,dipolar,failed,failed_step,c1_fragA_ts=failed;c2_fragB_ts=failed;c4_fragA_opt=failed;c5_fragB_opt=failed
dipolar_002980,dipolar,failed,failed_step,c1_fragA_ts=failed;c2_fragB_ts=failed;c4_fragA_opt=failed;c5_fragB_opt=failed
dipolar_002981,dipolar,failed,failed_step,c1_fragA_ts=failed;c2_fragB_ts=failed;c4_fragA_opt=failed;c5_fragB_opt=failed
dipolar_002990,dipolar,failed,failed_step,c1_fragA_ts=failed;c2_fragB_ts=failed;c4_fragA_opt=failed;c5_fragB_opt=failed
dipolar_003056,dipolar,failed,failed_step,c4_fragA_opt=failed
dipolar_003064,dipolar,failed,failed_step,c1_fragA_ts=failed;c2_fragB_ts=failed;c4_fragA_opt=failed;c5_fragB_opt=failed
dipolar_003068,dipolar,failed,failed_step,c1_fragA_ts=failed;c2_fragB_ts=failed;c4_fragA_opt=failed;c5_fragB_opt=failed
dipolar_003087,dipolar,failed,failed_step,c1_fragA_ts=failed;c2_fragB_ts=failed;c4_fragA_opt=failed;c5_fragB_opt=failed
dipolar_003101,dipolar,failed,failed_step,c1_fragA_ts=failed;c2_fragB_ts=failed;c4_fragA_opt=failed;c5_fragB_opt=failed
dipolar_003125,dipolar,failed,failed_step,c1_fragA_ts=failed;c2_fragB_ts=failed;c4_fragA_opt=failed;c5_fragB_opt=failed
dipolar_003141,dipolar,failed,failed_step,c1_fragA_ts=failed;c2_fragB_ts=failed;c4_fragA_opt=failed;c5_fragB_opt=failed
dipolar_003147,dipolar,failed,failed_step,c1_fragA_ts=failed;c2_fragB_ts=failed;c4_fragA_opt=failed;c5_fragB_opt=failed
dipolar_003209,dipolar,failed,failed_step,c1_fragA_ts=failed;c2_fragB_ts=failed;c4_fragA_opt=failed;c5_fragB_opt=failed
dipolar_003214,dipolar,failed,failed_step,c1_fragA_ts=failed;c2_fragB_ts=failed;c4_fragA_opt=failed;c5_fragB_opt=failed
dipolar_003621,dipolar,failed,failed_step,c1_fragA_ts=failed;c2_fragB_ts=failed;c4_fragA_opt=failed;c5_fragB_opt=failed
dipolar_003894,dipolar,failed,failed_step,c1_fragA_ts=failed;c2_fragB_ts=failed;c4_fragA_opt=failed;c5_fragB_opt=failed
dipolar_004145,dipolar,failed,failed_step,c1_fragA_ts=failed;c2_fragB_ts=failed;c4_fragA_opt=failed;c5_fragB_opt=failed
dipolar_004428,dipolar,failed,failed_step,c4_fragA_opt=failed;c5_fragB_opt=failed
dipolar_004631,dipolar,failed,failed_step,c1_fragA_ts=failed;c2_fragB_ts=failed;c4_fragA_opt=failed;c5_fragB_opt=failed
dipolar_005005,dipolar,failed,failed_step,c1_fragA_ts=failed;c2_fragB_ts=failed;c4_fragA_opt=failed;c5_fragB_opt=failed
dipolar_005030,dipolar,failed,failed_step,c1_fragA_ts=failed;c2_fragB_ts=failed;c4_fragA_opt=failed;c5_fragB_opt=failed
dipolar_005072,dipolar,failed,failed_step,c1_fragA_ts=failed;c2_fragB_ts=failed;c4_fragA_opt=failed;c5_fragB_opt=failed
dipolar_005871,dipolar,failed,failed_step,c1_fragA_ts=failed;c2_fragB_ts=failed;c4_fragA_opt=failed;c5_fragB_opt=failed
dipolar_005926,dipolar,failed,failed_step,c1_fragA_ts=failed;c2_fragB_ts=failed;c4_fragA_opt=failed;c5_fragB_opt=failed
qmrxn20_e2_A_C_D_E_B_B,qmrxn20_e2,failed,failed_step,c1_fragA_ts=failed;c4_fragA_opt=failed;c5_fragB_opt=failed
qmrxn20_e2_B_A_C_B_A_B,qmrxn20_e2,failed,scf_not_converged,c2_fragB_ts=not_converged
qmrxn20_e2_B_A_E_D_B_A,qmrxn20_e2,failed,failed_step,c1_fragA_ts=failed;c5_fragB_opt=failed
qmrxn20_e2_B_A_E_E_B_B,qmrxn20_e2,failed,no_status_file,
qmrxn20_e2_B_B_A_E_A_A,qmrxn20_e2,failed,no_status_file,
qmrxn20_e2_B_B_A_E_C_A,qmrxn20_e2,failed,no_status_file,
qmrxn20_e2_B_B_D_A_B_A,qmrxn20_e2,failed,no_status_file,
qmrxn20_e2_B_B_D_E_C_B,qmrxn20_e2,failed,no_status_file,
qmrxn20_e2_B_B_E_D_A_A,qmrxn20_e2,failed,no_status_file,
qmrxn20_e2_B_B_E_E_B_A,qmrxn20_e2,failed,no_status_file,
qmrxn20_e2_B_C_A_A_B_B,qmrxn20_e2,failed,no_status_file,
qmrxn20_e2_B_C_A_D_C_B,qmrxn20_e2,failed,no_status_file,
qmrxn20_e2_B_C_A_E_B_B,qmrxn20_e2,failed,no_status_file,
qmrxn20_e2_B_C_A_E_C_A,qmrxn20_e2,failed,no_status_file,
qmrxn20_e2_B_C_D_A_A_A,qmrxn20_e2,failed,no_status_file,
qmrxn20_e2_B_C_D_E_C_A,qmrxn20_e2,failed,no_status_file,
qmrxn20_e2_B_C_D_E_C_C,qmrxn20_e2,failed,no_status_file,
qmrxn20_e2_B_C_E_A_B_A,qmrxn20_e2,failed,no_status_file,
qmrxn20_e2_B_C_E_A_B_B,qmrxn20_e2,failed,no_status_file,
qmrxn20_e2_B_C_E_A_C_D,qmrxn20_e2,failed,no_status_file,
qmrxn20_e2_B_C_E_D_A_A,qmrxn20_e2,failed,no_status_file,
qmrxn20_e2_B_C_E_E_C_B,qmrxn20_e2,failed,no_status_file,
qmrxn20_e2_B_D_A_A_B_A,qmrxn20_e2,failed,no_status_file,
qmrxn20_e2_B_D_A_A_C_B,qmrxn20_e2,failed,no_status_file,
qmrxn20_e2_B_D_A_A_C_D,qmrxn20_e2,failed,no_status_file,
qmrxn20_e2_B_D_A_D_B_B,qmrxn20_e2,failed,no_status_file,
qmrxn20_e2_B_D_A_D_B_C,qmrxn20_e2,failed,no_status_file,
qmrxn20_e2_B_E_A_E_C_B,qmrxn20_e2,failed,no_status_file,
qmrxn20_e2_B_E_B_A_B_B,qmrxn20_e2,failed,no_status_file,
qmrxn20_e2_B_E_C_A_C_B,qmrxn20_e2,failed,no_status_file,
qmrxn20_e2_B_E_C_D_C_B,qmrxn20_e2,failed,no_status_file,
qmrxn20_e2_B_E_D_A_C_A,qmrxn20_e2,failed,no_status_file,
qmrxn20_e2_B_E_D_C_A_A,qmrxn20_e2,failed,no_status_file,
qmrxn20_e2_B_E_D_C_B_A,qmrxn20_e2,failed,no_status_file,
qmrxn20_e2_B_E_D_D_B_A,qmrxn20_e2,failed,no_status_file,
qmrxn20_e2_B_E_D_D_B_B,qmrxn20_e2,failed,no_status_file,
qmrxn20_e2_B_E_E_A_B_A,qmrxn20_e2,failed,no_status_file,
qmrxn20_e2_B_E_E_B_B_A,qmrxn20_e2,failed,no_status_file,
qmrxn20_e2_C_A_B_D_A_B,qmrxn20_e2,failed,no_status_file,
qmrxn20_e2_C_A_C_C_A_B,qmrxn20_e2,failed,no_status_file,
qmrxn20_e2_C_A_C_E_C_C,qmrxn20_e2,failed,no_status_file,
qmrxn20_e2_C_A_D_C_B_C,qmrxn20_e2,failed,no_status_file,
qmrxn20_e2_C_A_E_E_A_A,qmrxn20_e2,failed,no_status_file,
qmrxn20_e2_C_B_A_A_B_A,qmrxn20_e2,failed,no_status_file,
qmrxn20_e2_C_B_A_D_A_B,qmrxn20_e2,failed,no_status_file,
