reaction_id,family,quartile,delta_Ea,source
dipolar_000027,dipolar,0,12.68209899042414,reuse
dipolar_000031,dipolar,2,20.551995826465863,reuse
dipolar_000074,dipolar,1,19.572652101984943,reuse
dipolar_000114,dipolar,0,8.543462446100978,reuse
dipolar_000184,dipolar,3,27.58466459259353,reuse
dipolar_000207,dipolar,1,15.845234905882451,reuse
dipolar_000224,dipolar,2,23.32441704376213,reuse
dipolar_000225,dipolar,1,15.691629237470146,reuse
dipolar_000238,dipolar,2,22.855962130982626,reuse
dipolar_000246,dipolar,1,18.20914042665133,reuse
dipolar_000387,dipolar,0,8.445662144142863,reuse
dipolar_000390,dipolar,0,13.214830505606232,reuse
dipolar_000440,dipolar,1,14.754469248302494,reuse
dipolar_000441,dipolar,3,29.60471312701762,reuse
dipolar_000444,dipolar,3,30.45547922216556,reuse
dipolar_000461,dipolar,2,23.02005576818364,reuse
dipolar_000531,dipolar,0,13.224687929067164,reuse
dipolar_000588,dipolar,0,0.7269610756919094,reuse
dipolar_000597,dipolar,1,17.105290910930133,reuse
dipolar_000611,dipolar,1,14.076020933863726,reuse
dipolar_000634,dipolar,0,9.69724180582848,reuse
dipolar_000635,dipolar,1,15.81625220623332,reuse
dipolar_000637,dipolar,0,13.229554912774177,reuse
dipolar_000696,dipolar,1,16.448382110090748,reuse
dipolar_000716,dipolar,1,18.938532103838497,reuse
dipolar_000722,dipolar,2,26.65650015152493,reuse
dipolar_000734,dipolar,0,13.526359508683964,reuse
dipolar_000741,dipolar,3,29.084969087010464,reuse
dipolar_000757,dipolar,0,12.86738573697204,reuse
dipolar_000761,dipolar,0,11.448507497303456,reuse
dipolar_000794,dipolar,3,34.302741338082946,reuse
dipolar_000804,dipolar,2,19.8902498921781,reuse
dipolar_000817,dipolar,3,27.77404729978155,reuse
dipolar_000819,dipolar,2,23.293276674677468,reuse
dipolar_000858,dipolar,2,20.39365127895104,reuse
dipolar_000877,dipolar,0,9.299133897124078,reuse
dipolar_000945,dipolar,2,23.57307183737468,reuse
dipolar_001083,dipolar,1,17.55205507165343,reuse
dipolar_001111,dipolar,2,21.542094913347874,reuse
dipolar_001120,dipolar,0,13.685942036829436,reuse
dipolar_001137,dipolar,0,11.381303948719726,reuse
dipolar_001139,dipolar,0,13.141438180891823,reuse
dipolar_001151,dipolar,3,27.47577178927953,reuse
dipolar_001152,dipolar,1,15.894377827657747,reuse
dipolar_001177,dipolar,0,12.90748137341026,reuse
dipolar_001247,dipolar,3,28.71668842693357,reuse
dipolar_001265,dipolar,1,18.103439507480253,reuse
dipolar_001275,dipolar,3,27.09824570599216,reuse
dipolar_001287,dipolar,1,19.28759109241913,reuse
dipolar_001302,dipolar,1,15.227471531754476,reuse
dipolar_001317,dipolar,2,25.02762290854289,reuse
dipolar_001326,dipolar,0,12.343302755968551,reuse
dipolar_001367,dipolar,2,20.512260527040404,reuse
dipolar_001381,dipolar,2,22.048568210729155,reuse
dipolar_001582,dipolar,1,19.466957056485835,reuse
dipolar_001589,dipolar,1,17.862299370678667,reuse
dipolar_001619,dipolar,3,27.22631520869561,reuse
dipolar_001727,dipolar,2,25.432677171789926,reuse
dipolar_001803,dipolar,2,21.68623053914339,reuse
dipolar_001805,dipolar,1,16.15100917281855,reuse
dipolar_001916,dipolar,3,31.995319348471533,reuse
dipolar_001958,dipolar,2,26.10591732881496,reuse
dipolar_001959,dipolar,0,10.432434992588163,reuse
dipolar_001995,dipolar,1,18.881794928914264,reuse
dipolar_002008,dipolar,0,12.50848248016078,reuse
dipolar_002054,dipolar,3,31.41441406546317,reuse
dipolar_002098,dipolar,3,35.21215499431707,reuse
dipolar_002101,dipolar,3,28.203287521050548,reuse
dipolar_002141,dipolar,1,15.17515217370626,reuse
dipolar_002175,dipolar,3,42.29512404357463,reuse
dipolar_002310,dipolar,0,10.531741908385618,reuse
dipolar_002315,dipolar,1,14.629105744007411,reuse
dipolar_002400,dipolar,2,21.46505791446558,reuse
dipolar_002441,dipolar,1,15.198089589987974,reuse
dipolar_002484,dipolar,1,14.232485555499892,reuse
dipolar_002516,dipolar,1,15.841240397669669,reuse
dipolar_002542,dipolar,3,36.17950748071156,reuse
dipolar_002593,dipolar,2,23.77570761573557,reuse
dipolar_002619,dipolar,3,28.88299519687376,reuse
dipolar_002700,dipolar,0,13.05276559592376,reuse
dipolar_002702,dipolar,3,30.54641353923993,reuse
dipolar_002765,dipolar,2,21.84170317153428,reuse
dipolar_002823,dipolar,2,21.11695893788237,reuse
dipolar_003049,dipolar,3,27.956353902089948,reuse
dipolar_004168,dipolar,0,12.98922300932998,reuse
dipolar_004882,dipolar,3,26.96952520633365,reuse
dipolar_005104,dipolar,2,24.534697088032143,reuse
dipolar_005454,dipolar,0,9.88724737685632,reuse
dipolar_005473,dipolar,3,40.01422578136975,reuse
dipolar_005551,dipolar,2,26.603176818399323,reuse
dipolar_005729,dipolar,2,24.00993270764669,reuse
dipolar_005734,dipolar,3,29.39909672815428,reuse
dipolar_005745,dipolar,0,5.428706463827203,reuse
dipolar_005862,dipolar,3,29.579764242969706,reuse
qmrxn20_e2_A_A_A_A_B_C,e2,3,31.994987999864087,reuse
qmrxn20_e2_A_A_A_D_A_B,e2,0,-7.149812372082583,reuse
qmrxn20_e2_A_A_A_E_B_B,e2,1,-0.0599106337689559,reuse
qmrxn20_e2_A_A_C_A_B_A,e2,2,2.042408608715492,reuse
qmrxn20_e2_A_A_C_D_C_A,e2,1,0.5489991564303073,reuse
qmrxn20_e2_A_A_C_E_B_B,e2,0,-4.792804361544798,reuse
qmrxn20_e2_A_A_C_E_C_D,e2,3,28.4064344251564,reuse
qmrxn20_e2_A_A_E_A_A_B,e2,3,17.430305976713374,reuse
qmrxn20_e2_A_A_E_B_B_B,e2,1,-2.530256051969404,reuse
qmrxn20_e2_A_A_E_D_C_B,e2,1,-2.494493382766131,reuse
qmrxn20_e2_A_B_A_A_C_C,e2,3,23.81725103362707,reuse
qmrxn20_e2_A_B_A_D_A_A,e2,2,5.48417032677184,reuse
qmrxn20_e2_A_B_A_E_B_D,e2,3,31.92832080126968,reuse
qmrxn20_e2_A_B_A_E_C_B,e2,0,-3.4961902019605056,reuse
qmrxn20_e2_A_B_B_A_B_A,e2,2,1.530926663582415,reuse
qmrxn20_e2_A_B_C_A_A_A,e2,0,-2.607440248742424,reuse
qmrxn20_e2_A_B_C_D_B_A,e2,0,-3.740690367198594,reuse
qmrxn20_e2_A_B_D_D_C_B,e2,0,-3.843425512201992,reuse
qmrxn20_e2_A_B_E_A_B_B,e2,2,0.7431302790375663,reuse
qmrxn20_e2_A_B_E_A_C_A,e2,2,1.6009131960269964,reuse
qmrxn20_e2_A_C_A_C_B_B,e2,0,-5.617649324128032,reuse
qmrxn20_e2_A_C_A_C_C_D,e2,3,21.635601843671328,reuse
qmrxn20_e2_A_C_A_E_C_A,e2,0,-2.7917007302006525,reuse
qmrxn20_e2_A_C_C_B_B_A,e2,2,4.350481611761419,reuse
qmrxn20_e2_A_C_D_A_B_B,e2,1,-2.534758288166215,reuse
qmrxn20_e2_A_C_D_A_C_B,e2,0,-4.105112396612469,reuse
qmrxn20_e2_A_C_E_C_B_B,e2,1,-0.6529132287396294,reuse
qmrxn20_e2_A_D_A_D_B_B,e2,2,4.3301281625636765,reuse
qmrxn20_e2_A_D_B_E_A_A,e2,0,-3.798118791858277,reuse
qmrxn20_e2_A_D_B_E_B_B,e2,2,2.4354936286495663,reuse
qmrxn20_e2_A_D_D_C_A_A,e2,0,-6.851217261208807,reuse
qmrxn20_e2_A_D_D_D_C_B,e2,1,0.6751044992031534,reuse
qmrxn20_e2_A_D_E_C_C_A,e2,2,3.640249604566829,reuse
qmrxn20_e2_A_D_E_C_C_B,e2,0,-4.026311588412346,reuse
qmrxn20_e2_A_E_A_C_B_B,e2,2,1.5328522931551574,reuse
qmrxn20_e2_A_E_A_C_C_B,e2,1,-2.052740008126833,reuse
qmrxn20_e2_A_E_A_E_B_B,e2,3,7.797138172410717,reuse
qmrxn20_e2_A_E_A_E_C_B,e2,2,4.507176104038139,reuse
qmrxn20_e2_A_E_C_D_A_B,e2,3,9.049628040231864,reuse
qmrxn20_e2_A_E_D_E_B_B,e2,3,8.72049458842941,reuse
qmrxn20_e2_A_E_E_C_A_A,e2,1,-2.164857499835545,reuse
qmrxn20_e2_A_E_E_E_C_B,e2,3,7.588009676903527,reuse
qmrxn20_e2_B_A_A_A_A_B,e2,1,-0.2891308573915734,reuse
qmrxn20_e2_B_A_A_C_A_A,e2,1,-1.774475367048613,reuse
qmrxn20_e2_B_A_B_E_C_C,e2,3,17.38728688545245,reuse
qmrxn20_e2_B_D_A_E_A_A,e2,3,6.795636184964488,reuse
qmrxn20_e2_B_D_B_E_C_B,e2,1,-0.1715695972902455,reuse
qmrxn20_e2_B_D_D_A_B_B,e2,1,0.3365418493973502,reuse
qmrxn20_e2_B_D_D_E_B_B,e2,2,4.03394472426527,reuse
qmrxn20_e2_B_D_E_D_B_A,e2,1,-2.324089680469574,reuse
qmrxn20_e2_B_D_E_E_B_B,e2,3,6.978928535197738,reuse
qmrxn20_e2_B_E_A_A_C_A,e2,0,-6.786225356792826,reuse
qmrxn20_e2_B_E_A_D_C_B,e2,3,12.17633229462525,reuse
qmrxn20_e2_B_E_E_C_B_B,e2,1,0.4332437005037654,reuse
qmrxn20_e2_B_E_E_E_B_B,e2,2,2.924250537676977,reuse
qmrxn20_e2_B_E_E_E_C_A,e2,2,0.8361107742161608,reuse
qmrxn20_e2_C_C_B_B_B_A,e2,0,-8.431964388118667,reuse
qmrxn20_e2_C_C_C_D_B_C,e2,3,12.533123798929022,reuse
qmrxn20_e2_C_C_D_D_B_B,e2,0,-4.405269912612891,reuse
qmrxn20_e2_C_D_A_E_A_A,e2,2,6.195606702389004,reuse
qmrxn20_e2_C_D_A_E_B_B,e2,2,2.0113271714642567,reuse
qmrxn20_e2_C_D_D_D_B_A,e2,1,-0.0803043627847791,reuse
qmrxn20_e2_C_D_E_A_C_A,e2,0,-2.548852695468704,reuse
qmrxn20_e2_C_E_A_A_B_A,e2,3,6.721177276176903,reuse
qmrxn20_e2_C_E_A_B_C_B,e2,2,2.2843493742905725,reuse
qmrxn20_e2_C_E_A_E_B_C,e2,3,24.801533840507087,reuse
qmrxn20_e2_C_E_B_A_C_B,e2,1,-0.0592153154666175,reuse
qmrxn20_e2_C_E_C_A_A_B,e2,2,1.3769687169602771,reuse
qmrxn20_e2_D_C_E_B_B_C,e2,3,27.489854700353355,reuse
qmrxn20_e2_D_D_A_C_C_B,e2,0,-3.0179594980893096,reuse
qmrxn20_e2_D_E_A_B_A_A,e2,1,-1.7399031467054742,reuse
qmrxn20_e2_D_E_A_B_C_B,e2,0,-4.160193098163036,reuse
qmrxn20_e2_D_E_A_E_B_B,e2,3,11.067430889814696,reuse
qmrxn20_e2_D_E_B_D_B_B,e2,0,-2.8593351363866564,reuse
qmrxn20_e2_D_E_D_D_C_B,e2,2,5.269437723769223,reuse
qmrxn20_e2_E_A_A_D_A_B,e2,1,-0.7009415696086092,reuse
qmrxn20_e2_E_A_B_E_B_A,e2,1,-1.2147213583307968,reuse
qmrxn20_e2_E_B_A_B_B_A,e2,0,-5.044577997427757,reuse
qmrxn20_sn2_A_A_A_C_B_A,sn2,0,6.45059971910984,reuse
qmrxn20_sn2_A_A_A_E_A_C,sn2,3,40.28365579547559,reuse
qmrxn20_sn2_A_A_B_C_B_A,sn2,0,4.995762580912035,reuse
qmrxn20_sn2_A_A_B_D_A_C,sn2,3,39.882345425181896,reuse
qmrxn20_sn2_A_A_B_E_B_B,sn2,1,12.95760822141887,reuse
qmrxn20_sn2_A_A_C_A_A_D,sn2,3,45.90240637731061,reuse
qmrxn20_sn2_A_A_C_C_C_D,sn2,2,22.854158280620247,reuse
qmrxn20_sn2_A_A_C_E_C_B,sn2,0,8.961009671694478,reuse
qmrxn20_sn2_A_A_D_E_A_B,sn2,2,24.55789310336267,reuse
qmrxn20_sn2_A_A_D_E_A_D,sn2,3,39.80136585400553,reuse
qmrxn20_sn2_A_A_E_E_C_B,sn2,1,17.674502415881967,reuse
qmrxn20_sn2_A_B_A_B_A_A,sn2,0,2.3368732859221995,reuse
qmrxn20_sn2_A_B_D_D_A_C,sn2,2,30.767206222292387,reuse
qmrxn20_sn2_A_B_D_E_C_B,sn2,0,10.47425507630967,reuse
qmrxn20_sn2_A_B_E_A_A_D,sn2,3,36.44381394520358,reuse
qmrxn20_sn2_A_B_E_E_A_A,sn2,0,2.959946444958547,reuse
qmrxn20_sn2_A_C_A_B_A_B,sn2,1,15.937936135189146,reuse
qmrxn20_sn2_A_C_A_B_A_C,sn2,3,33.33724538539421,reuse
qmrxn20_sn2_A_C_E_D_A_C,sn2,3,40.06303833324513,reuse
qmrxn20_sn2_A_D_A_B_A_A,sn2,2,22.078945989226508,reuse
qmrxn20_sn2_A_D_A_C_A_D,sn2,3,48.91345803081203,reuse
qmrxn20_sn2_A_D_A_D_A_C,sn2,3,44.3574696341465,reuse
qmrxn20_sn2_A_D_C_A_B_A,sn2,1,12.779552487201382,reuse
qmrxn20_sn2_A_D_C_D_A_A,sn2,2,22.53862108911154,reuse
