reaction_id,family,quartile,delta_Ea,source,kind
dipolar_000027,dipolar,0,12.68209899042414,reuse,reuse
dipolar_000031,dipolar,2,20.551995826465863,reuse,reuse
dipolar_000074,dipolar,1,19.572652101984943,reuse,reuse
dipolar_000114,dipolar,0,8.543462446100978,reuse,reuse
dipolar_000184,dipolar,3,27.58466459259353,reuse,reuse
dipolar_000207,dipolar,1,15.845234905882451,reuse,reuse
dipolar_000224,dipolar,2,23.32441704376213,reuse,reuse
dipolar_000225,dipolar,1,15.691629237470146,reuse,reuse
dipolar_000238,dipolar,2,22.855962130982626,reuse,reuse
dipolar_000246,dipolar,1,18.20914042665133,reuse,reuse
dipolar_000387,dipolar,0,8.445662144142863,reuse,reuse
dipolar_000390,dipolar,0,13.214830505606232,reuse,reuse
dipolar_000440,dipolar,1,14.754469248302494,reuse,reuse
dipolar_000441,dipolar,3,29.60471312701762,reuse,reuse
dipolar_000444,dipolar,3,30.45547922216556,reuse,reuse
dipolar_000461,dipolar,2,23.02005576818364,reuse,reuse
dipolar_000531,dipolar,0,13.224687929067164,reuse,reuse
dipolar_000588,dipolar,0,0.7269610756919094,reuse,reuse
dipolar_000597,dipolar,1,17.105290910930133,reuse,reuse
dipolar_000611,dipolar,1,14.076020933863726,reuse,reuse
dipolar_000634,dipolar,0,9.69724180582848,reuse,reuse
dipolar_000635,dipolar,1,15.81625220623332,reuse,reuse
dipolar_000637,dipolar,0,13.229554912774177,reuse,reuse
dipolar_000696,dipolar,1,16.448382110090748,reuse,reuse
dipolar_000716,dipolar,1,18.938532103838497,reuse,reuse
dipolar_000722,dipolar,2,26.65650015152493,reuse,reuse
dipolar_000734,dipolar,0,13.526359508683964,reuse,reuse
dipolar_000741,dipolar,3,29.084969087010464,reuse,reuse
dipolar_000757,dipolar,0,12.86738573697204,reuse,reuse
dipolar_000761,dipolar,0,11.448507497303456,reuse,reuse
dipolar_000794,dipolar,3,34.302741338082946,reuse,reuse
dipolar_000804,dipolar,2,19.8902498921781,reuse,reuse
dipolar_000817,dipolar,3,27.77404729978155,reuse,reuse
dipolar_000819,dipolar,2,23.293276674677468,reuse,reuse
dipolar_000858,dipolar,2,20.39365127895104,reuse,reuse
dipolar_000877,dipolar,0,9.299133897124078,reuse,reuse
dipolar_000945,dipolar,2,23.57307183737468,reuse,reuse
dipolar_001083,dipolar,1,17.55205507165343,reuse,reuse
dipolar_001111,dipolar,2,21.542094913347874,reuse,reuse
dipolar_001120,dipolar,0,13.685942036829436,reuse,reuse
dipolar_001137,dipolar,0,11.381303948719726,reuse,reuse
dipolar_001139,dipolar,0,13.141438180891823,reuse,reuse
dipolar_001151,dipolar,3,27.47577178927953,reuse,reuse
dipolar_001152,dipolar,1,15.894377827657747,reuse,reuse
dipolar_001177,dipolar,0,12.90748137341026,reuse,reuse
dipolar_001247,dipolar,3,28.71668842693357,reuse,reuse
dipolar_001265,dipolar,1,18.103439507480253,reuse,reuse
dipolar_001275,dipolar,3,27.09824570599216,reuse,reuse
dipolar_001287,dipolar,1,19.28759109241913,reuse,reuse
dipolar_001302,dipolar,1,15.227471531754476,reuse,reuse
dipolar_001317,dipolar,2,25.02762290854289,reuse,reuse
dipolar_001326,dipolar,0,12.343302755968551,reuse,reuse
dipolar_001367,dipolar,2,20.512260527040404,reuse,reuse
dipolar_001381,dipolar,2,22.048568210729155,reuse,reuse
dipolar_001582,dipolar,1,19.466957056485835,reuse,reuse
dipolar_001589,dipolar,1,17.862299370678667,reuse,reuse
dipolar_001619,dipolar,3,27.22631520869561,reuse,reuse
dipolar_001727,dipolar,2,25.432677171789926,reuse,reuse
dipolar_001803,dipolar,2,21.68623053914339,reuse,reuse
dipolar_001805,dipolar,1,16.15100917281855,reuse,reuse
dipolar_001916,dipolar,3,31.995319348471533,reuse,reuse
dipolar_001958,dipolar,2,26.10591732881496,reuse,reuse
dipolar_001959,dipolar,0,10.432434992588163,reuse,reuse
dipolar_001995,dipolar,1,18.881794928914264,reuse,reuse
dipolar_002008,dipolar,0,12.50848248016078,reuse,reuse
dipolar_002054,dipolar,3,31.41441406546317,reuse,reuse
dipolar_002098,dipolar,3,35.21215499431707,reuse,reuse
dipolar_002101,dipolar,3,28.203287521050548,reuse,reuse
dipolar_002141,dipolar,1,15.17515217370626,reuse,reuse
dipolar_002175,dipolar,3,42.29512404357463,reuse,reuse
dipolar_002310,dipolar,0,10.531741908385618,reuse,reuse
