# 400-rxn dipolar paper-protocol pipeline: 203-rxn snapshot
# snapshot: 2026-08-04T19:46:15.048066
# DFT label protocol: wB97X-D/def2-TZVP + CPCM(water) SPE + EDA-NOCV
# source: /gpfs/tmp_cpu2/yeseo1ee/spec23_paper_setup/
# 5-atom labels: 400_rxns_5_atoms_labelling_dataset/ (user-labeled via port 5578 viz)
# selection criterion: 5/5 ORCA jobs completed (spe_R_A + spe_R_B + eda + spe_dA + spe_dB)
# total rxns in snapshot: 203 / 400
#
# columns: rxn_number	reaction_id
0	dipolar_000009
1	dipolar_000017
2	dipolar_000027
3	dipolar_000034
4	dipolar_000036
5	dipolar_000041
6	dipolar_000049
7	dipolar_000050
8	dipolar_000067
9	dipolar_000078
10	dipolar_000080
11	dipolar_000084
12	dipolar_000097
13	dipolar_000133
14	dipolar_000145
15	dipolar_000155
16	dipolar_000160
17	dipolar_000172
18	dipolar_000173
19	dipolar_000205
20	dipolar_000206
21	dipolar_000219
22	dipolar_000245
23	dipolar_000262
24	dipolar_000263
25	dipolar_000271
26	dipolar_000279
27	dipolar_000298
28	dipolar_000309
29	dipolar_000331
30	dipolar_000339
31	dipolar_000344
32	dipolar_000360
33	dipolar_000372
34	dipolar_000393
35	dipolar_000401
36	dipolar_000404
37	dipolar_000411
38	dipolar_000415
39	dipolar_000418
40	dipolar_000425
41	dipolar_000455
42	dipolar_000460
43	dipolar_000484
44	dipolar_000487
45	dipolar_000502
46	dipolar_000514
47	dipolar_000517
48	dipolar_000535
49	dipolar_000541
50	dipolar_000551
51	dipolar_000561
52	dipolar_000568
53	dipolar_000583
54	dipolar_000606
55	dipolar_000628
56	dipolar_000648
57	dipolar_000658
58	dipolar_000700
59	dipolar_000721
60	dipolar_000732
61	dipolar_000753
62	dipolar_000759
63	dipolar_000763
64	dipolar_000783
65	dipolar_000784
66	dipolar_000797
67	dipolar_000853
68	dipolar_000864
69	dipolar_000876
70	dipolar_000900
71	dipolar_000915
72	dipolar_000930
73	dipolar_000975
74	dipolar_000983
75	dipolar_000984
76	dipolar_000991
77	dipolar_001058
78	dipolar_001090
79	dipolar_001108
80	dipolar_001146
81	dipolar_001155
82	dipolar_001156
83	dipolar_001158
84	dipolar_001172
85	dipolar_001177
86	dipolar_001187
87	dipolar_001189
88	dipolar_001197
89	dipolar_001221
90	dipolar_001225
91	dipolar_001241
92	dipolar_001243
93	dipolar_001250
94	dipolar_001261
95	dipolar_001277
96	dipolar_001294
97	dipolar_001295
98	dipolar_001298
99	dipolar_001314
100	dipolar_001323
101	dipolar_001326
102	dipolar_001353
103	dipolar_001374
104	dipolar_001382
105	dipolar_001392
106	dipolar_001399
107	dipolar_001402
108	dipolar_001415
109	dipolar_001418
110	dipolar_001420
111	dipolar_001434
112	dipolar_001450
113	dipolar_001462
114	dipolar_001484
115	dipolar_001504
116	dipolar_001512
117	dipolar_001513
118	dipolar_001520
119	dipolar_001528
120	dipolar_001530
121	dipolar_001534
122	dipolar_001545
123	dipolar_001556
124	dipolar_001558
125	dipolar_001576
126	dipolar_001628
127	dipolar_001652
128	dipolar_001681
129	dipolar_001699
130	dipolar_001701
131	dipolar_001703
132	dipolar_001731
133	dipolar_001736
134	dipolar_001769
135	dipolar_001779
136	dipolar_001780
137	dipolar_001785
138	dipolar_001824
139	dipolar_001833
140	dipolar_001839
141	dipolar_001901
142	dipolar_001906
143	dipolar_001911
144	dipolar_001914
145	dipolar_001926
146	dipolar_001928
147	dipolar_001930
148	dipolar_001938
149	dipolar_001958
150	dipolar_001992
151	dipolar_002016
152	dipolar_002052
153	dipolar_002058
154	dipolar_002123
155	dipolar_002132
156	dipolar_002138
157	dipolar_002154
158	dipolar_002185
159	dipolar_002192
160	dipolar_002209
161	dipolar_002247
162	dipolar_002260
163	dipolar_002277
164	dipolar_002299
165	dipolar_002319
166	dipolar_002320
167	dipolar_002345
168	dipolar_002349
169	dipolar_002374
170	dipolar_002390
171	dipolar_002408
172	dipolar_002415
173	dipolar_002456
174	dipolar_002457
175	dipolar_002460
176	dipolar_002468
177	dipolar_002495
178	dipolar_002497
179	dipolar_002501
180	dipolar_002549
181	dipolar_002585
182	dipolar_002631
183	dipolar_002635
184	dipolar_002646
185	dipolar_002647
186	dipolar_002653
187	dipolar_002689
188	dipolar_002696
189	dipolar_002731
190	dipolar_002757
191	dipolar_002762
192	dipolar_002765
193	dipolar_002766
194	dipolar_002782
195	dipolar_002784
196	dipolar_002805
197	dipolar_002808
198	dipolar_002810
199	dipolar_002814
200	dipolar_002817
201	dipolar_002819
203	dipolar_002861
