reaction_number,reaction_id
0,dipolar_000009
1,dipolar_000017
2,dipolar_000027
3,dipolar_000034
4,dipolar_000036
6,dipolar_000049
7,dipolar_000050
8,dipolar_000067
9,dipolar_000078
10,dipolar_000080
11,dipolar_000084
13,dipolar_000133
15,dipolar_000155
16,dipolar_000160
20,dipolar_000206
21,dipolar_000219
22,dipolar_000245
23,dipolar_000262
24,dipolar_000263
26,dipolar_000279
27,dipolar_000298
28,dipolar_000309
29,dipolar_000331
31,dipolar_000344
32,dipolar_000360
33,dipolar_000372
35,dipolar_000401
38,dipolar_000415
39,dipolar_000418
40,dipolar_000425
42,dipolar_000460
44,dipolar_000487
45,dipolar_000502
48,dipolar_000535
49,dipolar_000541
50,dipolar_000551
51,dipolar_000561
52,dipolar_000568
55,dipolar_000628
57,dipolar_000658
61,dipolar_000753
62,dipolar_000759
63,dipolar_000763
64,dipolar_000783
65,dipolar_000784
67,dipolar_000853
70,dipolar_000900
71,dipolar_000915
72,dipolar_000930
73,dipolar_000975
74,dipolar_000983
75,dipolar_000984
76,dipolar_000991
77,dipolar_001058
79,dipolar_001108
80,dipolar_001146
81,dipolar_001155
82,dipolar_001156
83,dipolar_001158
85,dipolar_001177
86,dipolar_001187
87,dipolar_001189
88,dipolar_001197
90,dipolar_001225
91,dipolar_001241
92,dipolar_001243
93,dipolar_001250
94,dipolar_001261
96,dipolar_001294
97,dipolar_001295
98,dipolar_001298
99,dipolar_001314
100,dipolar_001323
101,dipolar_001326
102,dipolar_001353
104,dipolar_001382
105,dipolar_001392
106,dipolar_001399
107,dipolar_001402
108,dipolar_001415
109,dipolar_001418
110,dipolar_001420
111,dipolar_001434
114,dipolar_001484
115,dipolar_001504
116,dipolar_001512
117,dipolar_001513
118,dipolar_001520
119,dipolar_001528
121,dipolar_001534
122,dipolar_001545
123,dipolar_001556
125,dipolar_001576
126,dipolar_001628
127,dipolar_001652
128,dipolar_001681
129,dipolar_001699
130,dipolar_001701
131,dipolar_001703
132,dipolar_001731
133,dipolar_001736
134,dipolar_001769
136,dipolar_001780
137,dipolar_001785
138,dipolar_001824
140,dipolar_001839
141,dipolar_001901
142,dipolar_001906
144,dipolar_001914
145,dipolar_001926
146,dipolar_001928
147,dipolar_001930
148,dipolar_001938
149,dipolar_001958
150,dipolar_001992
151,dipolar_002016
152,dipolar_002052
153,dipolar_002058
155,dipolar_002132
156,dipolar_002138
157,dipolar_002154
159,dipolar_002192
160,dipolar_002209
162,dipolar_002260
163,dipolar_002277
165,dipolar_002319
166,dipolar_002320
168,dipolar_002349
169,dipolar_002374
170,dipolar_002390
172,dipolar_002415
174,dipolar_002457
175,dipolar_002460
177,dipolar_002495
178,dipolar_002497
179,dipolar_002501
180,dipolar_002549
181,dipolar_002585
182,dipolar_002631
184,dipolar_002646
185,dipolar_002647
186,dipolar_002653
188,dipolar_002696
189,dipolar_002731
190,dipolar_002757
191,dipolar_002762
192,dipolar_002765
193,dipolar_002766
195,dipolar_002784
196,dipolar_002805
197,dipolar_002808
199,dipolar_002814
200,dipolar_002817
201,dipolar_002819
