reaction_number,reaction_id,d_forming_min,verdict
5,dipolar_000041,1.5839763733402086,contaminated_bonded
12,dipolar_000097,1.6986986620057132,contaminated_bonded
14,dipolar_000145,1.7531646602358832,contaminated_bonded
17,dipolar_000172,1.3787907499327081,contaminated_bonded
18,dipolar_000173,1.3284910246591806,contaminated_bonded
19,dipolar_000205,1.5835314746793003,contaminated_bonded
25,dipolar_000271,1.628119968399135,contaminated_bonded
30,dipolar_000339,1.7175272918937852,contaminated_bonded
34,dipolar_000393,1.726293596147538,contaminated_bonded
36,dipolar_000404,1.6997051390461817,contaminated_bonded
37,dipolar_000411,1.634056140590035,contaminated_bonded
41,dipolar_000455,1.418956672911474,contaminated_bonded
43,dipolar_000484,1.7065189266164027,contaminated_bonded
46,dipolar_000514,1.666231020567076,contaminated_bonded
47,dipolar_000517,1.4272184083033683,contaminated_bonded
53,dipolar_000583,1.7229928181800411,contaminated_bonded
54,dipolar_000606,1.2738311485043847,contaminated_bonded
56,dipolar_000648,1.7556895758931874,contaminated_bonded
58,dipolar_000700,1.562408299261112,contaminated_bonded
59,dipolar_000721,1.768550173334079,contaminated_bonded
60,dipolar_000732,1.6867833308104512,contaminated_bonded
66,dipolar_000797,1.62926281992808,contaminated_bonded
68,dipolar_000864,1.7232766805420423,contaminated_bonded
69,dipolar_000876,1.793520494753266,contaminated_bonded
78,dipolar_001090,1.7044932773408055,contaminated_bonded
84,dipolar_001172,1.6140506820109457,contaminated_bonded
89,dipolar_001221,1.7663268237786574,contaminated_bonded
95,dipolar_001277,1.4176420410315151,contaminated_bonded
103,dipolar_001374,1.6692680251535401,contaminated_bonded
112,dipolar_001450,1.7922838481948111,contaminated_bonded
113,dipolar_001462,1.7275385063436355,contaminated_bonded
120,dipolar_001530,1.6638886586247288,contaminated_bonded
124,dipolar_001558,1.6385622546000502,contaminated_bonded
135,dipolar_001779,1.5190040597707433,contaminated_bonded
139,dipolar_001833,1.7947482297247155,contaminated_bonded
143,dipolar_001911,1.7932280816728248,contaminated_bonded
154,dipolar_002123,1.6750566250130172,contaminated_bonded
158,dipolar_002185,1.4935654229058732,contaminated_bonded
161,dipolar_002247,1.6792288734416163,contaminated_bonded
164,dipolar_002299,1.7225228568875361,contaminated_bonded
167,dipolar_002345,1.6140374254334997,contaminated_bonded
171,dipolar_002408,1.6888953838826135,contaminated_bonded
173,dipolar_002456,1.736092858662808,contaminated_bonded
176,dipolar_002468,1.7555029111055327,contaminated_bonded
183,dipolar_002635,1.4250716123058518,contaminated_bonded
187,dipolar_002689,1.760147752718504,contaminated_bonded
194,dipolar_002782,1.6246641927795398,contaminated_bonded
198,dipolar_002810,1.6260185938358762,contaminated_bonded
203,dipolar_002861,1.6858557875749633,contaminated_bonded
