model,target,seed,test_mae,val_mae,std_error_test
ridge,e_barrier_dft,23,5.912,4.353,0.9868982492978741
ridge,e_barrier_dft,22,4.62,5.05,1.011479775187212
ridge,e_barrier_dft,14,4.73,6.28,1.1524221724962875
ridge,e_barrier_dft,1,5.073,5.513,1.0794135431586311
ridge,e_barrier_dft,2,4.924,4.992,1.2975277921017676
ridge,distortion_dft,23,4.537,3.517,0.7983693133717271
ridge,distortion_dft,22,3.675,6.356,1.0003755950416433
ridge,distortion_dft,14,4.121,5.619,0.9402490376469919
ridge,distortion_dft,1,4.212,5.596,0.9221170466003845
ridge,distortion_dft,2,3.353,4.216,0.7749624816102961
ridge,interaction_dft,23,2.893,2.558,0.8508082685502193
ridge,interaction_dft,22,3.508,4.532,0.6591187416841804
ridge,interaction_dft,14,3.916,2.951,0.9071656357468096
ridge,interaction_dft,1,2.546,3.783,0.4976005774067646
ridge,interaction_dft,2,4.191,3.36,0.8325779142657947
ridge,distortion_dipole_dft,23,4.6,3.183,0.6635718040470967
ridge,distortion_dipole_dft,22,3.634,5.642,0.6975688647978618
ridge,distortion_dipole_dft,14,5.318,4.428,0.805412657656569
ridge,distortion_dipole_dft,1,4.048,5.309,0.6628149497180205
ridge,distortion_dipole_dft,2,3.781,4.722,0.9209966173449862
ridge,distortion_dipolarophile_dft,23,2.429,2.876,0.5509615712898787
ridge,distortion_dipolarophile_dft,22,2.935,3.129,0.5244113736616326
ridge,distortion_dipolarophile_dft,14,3.193,3.248,1.0060368556371928
ridge,distortion_dipolarophile_dft,1,2.354,2.668,0.5678729590354411
ridge,distortion_dipolarophile_dft,2,3.062,2.634,0.9462405032091745
krr,e_barrier_dft,23,5.192,4.676,1.4581385716632382
krr,e_barrier_dft,22,5.154,5.13,1.4018525340449342
krr,e_barrier_dft,14,4.853,5.437,0.9526772981477912
krr,e_barrier_dft,1,6.63,5.699,1.5342847102618042
krr,e_barrier_dft,2,6.785,5.911,1.1714932657295134
krr,distortion_dft,23,4.012,4.3,0.8600705749973441
krr,distortion_dft,22,4.865,5.771,1.0060786796328742
krr,distortion_dft,14,6.008,6.295,1.0650874715904228
krr,distortion_dft,1,7.133,7.782,2.17832745259196
krr,distortion_dft,2,11.212,6.088,5.6826995362999035
krr,interaction_dft,23,3.965,3.351,0.8915073148801916
krr,interaction_dft,22,3.775,5.83,0.7614100045251181
krr,interaction_dft,14,3.917,6.46,1.0530257788892392
krr,interaction_dft,1,6.27,6.373,2.0178386045589054
krr,interaction_dft,2,7.322,4.961,5.301892907353179
krr,distortion_dipole_dft,23,3.626,4.223,0.8189438939484114
krr,distortion_dipole_dft,22,4.01,6.285,1.1212013366143174
krr,distortion_dipole_dft,14,5.14,4.276,1.1646177721780664
krr,distortion_dipole_dft,1,5.023,5.233,1.4693603966575197
krr,distortion_dipole_dft,2,6.87,5.378,2.717829286896131
krr,distortion_dipolarophile_dft,23,1.656,2.192,0.45379783755843056
krr,distortion_dipolarophile_dft,22,2.583,2.641,0.5582329103629478
krr,distortion_dipolarophile_dft,14,1.134,3.368,0.22100211781474585
krr,distortion_dipolarophile_dft,1,3.74,3.859,0.8350855062294682
krr,distortion_dipolarophile_dft,2,5.831,1.982,2.8691522754594194
svr,e_barrier_dft,23,5.332,4.084,0.9923226400902524
svr,e_barrier_dft,22,4.058,5.208,1.1446816455493114
svr,e_barrier_dft,14,4.591,4.132,0.7862793571401443
svr,e_barrier_dft,1,6.586,5.085,1.1815505664744825
svr,e_barrier_dft,2,5.64,5.471,1.1019013586923094
svr,distortion_dft,23,4.672,3.811,1.1132828634577296
svr,distortion_dft,22,4.927,6.746,1.132552313797764
svr,distortion_dft,14,7.564,6.503,0.8127208054266534
svr,distortion_dft,1,7.977,5.554,2.0519238304626017
svr,distortion_dft,2,9.704,6.939,5.008890487734858
svr,interaction_dft,23,4.963,3.3,1.1957794236504973
svr,interaction_dft,22,5.264,6.19,1.2391474036219299
svr,interaction_dft,14,5.246,6.924,0.9497773960225556
svr,interaction_dft,1,7.119,6.349,1.6677542684608624
svr,interaction_dft,2,7.618,4.98,4.74365948907538
svr,distortion_dipole_dft,23,4.096,4.186,0.8243754471164183
svr,distortion_dipole_dft,22,3.507,6.548,0.847918086070315
svr,distortion_dipole_dft,14,6.093,4.367,0.6939021415662874
svr,distortion_dipole_dft,1,5.557,3.891,1.1572784792994064
svr,distortion_dipole_dft,2,6.041,5.435,2.2428902589580018
svr,distortion_dipolarophile_dft,23,2.008,2.354,0.5374096625760689
svr,distortion_dipolarophile_dft,22,4.034,3.065,0.7131193167259551
svr,distortion_dipolarophile_dft,14,2.569,3.235,0.48678148455493736
svr,distortion_dipolarophile_dft,1,3.436,3.568,0.6205368369065304
svr,distortion_dipolarophile_dft,2,5.034,2.532,2.4603190927987577
rf,e_barrier_dft,23,4.567,3.37,1.0074116265356734
rf,e_barrier_dft,22,4.929,5.312,1.2819071664692725
rf,e_barrier_dft,14,4.884,4.187,0.7640917052728006
rf,e_barrier_dft,1,5.677,6.135,1.273795859576538
rf,e_barrier_dft,2,4.856,6.215,0.8818449194843457
rf,distortion_dft,23,3.362,3.516,0.7819302169942448
rf,distortion_dft,22,4.271,4.266,1.0623728402887833
rf,distortion_dft,14,4.586,3.607,0.7384357717392742
rf,distortion_dft,1,5.042,4.52,0.7313670969560963
rf,distortion_dft,2,7.131,4.606,3.805248065244303
rf,interaction_dft,23,3.752,1.826,1.2906722841525609
rf,interaction_dft,22,3.215,4.047,0.8424341952728578
rf,interaction_dft,14,3.444,3.77,1.2243607510384478
rf,interaction_dft,1,3.154,2.978,1.012681768172598
rf,interaction_dft,2,5.162,3.272,3.7357739871380575
rf,distortion_dipole_dft,23,2.781,3.066,0.4308961309846163
rf,distortion_dipole_dft,22,3.917,4.879,1.0602669602383838
rf,distortion_dipole_dft,14,4.924,2.61,0.9837979490444073
rf,distortion_dipole_dft,1,4.451,3.54,0.8467449125158174
rf,distortion_dipole_dft,2,5.672,4.842,1.9096438715708954
rf,distortion_dipolarophile_dft,23,1.941,1.753,0.44032306140416544
rf,distortion_dipolarophile_dft,22,2.229,3.132,0.5695643764968094
rf,distortion_dipolarophile_dft,14,1.511,2.208,0.21970829758368038
rf,distortion_dipolarophile_dft,1,2.343,2.316,0.3509960925857062
rf,distortion_dipolarophile_dft,2,3.648,1.778,1.9362674775707174
