model,target,mean_test_mae,std_test_mae,min_test_mae,mean_val_mae
krr,distortion_dft,12.383799999999999,1.0090615442082806,11.525,10.7914
krr,distortion_dipolarophile_dft,5.5054,0.7287244335137941,4.875,6.115399999999999
krr,distortion_dipole_dft,8.7488,1.488600248555669,7.516,6.7684
krr,e_barrier_dft,8.6516,1.8460378652671239,6.817,7.963800000000001
krr,interaction_dft,14.694400000000002,1.0790714990212646,13.351,12.4328
rf,distortion_dft,5.1874,1.0618329906345914,4.189,4.4112
rf,distortion_dipolarophile_dft,3.7995999999999994,0.8415439976614416,2.756,3.6772
rf,distortion_dipole_dft,4.953,1.1436347756167613,3.757,4.5536
rf,e_barrier_dft,8.129999999999999,1.762040720301321,6.307,6.5864
rf,interaction_dft,7.948,1.842073695594181,5.393,6.9176
ridge,distortion_dft,6.7298,2.105355361928243,4.077,7.6268
ridge,distortion_dipolarophile_dft,4.3678,0.7348317494501714,3.237,3.8022
ridge,distortion_dipole_dft,6.831,1.5159739443671185,5.103,7.3086
ridge,e_barrier_dft,8.9028,1.0046453105449706,7.701,9.754000000000001
ridge,interaction_dft,9.084999999999999,1.5591953052776932,6.674,7.505799999999999
svr,distortion_dft,12.6446,2.3820839195964534,9.754,12.1418
svr,distortion_dipolarophile_dft,5.5573999999999995,1.084782144027085,4.163,6.308
svr,distortion_dipole_dft,8.6702,1.6377669858682586,6.358,7.902000000000001
svr,e_barrier_dft,8.3674,1.84854964769681,6.685,7.675199999999999
svr,interaction_dft,13.0284,2.82185387644364,10.627,11.679599999999999
