variant,fold,member,channel,MAE,RMSE,NMAE,R2,slope
M_b,0,0,strain,16.83110400565765,22.961236393675883,0.8580417486571588,0.1379124303720003,0.2672902564577993
M_b,0,0,Pauli,85.73036925691478,112.31495279420696,0.8236144629769051,0.2507197049537162,0.25144090245971107
M_b,0,0,V_elst,36.76601440426688,46.03268864083093,0.8554065047199739,0.24641642102065364,0.24124535104871547
M_b,0,0,oi,66.14418335005922,89.68548792224611,0.8124107860228826,0.2477342501455143,0.2206706434439687
M_b,0,0,disp,1.4547801317658815,1.881479144390725,0.2788760966717363,0.9244004918954053,0.9652026461773996
M_b,0,0,barrier,17.363531516220586,23.053877710144942,0.5502701393076416,0.7107832939592214,0.6923458491000367
M_b,1,0,strain,16.232137572916248,21.552936079173094,0.8171347454589702,0.3175921474323067,0.3656519039852543
M_b,1,0,Pauli,84.98692058309724,108.86198320898511,0.890758064618457,0.24776359283359484,0.26043027889045306
M_b,1,0,V_elst,35.72055887270577,46.44911214818998,0.9045429393135028,0.20939283058463498,0.22734971769651588
M_b,1,0,oi,67.72657042817224,83.55080394191937,1.0442712070076785,0.07221482523189549,0.24908391697092075
M_b,1,0,disp,1.6088491018059887,2.2241259950410543,0.2896911137171239,0.9023645931332662,0.9009794186301754
M_b,1,0,barrier,15.488225477028497,20.225096494798642,0.523192605916657,0.7148777199296736,0.8846972517235744
M_b,2,0,strain,19.542699766766493,28.095851303643038,0.8767421225903818,0.061297250446045615,0.20112796174220987
M_b,2,0,Pauli,90.29823903673014,120.03829216213539,0.9006857003918489,0.11207557108464716,0.16050954322055797
M_b,2,0,V_elst,39.146322974733486,50.050365247647015,0.928921166108684,0.11086375509473534,0.14976791718540639
M_b,2,0,oi,72.75543747056916,103.24106723806777,0.9190017428833155,0.079870474970138,0.12375475319745122
M_b,2,0,disp,1.5035776116286115,1.8678863859538763,0.266311557332295,0.9309034432862945,0.903072162933319
M_b,2,0,barrier,18.09125586720124,24.714046897723957,0.512613501021586,0.6971703716546878,0.6764706505071796
M_b,3,0,strain,17.030761730898718,28.14662037211024,0.7971443721129631,0.35978008237682635,0.2855090346851682
M_b,3,0,Pauli,88.28567093041292,118.4267247531643,0.8411253706332535,0.1890221010843559,0.20156571274302576
M_b,3,0,V_elst,37.218864261724384,47.12569853259687,0.875318684414232,0.20067255977581433,0.19602794318908678
M_b,3,0,oi,65.73911245461483,93.2726315939152,0.8150376932440677,0.2083268966827898,0.18817866822617738
M_b,3,0,disp,1.5173558928784292,2.0213605905185186,0.30694174391679996,0.898329906538666,0.9506189022940512
M_b,3,0,barrier,19.405585343101222,26.28349947835429,0.5863349250267788,0.655686009586844,0.6592076168297142
M_b,4,0,strain,18.832476808474613,25.650899689375986,0.826718351570573,0.36248250013539474,0.6122195535810485
M_b,4,0,Pauli,84.06016482451024,104.69120004451526,0.9382077198375323,0.15557415990611556,0.23544865230905868
M_b,4,0,V_elst,38.82438559104235,46.15302398789479,0.9813694843033064,0.11773900788729552,0.1961361730802478
M_b,4,0,oi,64.20658626464697,81.20959928921877,0.9286225079190308,0.15816205937356453,0.2476743709249712
M_b,4,0,disp,1.5095135598467329,1.9328686258385495,0.2872047597967862,0.9101942556866235,0.8971480501007633
M_b,4,0,barrier,16.73174284835561,22.439294432150973,0.5187015315361654,0.723752135548779,0.7022870408807279
M_delta,0,0,strain,15.41799651151933,21.28234902267439,0.7860021946918689,0.2593722746092044,0.5463527130592175
M_delta,0,0,Pauli,72.15052514706018,113.44709757341603,0.6931524562132299,0.23553794702061293,0.415727053636427
M_delta,0,0,V_elst,30.279619039229626,45.03693892656174,0.7044925458004989,0.27866588452622,0.544506087388558
M_delta,0,0,oi,57.62008538561047,93.22790732694924,0.7077142159437895,0.18713427749939004,0.31808176755216644
M_delta,0,0,disp,1.5883903593387243,2.7572314388005505,0.3044886947044768,0.8376446530743739,0.9164403575512693
M_delta,0,0,barrier,21.77459430094785,30.582053718971338,0.6900617554762258,0.49105752321647655,0.3885535417493014
M_delta,0,1,strain,16.729663033155525,23.57708524282769,0.8528703356944708,0.0910477462177921,0.3426825854708132
M_delta,0,1,Pauli,69.62454405970543,107.34567648910853,0.6688852732442997,0.3155554524784525,0.41023931061588054
M_delta,0,1,V_elst,31.711363809663546,46.91686851570837,0.7378038472720515,0.21718925585775473,0.6241112812650722
M_delta,0,1,oi,54.29786163830907,85.49091018691915,0.6669092612343955,0.31645545709163414,0.3700703716618454
M_delta,0,1,disp,1.6784845343175925,2.8199128257905923,0.32175942263259966,0.8301789514508975,0.8088938118621932
M_delta,0,1,barrier,29.840234426582384,40.64878479377747,0.9456711003489602,0.10085333277376962,0.07664485239900025
M_delta,0,2,strain,16.277865757732272,23.20186457418414,0.8298379235536868,0.11974881465177367,0.3555115791409507
M_delta,0,2,Pauli,57.89684304051429,89.50276996445926,0.5562168657639979,0.5241806426573992,0.5269065690960266
M_delta,0,2,V_elst,28.556334020956506,39.23524405313404,0.6643982022062085,0.4525411762281528,0.7207994156196059
M_delta,0,2,oi,47.20668718874829,75.09953394154354,0.5798124627464012,0.47252555676164254,0.454637922326609
M_delta,0,2,disp,1.5831602219515626,2.753514294557319,0.30348609625833356,0.8380821146769893,0.8536397672192544
M_delta,0,2,barrier,29.161914434073108,38.60956793809783,0.924174365285327,0.18880495606558756,0.12949219678457594
M_delta,0,3,strain,16.535392866194623,22.640126432917118,0.8429665341544758,0.16185619545952434,0.3644563589571082
M_delta,0,3,Pauli,68.26256745716312,103.31754805283674,0.655800719453001,0.3659590100302308,0.41519469718009516
M_delta,0,3,V_elst,31.98106494114834,44.985741844510166,0.7440787755159913,0.2803049484600759,0.6075660179780892
M_delta,0,3,oi,52.72907485377114,83.80372161551249,0.6476407596038946,0.3431691390327781,0.35207728429170665
M_delta,0,3,disp,2.066464769765266,3.6038692931947236,0.39613383240412436,0.7226308119473287,0.6424865301198706
M_delta,0,3,barrier,30.347658447499544,41.55927349782402,0.9617519469450163,0.06012239980973533,0.04799886522422424
M_delta,0,4,strain,15.427817761523169,20.85494242158947,0.7865028773876956,0.2888211479965802,0.28878360711415296
M_delta,0,4,Pauli,82.30382485059822,127.89119311440413,0.7906955387317804,0.028482939335163215,0.14401718647695164
M_delta,0,4,V_elst,36.65491213813518,50.369758588909384,0.8528215739713433,0.09772591872075242,0.21432435691175453
M_delta,0,4,oi,62.840544711868716,104.34945169084716,0.7718341014702339,-0.01837394991580732,0.09205749734785493
M_delta,0,4,disp,4.958313236446501,8.124675156356233,0.9504907382654108,-0.40971773738785977,-0.03863405242937479
M_delta,0,4,barrier,32.775960410166086,44.51787553107148,1.0387076087600837,-0.0784605594631731,-0.03163723139138979
M_delta,1,0,strain,14.59898866882807,22.095337708439786,0.7349211301514372,0.28281297914231607,0.40163390732268717
M_delta,1,0,Pauli,61.71116293834734,99.69130943801733,0.6468020689203471,0.3691640048003376,0.5260627326049816
M_delta,1,0,V_elst,26.98911982246592,42.361320368113994,0.683438852698119,0.3424256101615619,0.5802224858958974
M_delta,1,0,oi,43.350327017941055,66.70040964715322,0.668415631162273,0.408706418543186,0.6070268442821931
M_delta,1,0,disp,1.5749965702431112,2.678158791307635,0.28359559017822544,0.8584332653399562,0.7960236087987709
M_delta,1,0,barrier,19.778147225892997,27.97825858354312,0.6681062593429868,0.454378707324365,0.3691228227886455
M_delta,1,1,strain,16.95981928366649,23.08133773033015,0.8537666435572945,0.2173761379879563,0.36313156082142467
M_delta,1,1,Pauli,68.8972421869447,105.00443662502695,0.7221202237582636,0.3001303455218526,0.36334225133685333
M_delta,1,1,V_elst,36.95422088948986,50.072832316635704,0.9357826595753818,0.08122275819576985,0.47998238338037913
M_delta,1,1,oi,46.03230130219762,73.20106940210091,0.7097688032670743,0.28783436407831486,0.3573688674061573
M_delta,1,1,disp,1.9297928515868852,3.419201122238651,0.3474805932961663,0.7692520438218124,0.6629244624706955
M_delta,1,1,barrier,27.66180364919614,38.157295091842215,0.9344163511205831,-0.014857608653072063,0.02671736180106545
M_delta,1,2,strain,14.394003715696215,20.76642750279374,0.724602074712935,0.3664881915614462,0.4391748675527864
M_delta,1,2,Pauli,61.89435489570038,96.53186733873537,0.6487221257039778,0.40851562050153556,0.5377332868299892
M_delta,1,2,V_elst,27.89306148698058,40.631128599707765,0.7063291454592663,0.39504414314588965,0.5530356897385954
M_delta,1,2,oi,45.471684599224524,67.79410470521911,0.7011246939111567,0.38915640857625133,0.5931865277526391
M_delta,1,2,disp,1.628992390029038,2.8550293574324517,0.2933181360355687,0.8391171596838407,0.9049529443079777
M_delta,1,2,barrier,18.333236603797236,26.859104679067983,0.619297145941832,0.49715629887174684,0.39557979235785906
M_delta,1,3,strain,15.476344101036652,23.0323059544381,0.7790876858225154,0.22069766812073222,0.4020351366530585
M_delta,1,3,Pauli,68.47905136663702,111.48365316528266,0.7177371158260937,0.21109583650610975,0.47307437669445246
M_delta,1,3,V_elst,29.257619046712225,45.534077298121105,0.7408835014070747,0.2402355038682923,0.517752545845949
M_delta,1,3,oi,48.24555803156352,75.61846471223386,0.7438948524909014,0.2400205070943121,0.5267035369455244
M_delta,1,3,disp,1.5254353978965856,2.6757275037998234,0.2746715517472286,0.8586901830428959,0.8205225872510756
M_delta,1,3,barrier,19.664653719414638,27.0179781224198,0.6642724461345532,0.49118999550998577,0.38565320342198217
M_delta,1,4,strain,14.818507770948772,21.31234865923686,0.7459718426548895,0.33274204727163004,0.28577662904485146
M_delta,1,4,Pauli,67.16454746451559,113.18391684143096,0.7039596434367721,0.18684880761720568,0.19437826256627064
M_delta,1,4,V_elst,32.70790448671655,45.52950522519676,0.8282542322092966,0.24038807198829626,0.27792922427846845
M_delta,1,4,oi,45.88542652431923,78.5763367433545,0.7075041514383402,0.1794033903526845,0.17192924307734248
