,,MAE,MAE,RMSE,RMSE,NMAE,NMAE,R2,R2,slope,slope
,,mean,std,mean,std,mean,std,mean,std,mean,std
variant,channel,,,,,,,,,,
M_b,Pauli,86.672,2.564,112.867,6.433,0.879,0.046,0.191,0.06,0.222,0.041
M_b,V_elst,37.535,1.435,47.162,1.669,0.909,0.049,0.177,0.06,0.202,0.035
M_b,barrier,17.416,1.466,23.343,2.299,0.538,0.031,0.7,0.027,0.723,0.092
M_b,disp,1.519,0.056,1.986,0.146,0.286,0.015,0.913,0.014,0.923,0.032
M_b,oi,67.314,3.29,90.192,8.729,0.904,0.096,0.153,0.077,0.206,0.052
M_b,strain,17.694,1.417,25.282,2.981,0.835,0.032,0.248,0.139,0.346,0.16
M_bdelta,Pauli,74.562,5.987,104.199,9.301,0.755,0.051,0.308,0.1,0.431,0.068
M_bdelta,V_elst,31.645,3.291,42.798,4.16,0.765,0.068,0.318,0.124,0.476,0.079
M_bdelta,barrier,18.329,1.311,24.537,1.74,0.567,0.036,0.667,0.033,0.702,0.073
M_bdelta,disp,1.523,0.076,2.004,0.155,0.286,0.015,0.912,0.014,0.92,0.032
M_bdelta,oi,59.597,4.9,85.36,8.941,0.797,0.051,0.244,0.061,0.369,0.071
M_bdelta,strain,16.904,1.564,24.793,3.737,0.798,0.051,0.282,0.134,0.46,0.167
M_delta,Pauli,68.217,5.146,107.483,9.058,0.691,0.049,0.263,0.105,0.362,0.105
M_delta,V_elst,31.909,3.363,45.645,3.107,0.772,0.082,0.226,0.108,0.468,0.111
M_delta,barrier,27.315,5.119,37.772,6.215,0.844,0.151,0.199,0.232,0.17,0.171
M_delta,disp,2.105,1.136,3.439,1.859,0.397,0.218,0.672,0.43,0.705,0.308
M_delta,oi,52.884,5.4,86.357,10.793,0.705,0.043,0.224,0.112,0.313,0.13
M_delta,strain,16.893,1.768,27.556,5.177,0.797,0.065,0.128,0.133,0.275,0.117
