variant,family,fold,channel,NMAE
M_b,dipolar,0,strain,1.0705955163427796
M_b,dipolar,0,Pauli,1.13604758330207
M_b,dipolar,0,V_elst,1.0576786666954856
M_b,dipolar,0,oi,1.1195717001564114
M_b,dipolar,0,disp,0.4541328076442802
M_b,dipolar,0,barrier,2.273981001087761
M_b,qmrxn20_e2,0,strain,1.0716346336516518
M_b,qmrxn20_e2,0,Pauli,0.9515420852263976
M_b,qmrxn20_e2,0,V_elst,1.0003931214020152
M_b,qmrxn20_e2,0,oi,0.903612546045579
M_b,qmrxn20_e2,0,disp,1.1347607106906406
M_b,qmrxn20_e2,0,barrier,0.8421875358747097
M_b,qmrxn20_sn2,0,strain,1.131761550024196
M_b,qmrxn20_sn2,0,Pauli,1.5910678475383548
M_b,qmrxn20_sn2,0,V_elst,1.133932093608653
M_b,qmrxn20_sn2,0,oi,1.8265375848282366
M_b,qmrxn20_sn2,0,disp,0.7021820740412449
M_b,qmrxn20_sn2,0,barrier,1.1375353832905888
M_b,rgd1,0,strain,0.9428525522105797
M_b,rgd1,0,Pauli,0.7599271027930112
M_b,rgd1,0,V_elst,0.7689365222146461
M_b,rgd1,0,oi,0.7714545987099434
M_b,rgd1,0,disp,0.755781275900249
M_b,rgd1,0,barrier,1.0501919284624137
M_b,dipolar,1,strain,1.0368682326565013
M_b,dipolar,1,Pauli,1.533341081715405
M_b,dipolar,1,V_elst,1.3740114676933235
M_b,dipolar,1,oi,1.5523961830370434
M_b,dipolar,1,disp,0.6432547144658314
M_b,dipolar,1,barrier,2.216514381399311
M_b,qmrxn20_e2,1,strain,1.327527707557121
M_b,qmrxn20_e2,1,Pauli,1.1693138968634227
M_b,qmrxn20_e2,1,V_elst,1.1676224432617417
M_b,qmrxn20_e2,1,oi,1.1928386791315
M_b,qmrxn20_e2,1,disp,1.0116594115437276
M_b,qmrxn20_e2,1,barrier,1.231084233339178
M_b,qmrxn20_sn2,1,strain,1.3938036232063864
M_b,qmrxn20_sn2,1,Pauli,1.9259262070505883
M_b,qmrxn20_sn2,1,V_elst,1.0878601371417265
M_b,qmrxn20_sn2,1,oi,4.296107475920212
M_b,qmrxn20_sn2,1,disp,0.7281072239417763
M_b,qmrxn20_sn2,1,barrier,1.2267212727657344
M_b,rgd1,1,strain,1.0114634712733248
M_b,rgd1,1,Pauli,0.8610158134592326
M_b,rgd1,1,V_elst,0.8088901700694356
M_b,rgd1,1,oi,0.9301890490897499
M_b,rgd1,1,disp,0.8629735925972863
M_b,rgd1,1,barrier,0.9816089066779589
M_b,dipolar,2,strain,0.9917828055884597
M_b,dipolar,2,Pauli,1.2596233231620426
M_b,dipolar,2,V_elst,1.0965401442000464
M_b,dipolar,2,oi,1.2654943193074353
M_b,dipolar,2,disp,0.5189763704924205
M_b,dipolar,2,barrier,1.9034285652174976
M_b,qmrxn20_e2,2,strain,1.0978887118290306
M_b,qmrxn20_e2,2,Pauli,0.9786193499401263
M_b,qmrxn20_e2,2,V_elst,1.0173054850523797
M_b,qmrxn20_e2,2,oi,0.9377145159148862
M_b,qmrxn20_e2,2,disp,1.1630103744454547
M_b,qmrxn20_e2,2,barrier,1.0024878212398811
M_b,qmrxn20_sn2,2,strain,0.9387843886009238
M_b,qmrxn20_sn2,2,Pauli,0.9569221596945878
M_b,qmrxn20_sn2,2,V_elst,0.9826530027447601
M_b,qmrxn20_sn2,2,oi,0.8495115354236807
M_b,qmrxn20_sn2,2,disp,1.1214564778490044
M_b,qmrxn20_sn2,2,barrier,0.9299463232855224
M_b,rgd1,2,strain,1.115937278362059
M_b,rgd1,2,Pauli,0.8906004016400829
M_b,rgd1,2,V_elst,0.9028765673239801
M_b,rgd1,2,oi,0.9613177866590099
M_b,rgd1,2,disp,0.8292118916772122
M_b,rgd1,2,barrier,1.1390655053968282
M_b,dipolar,3,strain,1.3841299414079724
M_b,dipolar,3,Pauli,1.2922773945443018
M_b,dipolar,3,V_elst,1.2986027794814634
M_b,dipolar,3,oi,1.2377514274598038
M_b,dipolar,3,disp,0.5585474170898791
M_b,dipolar,3,barrier,1.9734379837733018
M_b,qmrxn20_e2,3,strain,1.0108173173317243
M_b,qmrxn20_e2,3,Pauli,0.9272855294554215
M_b,qmrxn20_e2,3,V_elst,0.9341228358908861
M_b,qmrxn20_e2,3,oi,0.9240156924870917
M_b,qmrxn20_e2,3,disp,0.9337501716872267
M_b,qmrxn20_e2,3,barrier,0.9537614752460783
M_b,qmrxn20_sn2,3,strain,0.7959606502663296
M_b,qmrxn20_sn2,3,Pauli,1.533202872000103
M_b,qmrxn20_sn2,3,V_elst,1.0842069559656156
M_b,qmrxn20_sn2,3,oi,1.6827817411388775
M_b,qmrxn20_sn2,3,disp,0.8296952895884816
M_b,qmrxn20_sn2,3,barrier,1.0762769052989751
M_b,rgd1,3,strain,0.9127365691953079
M_b,rgd1,3,Pauli,0.8103644958349281
M_b,rgd1,3,V_elst,0.806902636553726
M_b,rgd1,3,oi,0.8271053968675621
M_b,rgd1,3,disp,0.810891513369393
M_b,rgd1,3,barrier,0.9712267723001977
M_b,dipolar,4,strain,1.0851687951093818
M_b,dipolar,4,Pauli,1.2012217130450593
M_b,dipolar,4,V_elst,1.1378151274302526
M_b,dipolar,4,oi,1.1920713877808111
M_b,dipolar,4,disp,0.7195150740266701
M_b,dipolar,4,barrier,2.1326536452712377
M_b,qmrxn20_e2,4,strain,1.3445406733859588
M_b,qmrxn20_e2,4,Pauli,0.9851876279665581
M_b,qmrxn20_e2,4,V_elst,1.0261788836542025
M_b,qmrxn20_e2,4,oi,0.9412438956455133
M_b,qmrxn20_e2,4,disp,1.8932235404807456
M_b,qmrxn20_e2,4,barrier,0.9592783793561904
M_b,qmrxn20_sn2,4,strain,0.8618834118433739
M_b,qmrxn20_sn2,4,Pauli,1.8470601087934853
M_b,qmrxn20_sn2,4,V_elst,1.2473329888772418
M_b,qmrxn20_sn2,4,oi,2.63298132606388
M_b,qmrxn20_sn2,4,disp,0.808268012422097
M_b,qmrxn20_sn2,4,barrier,1.1561257936642737
M_b,rgd1,4,strain,0.8896067277647574
M_b,rgd1,4,Pauli,0.7948531849668039
M_b,rgd1,4,V_elst,0.8580785192807378
M_b,rgd1,4,oi,0.7636008474010241
M_b,rgd1,4,disp,0.7354023230556012
M_b,rgd1,4,barrier,1.066990605323292
M_delta,dipolar,0,strain,0.928244887865899
M_delta,dipolar,0,Pauli,0.996659749367101
M_delta,dipolar,0,V_elst,0.9479357124213739
M_delta,dipolar,0,oi,0.9050303193777597
M_delta,dipolar,0,disp,0.8110315026377768
M_delta,dipolar,0,barrier,2.011735191013626
M_delta,qmrxn20_e2,0,strain,0.8489274339093958
M_delta,qmrxn20_e2,0,Pauli,0.736662532622442
M_delta,qmrxn20_e2,0,V_elst,0.6333879888377626
M_delta,qmrxn20_e2,0,oi,0.7861685183159184
M_delta,qmrxn20_e2,0,disp,0.4875008875775171
M_delta,qmrxn20_e2,0,barrier,1.2431249801491555
M_delta,qmrxn20_sn2,0,strain,0.7849663000089108
M_delta,qmrxn20_sn2,0,Pauli,0.7965389181575546
M_delta,qmrxn20_sn2,0,V_elst,0.54500862629595
M_delta,qmrxn20_sn2,0,oi,1.0158634789779883
M_delta,qmrxn20_sn2,0,disp,0.2280578353536854
M_delta,qmrxn20_sn2,0,barrier,1.0383663772832223
M_delta,rgd1,0,strain,1.1146931046297883
M_delta,rgd1,0,Pauli,0.8239610620418368
M_delta,rgd1,0,V_elst,0.9082162084563478
M_delta,rgd1,0,oi,0.9160923961194044
M_delta,rgd1,0,disp,1.185334545984155
M_delta,rgd1,0,barrier,1.5310385668736446
M_delta,dipolar,0,strain,0.8903818991353895
M_delta,dipolar,0,Pauli,0.922576842588427
M_delta,dipolar,0,V_elst,0.9484260699140376
M_delta,dipolar,0,oi,0.8989741079346578
M_delta,dipolar,0,disp,0.8774347661810065
M_delta,dipolar,0,barrier,1.6395591822554612
M_delta,qmrxn20_e2,0,strain,0.8895492053897266
M_delta,qmrxn20_e2,0,Pauli,0.5246179229618844
M_delta,qmrxn20_e2,0,V_elst,0.4452810308935131
M_delta,qmrxn20_e2,0,oi,0.6172125504676579
M_delta,qmrxn20_e2,0,disp,0.5408439062701256
M_delta,qmrxn20_e2,0,barrier,1.4805331100834673
M_delta,qmrxn20_sn2,0,strain,0.9671592852228855
M_delta,qmrxn20_sn2,0,Pauli,0.878503138719228
M_delta,qmrxn20_sn2,0,V_elst,0.8913690510122846
M_delta,qmrxn20_sn2,0,oi,1.0429066121417732
M_delta,qmrxn20_sn2,0,disp,0.25834829909522916
M_delta,qmrxn20_sn2,0,barrier,1.1984553874975359
M_delta,rgd1,0,strain,1.2830662350441424
M_delta,rgd1,0,Pauli,0.9584834404732501
M_delta,rgd1,0,V_elst,1.0316709899908847
M_delta,rgd1,0,oi,0.9824207153170639
M_delta,rgd1,0,disp,1.1352639610707231
M_delta,rgd1,0,barrier,2.8217930603777717
M_delta,dipolar,0,strain,0.8698413253748676
M_delta,dipolar,0,Pauli,0.8826588701051203
M_delta,dipolar,0,V_elst,0.8621328073909321
M_delta,dipolar,0,oi,0.805937683490366
M_delta,dipolar,0,disp,0.8308732371012032
M_delta,dipolar,0,barrier,1.9719487336715529
M_delta,qmrxn20_e2,0,strain,0.7427785767355147
M_delta,qmrxn20_e2,0,Pauli,0.429171843422895
M_delta,qmrxn20_e2,0,V_elst,0.4182086953801414
M_delta,qmrxn20_e2,0,oi,0.5344400285976438
M_delta,qmrxn20_e2,0,disp,0.4423514399860776
M_delta,qmrxn20_e2,0,barrier,1.4203877428736025
M_delta,qmrxn20_sn2,0,strain,0.7666530883826236
M_delta,qmrxn20_sn2,0,Pauli,0.6757445259687926
M_delta,qmrxn20_sn2,0,V_elst,0.9062040784563355
M_delta,qmrxn20_sn2,0,oi,0.9424448705954588
M_delta,qmrxn20_sn2,0,disp,0.21972495784302348
M_delta,qmrxn20_sn2,0,barrier,1.3522582285400848
M_delta,rgd1,0,strain,1.4099802169303062
M_delta,rgd1,0,Pauli,0.7639135523228313
M_delta,rgd1,0,V_elst,0.8670095168816285
M_delta,rgd1,0,oi,0.8295121097121461
M_delta,rgd1,0,disp,1.1512724992562091
M_delta,rgd1,0,barrier,2.5822812075724393
M_delta,dipolar,0,strain,0.888914671127467
M_delta,dipolar,0,Pauli,0.9649396895682062
M_delta,dipolar,0,V_elst,0.9791708426220175
M_delta,dipolar,0,oi,0.9185837574774781
M_delta,dipolar,0,disp,1.121878892861874
M_delta,dipolar,0,barrier,1.3244161286084832
M_delta,qmrxn20_e2,0,strain,0.8401178033227413
M_delta,qmrxn20_e2,0,Pauli,0.5442141205937296
M_delta,qmrxn20_e2,0,V_elst,0.4519749625824824
M_delta,qmrxn20_e2,0,oi,0.6363963038850142
M_delta,qmrxn20_e2,0,disp,0.6695171528627719
M_delta,qmrxn20_e2,0,barrier,1.5599729337906096
M_delta,qmrxn20_sn2,0,strain,1.0167302753006757
M_delta,qmrxn20_sn2,0,Pauli,0.7618010423033079
M_delta,qmrxn20_sn2,0,V_elst,0.9865164466117482
M_delta,qmrxn20_sn2,0,oi,0.8542435662724142
M_delta,qmrxn20_sn2,0,disp,0.3976061632248745
M_delta,qmrxn20_sn2,0,barrier,1.2354060813852876
M_delta,rgd1,0,strain,1.2621273256047052
M_delta,rgd1,0,Pauli,0.9097952056681645
M_delta,rgd1,0,V_elst,0.9882946369276873
M_delta,rgd1,0,oi,0.9265876797316788
M_delta,rgd1,0,disp,1.1295038844719278
M_delta,rgd1,0,barrier,2.872195287684261
M_delta,dipolar,0,strain,0.9335056245317211
M_delta,dipolar,0,Pauli,1.0011124539819556
M_delta,dipolar,0,V_elst,0.9886791189948647
M_delta,dipolar,0,oi,0.922560787250377
M_delta,dipolar,0,disp,3.1760999379061627
M_delta,dipolar,0,barrier,1.6121429771235083
M_delta,qmrxn20_e2,0,strain,0.8344617947167046
M_delta,qmrxn20_e2,0,Pauli,0.9383391324859057
M_delta,qmrxn20_e2,0,V_elst,0.9156532354822833
M_delta,qmrxn20_e2,0,oi,0.9941134636285891
M_delta,qmrxn20_e2,0,disp,1.6150794643062738
M_delta,qmrxn20_e2,0,barrier,1.67016456156292
M_delta,qmrxn20_sn2,0,strain,0.9578347962104432
M_delta,qmrxn20_sn2,0,Pauli,0.6804878895142631
M_delta,qmrxn20_sn2,0,V_elst,0.8013769687310252
M_delta,qmrxn20_sn2,0,oi,0.7300654862327526
M_delta,qmrxn20_sn2,0,disp,1.0050131074959827
M_delta,qmrxn20_sn2,0,barrier,1.2393462838450682
M_delta,rgd1,0,strain,1.046932750227117
M_delta,rgd1,0,Pauli,0.9724560007622619
M_delta,rgd1,0,V_elst,1.0109988914377745
M_delta,rgd1,0,oi,0.9733911169337299
M_delta,rgd1,0,disp,0.9682950695472324
M_delta,rgd1,0,barrier,3.1382138267809507
M_delta,dipolar,1,strain,1.155018394373983
M_delta,dipolar,1,Pauli,1.4410488333224936
M_delta,dipolar,1,V_elst,1.397789446542441
M_delta,dipolar,1,oi,1.2781326451162192
M_delta,dipolar,1,disp,0.9102663899094194
M_delta,dipolar,1,barrier,1.4519513236310404
M_delta,qmrxn20_e2,1,strain,0.6417700845401679
M_delta,qmrxn20_e2,1,Pauli,0.6393667322245264
M_delta,qmrxn20_e2,1,V_elst,0.538926321231946
M_delta,qmrxn20_e2,1,oi,0.6391580921693283
M_delta,qmrxn20_e2,1,disp,0.403257718996053
M_delta,qmrxn20_e2,1,barrier,1.064070808415009
M_delta,qmrxn20_sn2,1,strain,0.6866143554476406
M_delta,qmrxn20_sn2,1,Pauli,0.3440103632198323
M_delta,qmrxn20_sn2,1,V_elst,0.31583378802374373
M_delta,qmrxn20_sn2,1,oi,0.7965571391267515
M_delta,qmrxn20_sn2,1,disp,0.27725555265472557
M_delta,qmrxn20_sn2,1,barrier,1.0566072220250236
M_delta,rgd1,1,strain,1.3480090306790882
M_delta,rgd1,1,Pauli,0.881647343722577
M_delta,rgd1,1,V_elst,0.8769972874926044
M_delta,rgd1,1,oi,0.8833733650262521
M_delta,rgd1,1,disp,0.9330237165548471
M_delta,rgd1,1,barrier,2.4840657734313916
M_delta,dipolar,1,strain,1.2665518930391269
M_delta,dipolar,1,Pauli,1.6695262592249085
M_delta,dipolar,1,V_elst,1.8214865736286723
M_delta,dipolar,1,oi,1.4302541613655078
M_delta,dipolar,1,disp,1.1342937470001595
M_delta,dipolar,1,barrier,1.2987998372317948
M_delta,qmrxn20_e2,1,strain,1.092736307197229
M_delta,qmrxn20_e2,1,Pauli,0.7561162185607632
M_delta,qmrxn20_e2,1,V_elst,0.866394350838916
M_delta,qmrxn20_e2,1,oi,0.703100541953134
M_delta,qmrxn20_e2,1,disp,0.4231967245046928
M_delta,qmrxn20_e2,1,barrier,1.6684602391157815
M_delta,qmrxn20_sn2,1,strain,1.0082191468163593
M_delta,qmrxn20_sn2,1,Pauli,0.5092841384834931
M_delta,qmrxn20_sn2,1,V_elst,0.8104388613823743
M_delta,qmrxn20_sn2,1,oi,0.9324512047716289
M_delta,qmrxn20_sn2,1,disp,0.32925862817437634
M_delta,qmrxn20_sn2,1,barrier,1.3523952295160466
M_delta,rgd1,1,strain,1.29587201868047
M_delta,rgd1,1,Pauli,0.9107769099503414
M_delta,rgd1,1,V_elst,1.012928674008754
M_delta,rgd1,1,oi,0.8685214645414908
M_delta,rgd1,1,disp,1.1474131083404884
M_delta,rgd1,1,barrier,3.565701496316604
M_delta,dipolar,1,strain,1.2451593495986546
M_delta,dipolar,1,Pauli,1.300185338494054
M_delta,dipolar,1,V_elst,1.3411111986964002
M_delta,dipolar,1,oi,1.2052631683673254
M_delta,dipolar,1,disp,0.9605032477054671
M_delta,dipolar,1,barrier,1.2766007408924747
M_delta,qmrxn20_e2,1,strain,0.7545807643442833
M_delta,qmrxn20_e2,1,Pauli,0.683553160651892
M_delta,qmrxn20_e2,1,V_elst,0.5746860360073349
M_delta,qmrxn20_e2,1,oi,0.6451960159137637
M_delta,qmrxn20_e2,1,disp,0.4767791884272787
M_delta,qmrxn20_e2,1,barrier,1.076589067295596
M_delta,qmrxn20_sn2,1,strain,0.6044710827063181
M_delta,qmrxn20_sn2,1,Pauli,0.6267515339973128
M_delta,qmrxn20_sn2,1,V_elst,0.531681238936652
M_delta,qmrxn20_sn2,1,oi,1.1579517745424295
M_delta,qmrxn20_sn2,1,disp,0.2828119106175357
M_delta,qmrxn20_sn2,1,barrier,0.8183180256079133
M_delta,rgd1,1,strain,1.1864470649424674
M_delta,rgd1,1,Pauli,0.8431637702384512
M_delta,rgd1,1,V_elst,0.8534898223406966
M_delta,rgd1,1,oi,0.9644402426702698
M_delta,rgd1,1,disp,0.8602782542693814
M_delta,rgd1,1,barrier,2.325416734119057
M_delta,dipolar,1,strain,1.2227061832425055
M_delta,dipolar,1,Pauli,1.4234221708434427
M_delta,dipolar,1,V_elst,1.3630374595527825
M_delta,dipolar,1,oi,1.255354593998873
M_delta,dipolar,1,disp,0.8602755558143913
M_delta,dipolar,1,barrier,2.1073178152542305
M_delta,qmrxn20_e2,1,strain,0.9762117181567148
M_delta,qmrxn20_e2,1,Pauli,0.9274139330663066
M_delta,qmrxn20_e2,1,V_elst,0.8424528982272228
M_delta,qmrxn20_e2,1,oi,0.82606472602044
M_delta,qmrxn20_e2,1,disp,0.44279469139313177
M_delta,qmrxn20_e2,1,barrier,1.2084811558462423
M_delta,qmrxn20_sn2,1,strain,0.6030822348634253
