descriptor,beta,SE,t,p,CI_low,CI_high
d1,-49.47406509089674,10.486094042670345,-4.718064218151707,3.117096243565598e-06,-70.0777421891986,-28.87038799259488
d2,44.511867985429255,10.429772812454116,4.267769661509592,2.3745168981292863e-05,24.01885406031965,65.00488191053886
d3,21.710989244599794,30.58723725515899,0.709805500362342,0.47816516969783107,-38.38856328372734,81.81054177292694
d4,-37.368193038875994,25.646044230252333,-1.4570743426698178,0.14574165131748562,-87.75900700818555,13.022620930433561
d7,61272.23950281048,30.587630647111627,2003.1705041069072,0.0,61212.13917732315,61332.33982829781
d8,-44676826.105395585,3.1693581408914704,-14096490.241657885,0.0,-44676832.332731664,-44676819.87805951
d9,33207516.73088138,4.35756801720434,7620653.676494106,0.0,33207508.168882605,33207525.29288016
d10,21249010.332663253,5.343959280073037,3976267.2615972552,0.0,21248999.83254653,21249020.832779977
d11,-35538522.36031415,4.996022259414885,-7113363.494996975,0.0,-35538532.17678433,-35538512.54384398
d12,40327382.09238755,5.566597303646163,7244530.166745277,0.0,40327371.15481891,40327393.02995619
d13,56297631.84601731,6.32091489970464,8906563.80275709,0.0,56297619.426322326,56297644.26571229
d14,68663553.50356299,4.014019754464119,17105933.13029914,0.0,68663545.61658747,68663561.3905385
d15,25.33502000544877,22.16299559828078,1.1431225482630176,0.2535504975685754,-18.212100874822944,68.88214088572047
d16,38.68984152133096,20.371669992911354,1.8991983246731223,0.058130262642162034,-1.3375803937431314,78.71726343640506
d17,-28.858894701873577,20.179544911932616,-1.4301063194348187,0.15332906414495096,-68.50881827344026,10.791028869693104
d18,-3.98459930549532,17.381438196507492,-0.22924451132564844,0.8187753188722866,-38.13664282595691,30.16744421496627
d19,19.5474082286204,8.664298408461578,2.2560866797397408,0.0245088897601633,2.523299350247914,36.571517106992886
d20,-38.95220059405901,11.152676068307242,-3.4926326520636755,0.0005219557729672086,-60.86561616694135,-17.03878502117666
d21,20.58436427824552,8.85550184268451,2.3244717966210096,0.020511427281506567,3.184567960604898,37.98416059588614
d22,2.6096802563953405,5.042659392719528,0.5175206281358473,0.6050282413977108,-7.29842522325512,12.517785736045802
d23,-2.3021476659898097,9.082704197178915,-0.2534650051363399,0.8000160855484819,-20.14836415962044,15.544068827640817
d24,95.25000629036673,29.20719592248197,3.26118284491148,0.0011874201000257045,37.86203787382451,152.63797470690895
