descriptor,beta,SE,t,p,CI_low,CI_high
d1,17.000890981868853,4.433115236022386,3.8349761007166836,0.00014210435012507183,8.290452710870131,25.711329252867575
d2,-14.571072988013226,4.409304796904914,-3.3046191313971547,0.00102130523196875,-23.234727146915596,-5.9074188291108545
d3,-11.8958369990353,12.931101604839926,-0.9199399527247438,0.358060515608126,-37.303604744326975,13.511930746256379
d4,20.62066602413268,10.842156188776974,1.9018971563495575,0.05777558673058181,-0.6826223360419696,41.923954384307336
d7,19188.907131094435,12.931267915751487,1483.9153636064225,0.0,19163.499036571957,19214.315225616912
d8,-14041217.962836249,1.3398821148870428,-10479442.785919996,0.0,-14041220.595513234,-14041215.330159264
d9,10436598.401848886,1.8422113220103333,5665255.813572915,0.0,10436594.782166755,10436602.021531017
d10,6678233.872619353,2.2592194203841136,2955991.707739444,0.0,6678229.43357587,6678238.311662837
d11,4623054.59696473,2.112125097066077,2188816.6583440294,0.0,4623050.446940582,4623058.746988878
d12,-5246016.961184072,2.3533421709911257,-2229177.3061520746,0.0,-5246021.585165318,-5246012.3372028265
d13,-7323523.67482158,2.67223849351877,-2740595.082581142,0.0,-7323528.925388552,-7323518.424254607
d14,-8932147.670662057,1.6969723958987326,-5263578.648803835,0.0,-8932151.00497044,-8932144.336353673
d15,-14.647351725991586,9.369657859526063,-1.5632749824583754,0.11863881827515166,-33.05739118145312,3.7626877294699472
d16,-16.277796139974235,8.612354634748005,-1.890051772171423,0.05934581006405426,-33.19984292196396,0.6442506420154928
d17,12.586020118162061,8.531131576835014,1.4753048883148723,0.14077812644011223,-4.176434955860323,29.348475192184445
d18,2.2307521103954926,7.348200214433382,0.3035780252712542,0.7615793127723776,-12.207411790841368,16.668916011632355
d19,-6.503477214296532,3.6629304608271704,-1.7754847611351878,0.0764435999945623,-13.700612405084714,0.6936579764916502
d20,21.671328964201916,4.714920350670879,4.596329810983622,5.4885188964792775e-06,12.407183892249414,30.935474036154417
d21,-6.476327839492578,3.743763882116765,-1.7298975158205736,0.0842834612576997,-13.83228915793369,0.8796334789485352
d22,1.2466162404659014,2.1318414743344776,0.5847602907974536,0.5589802730917497,-2.942147772446756,5.435380253378559
d23,-3.8538006852788134,3.839816255409501,-1.0036419528798055,0.3160506597020243,-11.398491198384399,3.6908898278267714
d24,-29.87238040995155,12.347673472941043,-2.419271976653296,0.01591774412569058,-54.1337952052511,-5.610965614652002
