descriptor,beta,SE,t,p,CI_low,CI_high
d1,0.0010896750181652514,0.18569381231554896,0.0058681277775350415,0.9953203462187254,-0.36377214412378217,0.3659514941601127
d2,-0.1196062420120392,0.18469644342770616,-0.6475828109752175,0.5175605975453155,-0.48250837374040967,0.2432958897163313
d3,-2.6738691831996353,0.5416564710365931,-4.9364667943180445,1.095189446465028e-06,-3.7381467857111677,-1.609591580688103
d4,-2.0628527717822207,0.45415496986292464,-4.542178130088153,7.031037092319892e-06,-2.955202422049312,-1.1705031215151296
d7,-2808.2779338966247,0.5416634374485976,-5184.544017082791,0.0,-2809.3422251871407,-2807.213642606109
d8,2052186.4722892132,0.056124825257201805,36564683.5047541,0.0,2052186.3620119477,2052186.5825664788
d9,-1525354.6624042343,0.07716633231079824,-19767100.712531656,0.0,-1525354.8140250558,-1525354.5107834127
d10,-976052.8951722699,0.09463391874398196,-10313985.81107939,0.0,-976053.081114404,-976052.7092301358
d11,1357471.4964119229,0.0884724489394185,15343437.563726211,0.0,1357471.3225761969,1357471.6702476488
d12,-1540391.992182736,0.0985765215086969,-15626357.763565792,0.0,-1540392.1858715215,-1540391.7984939506
d13,-2150409.3784236354,0.11193441335468006,-19211333.797853198,0.0,-2150409.5983587704,-2150409.1584885004
d14,-2622754.367439756,0.07108258116732959,-36897286.56962735,0.0,-2622754.5071068755,-2622754.227772637
d15,1.648103130933158,0.39247513213503904,4.19925492340772,3.1858088021419206e-05,0.8769455522658163,2.4192607096004997
d16,0.34530018415109165,0.36075330326282734,0.9571643032178216,0.3389602182872187,-0.36352853151053555,1.054128899812719
d17,-0.030682626553161618,0.3573510413163676,-0.08586130444768422,0.9316120329014304,-0.7328263834242756,0.6714611303179525
d18,-0.36097134848192775,0.3078005508154534,-1.172744322664821,0.2414728407630986,-0.9657554686581065,0.24381277169425103
d19,-0.16884793630183045,0.1534324025666526,-1.1004711747799243,0.27167164742306005,-0.47032069308200286,0.13262482047834198
d20,0.38380485301702666,0.1974980319856994,1.9433350760923913,0.05255264686806416,-0.004250571817519366,0.7718602778515726
d21,0.17095877192746745,0.15681834345982046,1.0901707552552358,0.2761781536689081,-0.1371668751045838,0.4790844189595187
d22,-0.1260730063623747,0.08929832624354786,-1.4118182463860451,0.15864340535911192,-0.3015314632343045,0.04938545050955512
d23,-0.21827744022578396,0.16084177403382197,-1.357094209741086,0.17538119886128278,-0.5343085536819234,0.09775367323035553
d24,-0.24701501861668257,0.5172179017108723,-0.4775840468777226,0.6331610007397217,-1.2632743228865002,0.769244285653135
