descriptor,beta,SE,t,p,CI_low,CI_high
d1,26.609295065061694,8.287037439167573,3.210953885558236,0.001410579817689328,10.32645010836453,42.89214002175886
d2,-23.798778142966036,8.242527429861667,-2.8873156135029623,0.004058598227739685,-39.99416728860052,-7.603388997331553
d3,-3.9475237777124366,24.17273574533518,-0.16330480005657713,0.8703463388105765,-51.443497002136674,43.54844944671181
d4,22.84146339018362,20.26776870756794,1.1269846089004691,0.2603051107334686,-16.981807339081627,62.664734119448866
d7,-127041.39826037423,24.173046638392833,-5255.497999933561,0.0,-127088.89484445911,-126993.90167628936
d8,92732242.09246261,2.50470665863013,37023194.62159276,0.0,92732237.17107177,92732247.01385346
d9,-68926286.18241347,3.4437350223397014,-20014979.589104507,0.0,-68926292.94886093,-68926279.41596602
d10,-44104947.27827454,4.223268497034637,-10443320.690892085,0.0,-44104955.57639395,-44104938.98015514
d11,33420292.408159044,3.948297940320818,8464480.875889393,0.0,33420284.650317512,33420300.166000575
d12,-37923716.7976685,4.399216722296112,-8620561.157049505,0.0,-37923725.44150104,-37923708.15383597
d13,-52942074.37348108,4.995345093272232,-10598281.677232642,0.0,-52942084.18862072,-52942064.55834144
d14,-64570942.355728246,3.172232849661858,-20355044.984358933,0.0,-64570948.588712715,-64570936.12274378
d15,5.378038361032208,17.51515612387999,0.3070505522756856,0.7589364134850525,-29.03674178820899,39.792818510273406
d16,-34.57672718440049,16.09949245568961,-2.1476905113354037,0.03223215576020344,-66.20993042039817,-2.943523948402806
d17,-13.18172205942012,15.94765825197228,-0.8265616086794378,0.4088911931417232,-44.51659277111088,18.153148652270637
d18,1.9029105590005206,13.736347251407457,0.13853104643998748,0.8898781153252939,-25.08704987111527,28.89287098911631
d19,-13.270019821034802,6.8472936636715955,-1.937994844801102,0.05320268475508927,-26.72397389291829,0.18393425084868653
d20,22.949534366749468,8.813829415307664,2.6038096819631233,0.009501453449259456,5.631618416963747,40.26745031653519
d21,-12.315820288919195,6.99839950074068,-1.7598052651346556,0.07906991494510662,-26.066675748676104,1.4350351708377147
d22,-12.363511700075792,3.9851547211372336,-3.10239189321805,0.002031355107580346,-20.193771540104393,-4.533251860047192
d23,9.278776641933366,7.177954863328548,1.2926769279837222,0.19673703249280905,-4.824879459985899,23.382432743852632
d24,-79.2057718893237,23.082105226005904,-3.4314795428661755,0.0006515073492485701,-124.558811914563,-33.852731864084404
