descriptor,beta,SE,t,p,CI_low,CI_high
d1,-5.225665698600204,2.3480155603729402,-2.2255668943566116,0.026501235820441282,-9.839180915119535,-0.6121504820808719
d2,5.154304543797744,2.3354042749516077,2.207028821125433,0.027778714354259604,0.5655687019014426,9.743040385694046
d3,3.076620786421522,6.849004856496881,0.449206979829059,0.6534826006657943,-10.380695534959411,16.533937107802455
d4,-1.319278250874878,5.742587341826896,-0.22973586161515383,0.8183936833958678,-12.602642182032842,9.964085680283087
d7,38787.58602600067,6.849092943674276,5663.171217704721,0.0,38774.12853660056,38801.04351540077
d8,-28321531.066916954,0.7096734209063753,-39907836.80575986,0.0,-28321532.461323865,-28321529.672510043
d9,21050911.63347671,0.9757339070338629,21574438.975344677,0.0,21050909.716298945,21050913.55065448
d10,13470177.432932455,1.1966037585159326,11257007.457204223,0.0,13470175.081776977,13470179.784087934
d11,-4695506.7004173985,1.118694716768764,-4197308.3720104555,0.0,-4695508.898492738,-4695504.502342059
d12,5328227.681653682,1.2464562146881888,4274701.0435393285,0.0,5328225.232545247,5328230.130762117
d13,7438281.9021953065,1.4153608083148714,5255396.262562424,0.0,7438279.12121347,7438284.683177143
d14,9072125.933925647,0.8988075831452292,10093512.898699893,0.0,9072124.16789712,9072127.699954174
d15,-17.015738095832067,4.962673262082266,-3.428744387796449,0.0006579499155543456,-26.766682252945593,-7.26479393871854
d16,11.769444402003232,4.561564862902699,2.58013308058364,0.010168627872742197,2.8066209602374013,20.732267843769066
d17,6.5857257984434225,4.518544775743428,1.4574882235973605,0.14562749470228287,-2.292569316477011,15.464020913363857
d18,3.8369075412960534,3.8920008900346637,0.9858444665622572,0.32469997678615137,-3.810318325482166,11.484133408074273
d19,-2.2015244094922415,1.9400844013031178,-1.134757028103272,0.2570364907360805,-6.013513161952676,1.6104643429681929
d20,1.912747999643454,2.4972746612441905,0.7659341718906025,0.4440873027715597,-2.994040031884027,6.8195360311709345
d21,1.8898684036434157,1.9828981160118844,0.95308396754364,0.34102130276279574,-2.006243183272698,5.78597999055953
d22,14.635466674633808,1.129137567485617,12.961632927708106,0.0,12.416872625661187,16.854060723606427
d23,-1.405302488854927,2.0337726038369413,-0.6909830952603381,0.48990606254359714,-5.401375178105579,2.590770200395725
d24,9.622898904646307,6.539990030776486,1.4713935127365616,0.14183191691009545,-3.2272474198012677,22.473045229093884
