descriptor,VIF,severe,moderate
d1,4.523113255018403,False,False
d2,4.342171643261489,False,False
d3,40.73267518437512,True,True
d4,29.49290110548972,True,True
d7,861097225.5195954,True,True
d8,1000000000000.0,True,True
d9,1000000000000.0,True,True
d10,1000000000000.0,True,True
d11,1000000000000.0,True,True
d12,1000000000000.0,True,True
d13,1000000000000.0,True,True
d14,1000000000000.0,True,True
d15,19.768891218545757,True,True
d16,16.558129492306744,True,True
d17,16.014975565130623,True,True
d18,10.902971381076965,True,True
d19,2.9848011191016712,False,False
d20,4.48334058089386,False,False
d21,3.326908967601609,False,False
d22,1.4491032399127908,False,False
d23,3.421483942317145,False,False
d24,33.564263641754565,True,True
