channel,rule,alpha,NMAE_mean,NMAE_std,RMSE_mean,RMSE_std,R2_mean,R2_std,slope_mean,slope_std,cond_XtX,rank_X
strain,alpha1,1.0,0.4970810656175398,0.022100083537115085,15.456497734313194,0.6277491873167208,0.6996213628290768,0.030068492975858355,0.7195711813730418,0.019841784346441807,2.169265197631447e+16,25
strain,alpha_star_cv,4.641588833612772,0.49651727853654304,0.0212801092882353,15.508224805086163,0.660848310590519,0.6976860334862155,0.030100019311672197,0.7115543863724036,0.020342954205266196,2.169265197631447e+16,25
strain,alpha_star_gcv,0.6812920690579608,0.4972572653180235,0.022205437190310175,15.458135789405052,0.6213214233906658,0.6995357861091909,0.030168094527443248,0.7204126416378085,0.01972330122420674,2.169265197631447e+16,25
Pauli,alpha1,1.0,0.46243705882270625,0.035004945036884505,52.0934933174531,3.5636401607230677,0.7870279094847746,0.022525852431221755,0.7956192085625576,0.03127143584027077,2.169265197631447e+16,25
Pauli,alpha_star_cv,0.046415888336127725,0.45814995219318677,0.03153867773868721,51.44809331101426,3.204276069981453,0.7923331618296332,0.01977835583651352,0.8061888918090674,0.029957931797598578,2.169265197631447e+16,25
Pauli,alpha_star_gcv,0.03162277660168379,0.45816110705895585,0.031397447537558014,51.44281065324448,3.191669610317635,0.7923782660723083,0.0196855250488077,0.8064704884861585,0.02992024424797583,2.169265197631447e+16,25
elst,alpha1,1.0,0.4838353187621515,0.0222625809677999,24.77244634098451,2.0687200203525977,0.7553241065386839,0.02372846662330637,0.7658750311876424,0.03741775333225065,2.169265197631447e+16,25
elst,alpha_star_cv,0.021544346900318822,0.47939547520189185,0.019850862019368594,24.426976844986154,1.9331135312687897,0.7621610467100882,0.02054830221151202,0.7798392415962381,0.03565951385947617,2.169265197631447e+16,25
elst,alpha_star_gcv,0.03162277660168379,0.47940002673300236,0.019889733994213912,24.428637653967023,1.9362662944191613,0.7621270778195952,0.02062470986041383,0.7795908142898913,0.035688406021388716,2.169265197631447e+16,25
oi,alpha1,1.0,0.39403302788436184,0.01970060731303807,28.95453231188997,0.3846680209979811,0.84434243670391,0.013104758819621535,0.8504176149950957,0.023784359023729603,2.169265197631447e+16,25
oi,alpha_star_cv,0.14677992676220675,0.39359281203683355,0.020225746498959835,28.76237657446145,0.34216616178691156,0.8463034894847615,0.013960981786403823,0.8549289767176553,0.023068319107951044,2.169265197631447e+16,25
oi,alpha_star_gcv,0.046415888336127725,0.3936495361751612,0.020323382311358038,28.74840778348547,0.3347261930071212,0.8464318257670126,0.014162127178788836,0.8558028904840574,0.02292328844555625,2.169265197631447e+16,25
disp,alpha1,1.0,0.22853868041823794,0.014442461763266645,1.9024823334582177,0.0913660641038181,0.9340342993755918,0.0069752337301272095,0.9432294055647302,0.014427475337948185,2.169265197631447e+16,25
disp,alpha_star_cv,6.812920690579608e-06,0.22832982406620667,0.013064516380063994,1.9108170208779,0.09921886814744374,0.9335024165040734,0.006823341946086192,0.9449143313309903,0.01435106654145373,2.169265197631447e+16,25
disp,alpha_star_gcv,0.21544346900318823,0.22828626455502712,0.013618145020377592,1.9074744463556477,0.09682170162303698,0.9337169133045103,0.006896490864588795,0.944408942641864,0.014434578518846285,2.169265197631447e+16,25
barrier,alpha1,1.0,0.36564208323726904,0.026164233899973077,13.775692118650664,1.1147822033151467,0.8423765047087823,0.023839935183863934,0.8537263958970265,0.0376666474756093,2.169265197631447e+16,25
barrier,alpha_star_cv,1e-06,0.3656327751532625,0.027041542229373335,13.776555499122491,1.093927210581751,0.8424112460262926,0.023310415314392843,0.8562148829237073,0.03764815302023919,2.169265197631447e+16,25
barrier,alpha_star_gcv,0.6812920690579608,0.3656870217440637,0.02634969501554012,13.774498250750844,1.1098874097464022,0.8424151208675292,0.023719497662071935,0.8544689358216235,0.03767533212096067,2.169265197631447e+16,25
