delta,channel,point,ci_low,ci_high
NMAE(ridge_delta) - NMAE(xgb_delta),strain,0.08500334201667642,0.05919276838626558,0.11082977618755685
NMAE(ridge_delta) - NMAE(xgb_delta),Pauli,0.11130223095187475,0.08460957729165675,0.13582980394280036
NMAE(ridge_delta) - NMAE(xgb_delta),elst,0.12615828715134664,0.09836504999907547,0.1516905384833524
NMAE(ridge_delta) - NMAE(xgb_delta),oi,0.1150750832241072,0.09118216413141586,0.13717614610548348
NMAE(ridge_delta) - NMAE(xgb_delta),disp,0.06371262980370518,0.0490372615101681,0.07950191769544207
NMAE(ridge_delta) - NMAE(xgb_delta),barrier,-0.0224637719038841,-0.046585426999483925,0.001541009120539616
NMAE(ridge_delta) - NMAE(xgb_direct),strain,0.08284213164311383,0.05705340187935559,0.10993478650841154
NMAE(ridge_delta) - NMAE(xgb_direct),Pauli,0.10911904648839338,0.08259404019883876,0.13426642859579613
NMAE(ridge_delta) - NMAE(xgb_direct),elst,0.12409186774289827,0.09604051674331138,0.14970324864839113
NMAE(ridge_delta) - NMAE(xgb_direct),oi,0.11393271455941725,0.09025004381865495,0.136260444232999
NMAE(ridge_delta) - NMAE(xgb_direct),disp,0.06266272905749892,0.04764946950513638,0.07796680513256371
NMAE(ridge_delta) - NMAE(xgb_direct),barrier,-0.024456751004617416,-0.04895506100964497,-0.0006219447381465293
NMAE(xgb_delta) - NMAE(xgb_direct),strain,-0.0021612103735625943,-0.008414654031027147,0.0036941911629181368
NMAE(xgb_delta) - NMAE(xgb_direct),Pauli,-0.002183184463481369,-0.0035020726922174172,-0.0009262023221709992
NMAE(xgb_delta) - NMAE(xgb_direct),elst,-0.0020664194084483722,-0.004458841325992613,0.0002755304829404892
NMAE(xgb_delta) - NMAE(xgb_direct),oi,-0.0011423686646899467,-0.0023615568741129633,0.00010605031522978314
NMAE(xgb_delta) - NMAE(xgb_direct),disp,-0.001049900746206256,-0.004892449100366486,0.002464086249404196
NMAE(xgb_delta) - NMAE(xgb_direct),barrier,-0.0019929791007333164,-0.005313801800926277,0.001245782691576991
