variant,channel,NMAE,RMSE,R2,slope,lambda,eps,rho
M0,strain,0.3945340281200659,13.051181053358206,0.7890558285113691,0.7761097435513573,,,
M0,Pauli,0.2628771537108834,37.15091472272569,0.8924133330870019,0.8685839254788691,,,
M0,elst,0.31204200311698443,18.980410449858194,0.8570161594724071,0.8384645369479372,,,
M0,oi,0.21756928368260983,20.791178981903794,0.9205217208316286,0.9091168049173782,,,
M0,disp,0.15584283891882125,1.590625081539442,0.9542255167075657,0.9436968705878086,,,
M0,barrier,0.42854933869917927,17.266311618755335,0.7543913328699074,0.859268793384277,,,0.28728318992238083
M1,strain,0.2351687273900042,9.095942050334605,0.8963570955903969,0.8835196195379992,,,
M1,Pauli,0.26274283347888544,37.460217587938104,0.8905724260927173,0.8699020945863373,,,
M1,elst,0.30441401039554516,18.420256147841478,0.8647861015775228,0.84187748095521,,,
M1,oi,0.21626063978246807,20.079785947603007,0.9250766850589908,0.8938524264697484,,,
M1,disp,0.15660538975958174,1.5935032501200312,0.9521143295453647,0.9430559034515508,,,
M1,barrier,0.3619386306541681,14.95116349789712,0.8203931208050065,0.93926890312625,,,0.2889798997147047
M2,strain,0.3940350463968229,13.050814587585368,0.7890676746014973,0.7704800509756526,0.2,0.5,
M2,Pauli,0.262142679005478,37.19720680386454,0.8921450482448063,0.8589765014438959,0.2,0.5,
M2,elst,0.31227868211662846,18.921336536836673,0.857904809432671,0.8398432361227024,0.2,0.5,
M2,oi,0.21745465180122409,20.753804678871592,0.9208072049257033,0.9130213525113068,0.2,0.5,
M2,disp,0.15576846786892914,1.5905194496854935,0.9542315961829091,0.9437830809924039,0.2,0.5,
M2,barrier,0.4206408790391183,16.711607110852487,0.7699188854084631,0.7575868585831443,0.2,0.5,0.2894599468402475
M3,strain,0.23515692611211958,9.097478053335958,0.8963220889351636,0.880405689644031,0.2,0.5,
M3,Pauli,0.261499142929215,37.345694221233565,0.8912404872276899,0.8587112485769482,0.2,0.5,
M3,elst,0.3050201162730994,18.406879400659687,0.8649824143079481,0.8435875121264697,0.2,0.5,
M3,oi,0.2159749692856581,20.04785704367833,0.9253147670180885,0.8985765680771349,0.2,0.5,
M3,disp,0.15653094173886595,1.5933570301007245,0.952123117130094,0.9431548889991738,0.2,0.5,
M3,barrier,0.3434449595623425,14.190243743162151,0.8382096196733045,0.8232525492590923,0.2,0.5,0.2857611331584662
