arm,channel,metric,point,ci_low,ci_high
xgb28_delta,strain,NMAE,0.2271425672954107,0.20783830415479296,0.2472664882084255
xgb28_delta,strain,RMSE,8.395614957435543,7.480734262424621,9.448860852079198
xgb28_delta,strain,R2,0.9127083017033436,0.8932391843316774,0.9295008095267295
xgb28_delta,strain,slope,0.900442545795056,,
xgb28_delta,Pauli,NMAE,0.20505356847361284,0.184447144375097,0.23004102909499233
xgb28_delta,Pauli,RMSE,30.194820618092447,26.81384315237009,33.7952376442887
xgb28_delta,Pauli,R2,0.9289303259970343,0.9144021845028206,0.9422987826166987
xgb28_delta,Pauli,slope,0.9063982623694974,,
xgb28_delta,elst,NMAE,0.26539365526369124,0.24178393553632627,0.29114533796802333
xgb28_delta,elst,RMSE,16.275489161493816,14.5809633699168,17.95458113521397
xgb28_delta,elst,R2,0.894865841273788,0.8748140051167256,0.9127995643809859
xgb28_delta,elst,slope,0.8682933643294586,,
xgb28_delta,oi,NMAE,0.14909791258225163,0.133764668475247,0.1656128377992698
xgb28_delta,oi,RMSE,15.167034217796107,13.34336397480392,16.947223293372506
xgb28_delta,oi,R2,0.9577047586131199,0.9494123937551937,0.9660463811053202
xgb28_delta,oi,slope,0.9494175357459059,,
xgb28_delta,disp,NMAE,0.14175715491994131,0.12923182317234555,0.15651782741641837
xgb28_delta,disp,RMSE,1.4637596718022468,1.2797179094534632,1.696663688452674
xgb28_delta,disp,R2,0.9612361122514461,0.9509561086558737,0.9695844932487839
xgb28_delta,disp,slope,0.9679142694310422,,
xgb28_delta,barrier,NMAE,0.2994399674212151,0.27842496400801253,0.32186695923615755
xgb28_delta,barrier,RMSE,12.079323649869098,11.209830608119928,13.037984862058854
xgb28_delta,barrier,R2,0.8797929963387486,0.8601805936828837,0.8969173436479936
xgb28_delta,barrier,slope,0.904356931470054,,
xgb28_delta,barrier,rho_cancellation,0.30382528522163244,,
ridge_delta,strain,NMAE,0.47574155111822214,0.44308261239027624,0.5088050465952051
ridge_delta,strain,RMSE,15.359443623129554,14.146454344873174,16.566418222498054
ridge_delta,strain,R2,0.7078412577940552,0.6660141150257036,0.7463719497957577
ridge_delta,strain,slope,0.7336976941308722,,
ridge_delta,Pauli,NMAE,0.38073983689938823,0.35217049919118254,0.4147835550816072
ridge_delta,Pauli,RMSE,47.65762882276044,43.23077576067091,52.38489548593399
ridge_delta,Pauli,R2,0.8229547511863846,0.792114183896915,0.8481098453527132
ridge_delta,Pauli,slope,0.8400850933477191,,
ridge_delta,elst,NMAE,0.43137120842500726,0.4014591310862372,0.4655736149338713
ridge_delta,elst,RMSE,23.167280999620168,21.179032193552736,25.225290426867733
ridge_delta,elst,R2,0.7869773043270629,0.7518164546771287,0.8187933288367797
ridge_delta,elst,slope,0.8056146667024966,,
ridge_delta,oi,NMAE,0.32877172024059614,0.30592470300647495,0.3555419259111165
ridge_delta,oi,RMSE,26.59397925520473,24.361810075906057,28.86766250984103
ridge_delta,oi,R2,0.869966028773349,0.8479727166221835,0.888304382203829
ridge_delta,oi,slope,0.8792177375353624,,
ridge_delta,disp,NMAE,0.2188853816173992,0.2037519306008575,0.23579697124328594
ridge_delta,disp,RMSE,1.8550430922587609,1.674690511204413,2.058988026988071
