family,channel,delta,point,ci_low,ci_high,n
dipolar,strain,NMAE(xgb28_delta) - NMAE(xgb_28d),-0.001015619138923396,-0.003931655141050927,0.0019264271610487382,197
dipolar,Pauli,NMAE(xgb28_delta) - NMAE(xgb_28d),-0.0010740396591844836,-0.002168369758833222,1.0419347699297532e-05,197
dipolar,elst,NMAE(xgb28_delta) - NMAE(xgb_28d),-0.0022620445744350737,-0.00468957088257882,3.644754871970357e-05,197
dipolar,oi,NMAE(xgb28_delta) - NMAE(xgb_28d),-0.0010819979512735889,-0.0019926524785899152,-0.00017424847068733818,197
dipolar,disp,NMAE(xgb28_delta) - NMAE(xgb_28d),-0.09220461072624636,-0.13341044486329945,-0.05338459526467826,197
dipolar,barrier,NMAE(xgb28_delta) - NMAE(xgb_28d),0.00373411336999363,-0.010298901099545232,0.01928227571089214,197
qmrxn20_e2,strain,NMAE(xgb28_delta) - NMAE(xgb_28d),0.0032894756820863735,-0.004383920397550978,0.010327760845657646,199
qmrxn20_e2,Pauli,NMAE(xgb28_delta) - NMAE(xgb_28d),-0.0016902847184603331,-0.01243662622017666,0.008623070956906231,199
qmrxn20_e2,elst,NMAE(xgb28_delta) - NMAE(xgb_28d),-0.021624324827201613,-0.043105835791697966,-0.0012755573369472861,199
qmrxn20_e2,oi,NMAE(xgb28_delta) - NMAE(xgb_28d),0.0016656338336727694,-0.0013187058357740922,0.004996886696520736,199
qmrxn20_e2,disp,NMAE(xgb28_delta) - NMAE(xgb_28d),-0.02804699353798723,-0.05560055072273576,-0.0006463623623085002,199
qmrxn20_e2,barrier,NMAE(xgb28_delta) - NMAE(xgb_28d),0.003507254804660298,-0.015176973775480718,0.01971898742342304,199
qmrxn20_sn2,strain,NMAE(xgb28_delta) - NMAE(xgb_28d),-0.015316169135128344,-0.029456703577660948,-0.001953099952870685,187
qmrxn20_sn2,Pauli,NMAE(xgb28_delta) - NMAE(xgb_28d),-0.0325076529088352,-0.055063058690855815,-0.013111608760900811,187
qmrxn20_sn2,elst,NMAE(xgb28_delta) - NMAE(xgb_28d),-0.026395709509153015,-0.05030692524804775,-0.003949707844049799,187
qmrxn20_sn2,oi,NMAE(xgb28_delta) - NMAE(xgb_28d),-0.015672602416212877,-0.029813363103350005,-0.0027713451403314493,187
qmrxn20_sn2,disp,NMAE(xgb28_delta) - NMAE(xgb_28d),-0.0009467112622253138,-0.01733356564936639,0.01572870707007379,187
qmrxn20_sn2,barrier,NMAE(xgb28_delta) - NMAE(xgb_28d),-0.0074744441158136055,-0.018628544687535276,0.0030642079270300493,187
rgd1,strain,NMAE(xgb28_delta) - NMAE(xgb_28d),-0.00015432176839869083,-0.004137348557520737,0.0035687818408940974,200
rgd1,Pauli,NMAE(xgb28_delta) - NMAE(xgb_28d),-0.0030204224202792784,-0.00496634370051563,-0.0011133206928129469,200
rgd1,elst,NMAE(xgb28_delta) - NMAE(xgb_28d),-0.007367811360972976,-0.011550291393366885,-0.003216411320658197,200
rgd1,oi,NMAE(xgb28_delta) - NMAE(xgb_28d),-0.0010683193576985217,-0.0020804281969504512,3.348439224157285e-05,200
rgd1,disp,NMAE(xgb28_delta) - NMAE(xgb_28d),-0.06339433375940562,-0.12722578485269898,0.0014475261965167796,200
rgd1,barrier,NMAE(xgb28_delta) - NMAE(xgb_28d),0.008513330833731625,-0.00406468876363808,0.021170381525588033,200
