family,size_target,size_actual,arm,nmae_strain_mean,nmae_strain_std,nmae_strain_count,mae_strain_mean,mae_strain_std,mae_strain_count,rmse_strain_mean,rmse_strain_std,rmse_strain_count,nmae_Pauli_mean,nmae_Pauli_std,nmae_Pauli_count,mae_Pauli_mean,mae_Pauli_std,mae_Pauli_count,rmse_Pauli_mean,rmse_Pauli_std,rmse_Pauli_count,nmae_elst_mean,nmae_elst_std,nmae_elst_count,mae_elst_mean,mae_elst_std,mae_elst_count,rmse_elst_mean,rmse_elst_std,rmse_elst_count,nmae_oi_mean,nmae_oi_std,nmae_oi_count,mae_oi_mean,mae_oi_std,mae_oi_count,rmse_oi_mean,rmse_oi_std,rmse_oi_count,nmae_disp_mean,nmae_disp_std,nmae_disp_count,mae_disp_mean,mae_disp_std,mae_disp_count,rmse_disp_mean,rmse_disp_std,rmse_disp_count,nmae_barrier_mean,nmae_barrier_std,nmae_barrier_count,mae_barrier_mean,mae_barrier_std,mae_barrier_count,rmse_barrier_mean,rmse_barrier_std,rmse_barrier_count
dipolar,50,50,xgb_base,0.3147078529518034,0.0514236391659269,5,8.80151712189118,0.9223508225779457,5,11.643257442687288,1.8355753374857615,5,0.24855684607455863,0.08133494400274696,5,26.006573460407747,10.329787687893479,5,46.58048116364661,20.18153572101128,5,0.2608008973184821,0.09751909532933786,5,13.74282263541833,5.954680619453464,5,24.019283417307015,11.82278428191044,5,0.17136382852933077,0.04734399670737413,5,13.692730733125638,4.733777142449087,5,22.387056539257323,7.911513703403974,5,0.5713057700191804,0.10753022678773623,5,2.511836105371133,0.30137015716128357,5,3.240690864569982,0.4547551202961046,5,1.4126885326871117,0.3136109393569811,5,11.522326350678236,1.5451994262516064,5,15.95886386364723,1.832377449724513,5
dipolar,50,50,xgb_delta,0.315632793288283,0.06108074868638476,5,8.806104711148983,1.0715817516634525,5,11.598576263399924,1.857499261995429,5,0.25145925258276725,0.0848120850850268,5,26.32560980332203,10.684092138614263,5,46.57564176707431,20.177469716728933,5,0.26187943640427863,0.09891160474835137,5,13.794743369970567,6.004759741835209,5,24.039498245742475,11.838497778016958,5,0.1730467484613889,0.04882191039294382,5,13.817055865312232,4.7772242213316725,5,22.443730714540887,7.905423390691714,5,0.6145646680046358,0.05831931724747799,5,2.7397984193532894,0.39063979172871216,5,3.4194545539656493,0.5224649614207892,5,1.4754397557105032,0.3251999945286754,5,12.124749227525331,2.478012226377923,5,16.39104805886541,2.380010776157909,5
dipolar,100,100,xgb_base,0.3042272627460416,0.054750257205007424,5,8.50263631115357,1.1089899599628017,5,11.702710780929499,2.303292767633115,5,0.1835225932605404,0.013347883447702368,5,18.709535085849275,2.7483579140463767,5,33.830370429176604,12.24005970319938,5,0.2051397659312045,0.029138508205231756,5,10.58172917512747,2.386116755998799,5,18.91459369238758,8.583882794975759,5,0.12199512576279448,0.03150528811092446,5,9.769541399020415,3.5042583275215784,5,17.06354615236361,8.190958226617722,5,0.531191409649177,0.14445762658860536,5,2.3147554209293464,0.30526997792761557,5,3.1221925832514654,0.5468734176776755,5,1.2894757302337088,0.14059238851955047,5,10.677298073256626,1.3287465525759443,5,14.579854131140172,2.2763652479938847,5
dipolar,100,100,xgb_delta,0.30069921794228116,0.0620249212464766,5,8.404954169629477,1.3829961888207176,5,11.516674073295714,2.693060437693053,5,0.18567879748427002,0.016728345017332558,5,18.86994125158359,2.4173903646021904,5,33.800499265294754,12.225053520585297,5,0.20470765469185928,0.026459918681455093,5,10.538119837687566,2.1541664886744982,5,18.85252317764749,8.644451564068204,5,0.1238525187065973,0.02892580754210506,5,9.892987846533458,3.321927748422683,5,17.224291365261806,8.001565359116103,5,0.5111910072695559,0.2162265405993029,5,2.185923048594059,0.5200041582739693,5,2.9439279498888418,0.8436600449826548,5,1.367027357520391,0.23677140663498297,5,11.192398825646976,0.8148940969027846,5,15.231193015911666,1.6247918999333917,5
dipolar,150,150,xgb_base,0.27594663216641313,0.05489168673437881,5,7.693241934569983,0.9798736160567579,5,10.388599953352664,1.2535964544593716,5,0.1486668319035218,0.009519091273750783,5,15.245173985407906,2.7260395973002045,5,26.617132130033262,9.160680659366953,5,0.16026030236147526,0.006926629508666104,5,8.254248704910278,1.276845409721005,5,13.659166642162429,4.593758412229765,5,0.09933882284447947,0.015530510952458061,5,7.855414846615913,1.800237931709751,5,13.389825490252553,4.977975035578298,5,0.4854565332699535,0.09085632846002051,5,2.135430251512772,0.22559491735018702,5,2.7959572521503118,0.5575867435487198,5,1.0152586642613075,0.04727664559069582,5,8.573298064844732,1.928000883406957,5,11.725913083665777,2.2021048134576393,5
dipolar,150,150,xgb_delta,0.26914350610989635,0.05879278059361853,5,7.497290596266588,1.1049395294048454,5,10.158491373556027,1.4933060028032705,5,0.1485329872489784,0.009558450481989255,5,15.232002711907409,2.724957861614111,5,26.610611264662065,9.115116708306447,5,0.16001461954322097,0.007256283408342844,5,8.240661889222952,1.2685705902571685,5,13.665357893462794,4.560496099106118,5,0.09823806852818831,0.015656504997438054,5,7.763768036548908,1.768044924236075,5,13.33812960474377,4.972537940752358,5,0.4748871683133939,0.12967179399650333,5,2.072376766265967,0.37028991792767896,5,2.8116595385732555,0.5663398840319187,5,1.027970363862405,0.048039263294527124,5,8.67709009192693,1.9235194583055737,5,11.911405857073925,2.1336150774208735,5
qmrxn20_e2,50,50,xgb_base,0.37426663278965494,0.0706520460053491,5,5.011495795035974,1.4267534887415205,5,7.688798534556686,2.608757437867598,5,0.4382853275752073,0.06807409596634097,5,10.778680004217687,1.3363527733648042,5,16.447043436149404,3.667607493034303,5,0.5836809334431715,0.06753036807165327,5,7.957978611481495,1.0302792025944025,5,11.606919516338769,1.7789211019115265,5,0.33515536772210464,0.09908795838898721,5,8.377544825138191,2.2074020495546987,5,12.89003982800603,2.647165850894451,5,0.4530467789126096,0.0886388871835359,5,0.29385618285872994,0.08520346030588308,5,0.44070427200721485,0.162014173147926,5,0.741404592127982,0.1309784483031642,5,7.8263682708946565,0.9123355869206264,5,10.354683382858125,1.990288189589139,5
qmrxn20_e2,50,50,xgb_delta,0.4265133697591151,0.09625581384479037,5,5.671664570142061,1.520437378781133,5,8.241562790062833,2.7959999339207022,5,0.47898635467268125,0.08192496161819848,5,11.704132495782314,0.974464369525943,5,17.264425803083125,2.161512379691564,5,0.6103195460205573,0.08943053096387735,5,8.290203848618727,0.9897318241750614,5,12.025663614164356,1.4105486266503202,5,0.36496005480348453,0.08425378650138551,5,9.079327689439822,1.5900330454067142,5,13.310870315905518,1.856251633291823,5,0.5543149800667362,0.06547461780734073,5,0.3576672537319171,0.07823600711337939,5,0.5000870919224424,0.1204733181539421,5,0.7630462274626153,0.12322387488420408,5,8.065829100574438,0.8813104178607472,5,10.70579734345272,1.7217282085992185,5
qmrxn20_e2,100,100,xgb_base,0.31749471213816094,0.05298756762622247,5,4.221428383527658,0.9398988707169104,5,6.643343676255652,2.535876452392375,5,0.30650200316346554,0.0742593596306506,5,7.515636298350799,1.4928918667151299,5,11.31636366497764,2.975347763458247,5,0.4033340092310955,0.09517717928827656,5,5.4302566562554775,0.8554619376491298,5,8.094889056032432,1.8017231415435582,5,0.2046733772750799,0.03019728500709122,5,5.2144196290236255,1.4000634429649819,5,7.592474014883959,2.5970888736849775,5,0.32544476080020335,0.11040344584539734,5,0.20992817740791883,0.07749268977337224,5,0.34232167266474134,0.16613560763263588,5,0.5555833364862719,0.08997857113206775,5,5.909318882605204,0.9667459979825551,5,8.292726651601601,1.3951970660661932,5
qmrxn20_e2,100,100,xgb_delta,0.3216547470641272,0.03983602085210619,5,4.273369910503045,0.8108171878142836,5,6.7734508658692025,2.301768519366076,5,0.32511255170820713,0.1041393138604019,5,7.930056731395233,2.0351267810853835,5,11.61670323725512,3.0842713910862654,5,0.46474979900324864,0.15810274253233314,5,6.1958430114159215,1.560198099556796,5,8.60185919250297,2.317155412777713,5,0.21722178385574153,0.038981304895625624,5,5.501486805157784,1.3749221907495905,5,7.8069710363994576,2.503733146535746,5,0.39100543307071617,0.07536726944179195,5,0.25006949929472727,0.051794373814332086,5,0.3864786499608167,0.12214502385096075,5,0.5545387293618683,0.08059504101553788,5,5.902016083426201,0.9138038750404772,5,8.194594174133064,1.2715166200922925,5
